trades,total_x4,median_x4,pf_x4,wr,dd_x4,train_total_x4,test_total_x4,pos_years,years,pos_quarters,quarters,definition,direction,guard_variant,geometry,variant,h4_sma,h4_slope_lookback,h1_break_lookback,compression_lookback,compression_max_atr,cooldown_h,session_filter,robust_candidate
153,694.92,-6.6,1.132886,0.424837,-827.44,389.72,305.2,3,5,9,17,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma20_slope3_break6_comp6_2.2_cool1_all,20,3,6,6,2.2,1,all,False
22,227.52,-9.64,1.265175,0.363636,-242.92,-33.92,261.44,2,5,4,12,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma20_slope3_break6_comp6_2.2_cool1_ny_only,20,3,6,6,2.2,1,ny_only,False
22,227.52,-9.64,1.265175,0.363636,-242.92,-33.92,261.44,2,5,4,12,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma20_slope3_break6_comp6_2.2_cool4_ny_only,20,3,6,6,2.2,4,ny_only,False
19,-55.56,-13.04,0.90254,0.368421,-357.2,-86.68,31.12,2,5,4,13,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope3_break6_comp6_2.2_cool1_ny_only,10,3,6,6,2.2,1,ny_only,False
19,-55.56,-13.04,0.90254,0.368421,-357.2,-86.68,31.12,2,5,4,13,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope3_break6_comp6_2.2_cool4_ny_only,10,3,6,6,2.2,4,ny_only,False
21,-26.64,-13.04,0.968951,0.333333,-364.32,-33.92,7.28,1,5,3,12,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma20_slope2_break6_comp6_2.2_cool1_ny_only,20,2,6,6,2.2,1,ny_only,False
21,-26.64,-13.04,0.968951,0.333333,-364.32,-33.92,7.28,1,5,3,12,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma20_slope2_break6_comp6_2.2_cool4_ny_only,20,2,6,6,2.2,4,ny_only,False
3,121.56,28.84,999.0,1.0,0.0,121.56,0.0,2,2,3,3,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope3_break18_comp12_2.2_cool1_all,10,3,18,12,2.2,1,all,False
3,121.56,28.84,999.0,1.0,0.0,121.56,0.0,2,2,3,3,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope3_break18_comp12_2.2_cool4_all,10,3,18,12,2.2,4,all,False
2,92.72,46.36,999.0,1.0,0.0,92.72,0.0,2,2,2,2,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break18_comp12_2.2_cool1_all,10,2,18,12,2.2,1,all,False
2,92.72,46.36,999.0,1.0,0.0,92.72,0.0,2,2,2,2,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break18_comp12_2.2_cool4_all,10,2,18,12,2.2,4,all,False
2,92.72,46.36,999.0,1.0,0.0,92.72,0.0,2,2,2,2,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma20_slope2_break18_comp12_2.2_cool1_all,20,2,18,12,2.2,1,all,False
2,92.72,46.36,999.0,1.0,0.0,92.72,0.0,2,2,2,2,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma20_slope2_break18_comp12_2.2_cool4_all,20,2,18,12,2.2,4,all,False
2,92.72,46.36,999.0,1.0,0.0,92.72,0.0,2,2,2,2,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma20_slope3_break18_comp12_2.2_cool1_all,20,3,18,12,2.2,1,all,False
2,92.72,46.36,999.0,1.0,0.0,92.72,0.0,2,2,2,2,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma20_slope3_break18_comp12_2.2_cool4_all,20,3,18,12,2.2,4,all,False
1,28.84,28.84,999.0,1.0,0.0,28.84,0.0,1,1,1,1,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope3_break18_comp12_2.2_cool1_no_asia,10,3,18,12,2.2,1,no_asia,False
1,28.84,28.84,999.0,1.0,0.0,28.84,0.0,1,1,1,1,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope3_break18_comp12_2.2_cool1_london_ny,10,3,18,12,2.2,1,london_ny,False
1,28.84,28.84,999.0,1.0,0.0,28.84,0.0,1,1,1,1,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope3_break18_comp12_2.2_cool1_ny_only,10,3,18,12,2.2,1,ny_only,False
1,28.84,28.84,999.0,1.0,0.0,28.84,0.0,1,1,1,1,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope3_break18_comp12_2.2_cool4_no_asia,10,3,18,12,2.2,4,no_asia,False
1,28.84,28.84,999.0,1.0,0.0,28.84,0.0,1,1,1,1,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope3_break18_comp12_2.2_cool4_london_ny,10,3,18,12,2.2,4,london_ny,False
1,28.84,28.84,999.0,1.0,0.0,28.84,0.0,1,1,1,1,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope3_break18_comp12_2.2_cool4_ny_only,10,3,18,12,2.2,4,ny_only,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_no_asia,10,2,6,6,1.4,1,no_asia,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_london_ny,10,2,6,6,1.4,1,london_ny,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_ny_only,10,2,6,6,1.4,1,ny_only,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool4_no_asia,10,2,6,6,1.4,4,no_asia,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool4_london_ny,10,2,6,6,1.4,4,london_ny,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool4_ny_only,10,2,6,6,1.4,4,ny_only,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp12_1.4_cool1_all,10,2,6,12,1.4,1,all,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp12_1.4_cool1_no_asia,10,2,6,12,1.4,1,no_asia,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp12_1.4_cool1_london_ny,10,2,6,12,1.4,1,london_ny,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp12_1.4_cool1_ny_only,10,2,6,12,1.4,1,ny_only,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp12_1.4_cool4_all,10,2,6,12,1.4,4,all,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp12_1.4_cool4_no_asia,10,2,6,12,1.4,4,no_asia,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp12_1.4_cool4_london_ny,10,2,6,12,1.4,4,london_ny,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp12_1.4_cool4_ny_only,10,2,6,12,1.4,4,ny_only,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp12_1.8_cool1_no_asia,10,2,6,12,1.8,1,no_asia,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp12_1.8_cool1_london_ny,10,2,6,12,1.8,1,london_ny,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp12_1.8_cool1_ny_only,10,2,6,12,1.8,1,ny_only,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp12_1.8_cool4_no_asia,10,2,6,12,1.8,4,no_asia,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp12_1.8_cool4_london_ny,10,2,6,12,1.8,4,london_ny,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp12_1.8_cool4_ny_only,10,2,6,12,1.8,4,ny_only,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break12_comp6_1.4_cool1_no_asia,10,2,12,6,1.4,1,no_asia,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break12_comp6_1.4_cool1_london_ny,10,2,12,6,1.4,1,london_ny,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break12_comp6_1.4_cool1_ny_only,10,2,12,6,1.4,1,ny_only,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break12_comp6_1.4_cool4_no_asia,10,2,12,6,1.4,4,no_asia,False
