variant,definition,stage11b_trades,stage11b_total_x4,stage11b_test_total_x4,stage11b_pf_x4,stage11b_median_x4,stage11b_dd_x4,all_trades,all_total_x4,all_pf_x4,all_median_x4,all_wr,all_dd_x4,recent_24m_trades,recent_24m_total_x4,recent_24m_pf_x4,recent_24m_median_x4,recent_24m_dd_x4,recent_12m_trades,recent_12m_total_x4,recent_12m_pf_x4,recent_12m_median_x4,recent_12m_dd_x4,prior_to_24m_trades,prior_to_24m_total_x4,prior_to_24m_pf_x4,verdict
short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,short_rally_rejection,399,782.08,2051.04,1.09333,-3.76,-2063.24,399,782.08,1.09333,-3.76,0.441103,-2063.24,189,1310.52,1.226192,-8.2,-1401.44,96,2257.72,1.691949,-5.18,-1120.8,210,-528.44,0.795647,RECENT_REGIME_WATCHLIST_ONLY
short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,short_rally_rejection,409,528.6,1925.52,1.060704,-3.96,-2409.76,409,528.6,1.060704,-3.96,0.440098,-2409.76,196,1099.6,1.181461,-8.44,-1700.76,99,2226.36,1.657861,-4.2,-1120.8,213,-571.0,0.784379,RECENT_REGIME_WATCHLIST_ONLY
short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h3_cool4_all,short_rally_rejection,394,783.68,1288.44,1.124804,-2.18,-682.0,394,783.68,1.124804,-2.18,0.472081,-682.0,184,1078.32,1.25527,-6.22,-495.24,92,1396.84,1.574491,-1.02,-495.24,210,-294.64,0.856626,RECENT_REGIME_WATCHLIST_ONLY
short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h3_cool1_all,short_rally_rejection,432,559.52,1075.6,1.07815,-2.68,-870.88,432,559.52,1.07815,-2.68,0.472222,-870.88,204,1077.4,1.221045,-5.38,-776.6,102,1197.36,1.411091,-1.02,-776.6,228,-517.88,0.773396,RECENT_REGIME_WATCHLIST_ONLY
short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h3_cool1_all,short_rally_rejection,441,562.92,1175.28,1.076829,-2.56,-897.08,441,562.92,1.076829,-2.56,0.473923,-897.08,211,1075.0,1.214196,-5.28,-776.6,105,1254.76,1.424387,2.92,-776.6,230,-512.08,0.77814,RECENT_REGIME_WATCHLIST_ONLY
short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h3_cool4_all,short_rally_rejection,404,714.32,1323.84,1.110486,-2.18,-837.8,404,714.32,1.110486,-2.18,0.472772,-837.8,191,1014.24,1.23175,-5.48,-537.36,95,1454.24,1.587467,2.92,-495.24,213,-299.92,0.856418,RECENT_REGIME_WATCHLIST_ONLY
short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h3_cool4_no_asia,short_rally_rejection,260,374.68,992.0,1.078338,-2.18,-861.24,260,374.68,1.078338,-2.18,0.480769,-861.24,124,997.96,1.32201,2.76,-417.64,68,1049.16,1.583619,9.78,-417.64,136,-623.28,0.629811,RECENT_REGIME_WATCHLIST_ONLY
short_rally_rejection_h4sma10_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_ny_only,short_rally_rejection,113,140.16,1034.48,1.057139,-6.8,-1026.68,113,140.16,1.057139,-6.8,0.415929,-1026.68,55,948.96,1.760092,-2.76,-217.88,28,866.64,2.108122,5.44,-189.88,58,-808.8,0.328507,RECENT_REGIME_WATCHLIST_ONLY
short_rally_rejection_h4sma10_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool4_ny_only,short_rally_rejection,113,140.16,1034.48,1.057139,-6.8,-1026.68,113,140.16,1.057139,-6.8,0.415929,-1026.68,55,948.96,1.760092,-2.76,-217.88,28,866.64,2.108122,5.44,-189.88,58,-808.8,0.328507,RECENT_REGIME_WATCHLIST_ONLY
short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h12_cool1_all,short_rally_rejection,344,696.12,1801.56,1.065527,-5.14,-2476.8,344,696.12,1.065527,-5.14,0.479651,-2476.8,163,698.48,1.091112,-26.12,-1878.96,82,1594.72,1.364304,-36.18,-1418.52,181,-2.36,0.999202,SHORT_TERM_WATCHLIST_ONLY
