variant,definition,verdict,latest_closed_h1,latest_active,recent_signal_count,recent_window_hours,last_signal_utc,last_signal_age_h,recent_24m_total_x4,recent_24m_pf_x4,all_pf_x4,all_median_x4,all_dd_x4,session_filter,exit_h,cooldown_h,status
short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,short_rally_rejection,RECENT_REGIME_WATCHLIST_ONLY,2026-06-09T11:00:00+00:00,0,6,72,2026-06-09T05:00:00+00:00,6.0,1310.52,1.226192,1.09333,-3.76,-2063.24,all,6,1,RECENT_WATCHLIST_SIGNAL_ONLY
short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,short_rally_rejection,RECENT_REGIME_WATCHLIST_ONLY,2026-06-09T11:00:00+00:00,0,6,72,2026-06-09T05:00:00+00:00,6.0,1099.6,1.181461,1.060704,-3.96,-2409.76,all,6,1,RECENT_WATCHLIST_SIGNAL_ONLY
short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h3_cool4_all,short_rally_rejection,RECENT_REGIME_WATCHLIST_ONLY,2026-06-09T11:00:00+00:00,0,6,72,2026-06-09T05:00:00+00:00,6.0,1078.32,1.25527,1.124804,-2.18,-682.0,all,3,4,RECENT_WATCHLIST_SIGNAL_ONLY
short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h3_cool1_all,short_rally_rejection,RECENT_REGIME_WATCHLIST_ONLY,2026-06-09T11:00:00+00:00,0,6,72,2026-06-09T05:00:00+00:00,6.0,1077.4,1.221045,1.07815,-2.68,-870.88,all,3,1,RECENT_WATCHLIST_SIGNAL_ONLY
short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h3_cool1_all,short_rally_rejection,RECENT_REGIME_WATCHLIST_ONLY,2026-06-09T11:00:00+00:00,0,6,72,2026-06-09T05:00:00+00:00,6.0,1075.0,1.214196,1.076829,-2.56,-897.08,all,3,1,RECENT_WATCHLIST_SIGNAL_ONLY
short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h3_cool4_all,short_rally_rejection,RECENT_REGIME_WATCHLIST_ONLY,2026-06-09T11:00:00+00:00,0,6,72,2026-06-09T05:00:00+00:00,6.0,1014.24,1.23175,1.110486,-2.18,-837.8,all,3,4,RECENT_WATCHLIST_SIGNAL_ONLY
short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h12_cool1_all,short_rally_rejection,SHORT_TERM_WATCHLIST_ONLY,2026-06-09T11:00:00+00:00,0,6,72,2026-06-09T05:00:00+00:00,6.0,698.48,1.091112,1.065527,-5.14,-2476.8,all,12,1,RECENT_WATCHLIST_SIGNAL_ONLY
short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h12_cool4_all,short_rally_rejection,SHORT_TERM_WATCHLIST_ONLY,2026-06-09T11:00:00+00:00,0,6,72,2026-06-09T05:00:00+00:00,6.0,624.0,1.094494,1.062672,-5.32,-2101.48,all,12,4,RECENT_WATCHLIST_SIGNAL_ONLY
short_rally_rejection_h4sma10_slope3_look12_comp6_1.8_rej6_imp1.2_h12_cool1_all,short_rally_rejection,SHORT_TERM_WATCHLIST_ONLY,2026-06-09T11:00:00+00:00,0,5,72,2026-06-09T03:00:00+00:00,8.0,696.0,1.10431,1.013624,-5.64,-3157.76,all,12,1,RECENT_WATCHLIST_SIGNAL_ONLY
short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h3_cool4_no_asia,short_rally_rejection,RECENT_REGIME_WATCHLIST_ONLY,2026-06-09T11:00:00+00:00,0,3,72,2026-06-08T18:00:00+00:00,17.0,997.96,1.32201,1.078338,-2.18,-861.24,no_asia,3,4,RECENT_WATCHLIST_SIGNAL_ONLY
short_rally_rejection_h4sma10_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_ny_only,short_rally_rejection,RECENT_REGIME_WATCHLIST_ONLY,2026-06-09T11:00:00+00:00,0,3,72,2026-06-08T18:00:00+00:00,17.0,948.96,1.760092,1.057139,-6.8,-1026.68,ny_only,6,1,RECENT_WATCHLIST_SIGNAL_ONLY
short_rally_rejection_h4sma10_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool4_ny_only,short_rally_rejection,RECENT_REGIME_WATCHLIST_ONLY,2026-06-09T11:00:00+00:00,0,3,72,2026-06-08T18:00:00+00:00,17.0,948.96,1.760092,1.057139,-6.8,-1026.68,ny_only,6,4,RECENT_WATCHLIST_SIGNAL_ONLY
