mechanism,side,event_utc,entry_utc,exit_utc,horizon_bars,entry_price,exit_price,ret_usd,win,mfe_max_h,mae_max_h,ref_level,context
asia_low_sweep_london_rejection,LONG,2022-05-03T08:00:00+00:00,2022-05-03T08:15:00+00:00,2022-05-03T09:15:00+00:00,4,1858.08,1855.01,-3.07,0,8.13,7.86,1857.23,asia_high=1866.95;asia_low=1857.23
asia_low_sweep_london_rejection,LONG,2022-05-03T08:00:00+00:00,2022-05-03T08:15:00+00:00,2022-05-03T11:15:00+00:00,12,1858.08,1859.41,1.33,1,8.13,7.86,1857.23,asia_high=1866.95;asia_low=1857.23
asia_low_sweep_london_rejection,LONG,2022-05-03T08:00:00+00:00,2022-05-03T08:15:00+00:00,2022-05-03T14:15:00+00:00,24,1858.08,1865.25,7.17,1,8.13,7.86,1857.23,asia_high=1866.95;asia_low=1857.23
asia_low_sweep_london_rejection,LONG,2022-05-04T07:15:00+00:00,2022-05-04T07:30:00+00:00,2022-05-04T08:30:00+00:00,4,1863.07,1870.32,7.25,1,8.84,0.49,1861.48,asia_high=1869.30;asia_low=1861.48
asia_low_sweep_london_rejection,LONG,2022-05-04T07:15:00+00:00,2022-05-04T07:30:00+00:00,2022-05-04T10:30:00+00:00,12,1863.07,1868.21,5.14,1,8.84,0.49,1861.48,asia_high=1869.30;asia_low=1861.48
asia_low_sweep_london_rejection,LONG,2022-05-04T07:15:00+00:00,2022-05-04T07:30:00+00:00,2022-05-04T13:30:00+00:00,24,1863.07,1864.91,1.84,1,8.84,0.49,1861.48,asia_high=1869.30;asia_low=1861.48
asia_low_sweep_london_rejection,LONG,2022-05-09T07:00:00+00:00,2022-05-09T07:15:00+00:00,2022-05-09T08:15:00+00:00,4,1872.19,1870.04,-2.15,0,0.61,16.21,1870.88,asia_high=1882.55;asia_low=1870.88
asia_low_sweep_london_rejection,LONG,2022-05-09T07:00:00+00:00,2022-05-09T07:15:00+00:00,2022-05-09T10:15:00+00:00,12,1872.19,1866.9,-5.29,0,0.61,16.21,1870.88,asia_high=1882.55;asia_low=1870.88
asia_low_sweep_london_rejection,LONG,2022-05-09T07:00:00+00:00,2022-05-09T07:15:00+00:00,2022-05-09T13:15:00+00:00,24,1872.19,1863.58,-8.61,0,0.61,16.21,1870.88,asia_high=1882.55;asia_low=1870.88
asia_low_sweep_london_rejection,LONG,2022-05-12T08:30:00+00:00,2022-05-12T08:45:00+00:00,2022-05-12T09:45:00+00:00,4,1848.17,1848.14,-0.03,0,5.37,8.39,1847.28,asia_high=1858.62;asia_low=1847.28
asia_low_sweep_london_rejection,LONG,2022-05-12T08:30:00+00:00,2022-05-12T08:45:00+00:00,2022-05-12T11:45:00+00:00,12,1848.17,1847.03,-1.14,0,5.37,8.39,1847.28,asia_high=1858.62;asia_low=1847.28
asia_low_sweep_london_rejection,LONG,2022-05-12T08:30:00+00:00,2022-05-12T08:45:00+00:00,2022-05-12T14:45:00+00:00,24,1848.17,1845.59,-2.58,0,5.37,8.39,1847.28,asia_high=1858.62;asia_low=1847.28
asia_high_sweep_london_rejection,SHORT,2022-05-13T08:45:00+00:00,2022-05-13T09:00:00+00:00,2022-05-13T10:00:00+00:00,4,1826.77,1821.92,4.85,1,27.86,0.19,1828.24,asia_high=1828.24;asia_low=1814.54
asia_high_sweep_london_rejection,SHORT,2022-05-13T08:45:00+00:00,2022-05-13T09:00:00+00:00,2022-05-13T12:00:00+00:00,12,1826.77,1819.71,7.06,1,27.86,0.19,1828.24,asia_high=1828.24;asia_low=1814.54
asia_high_sweep_london_rejection,SHORT,2022-05-13T08:45:00+00:00,2022-05-13T09:00:00+00:00,2022-05-13T15:00:00+00:00,24,1826.77,1808.87,17.9,1,27.86,0.19,1828.24,asia_high=1828.24;asia_low=1814.54
asia_low_sweep_london_rejection,LONG,2022-05-16T08:00:00+00:00,2022-05-16T08:15:00+00:00,2022-05-16T09:15:00+00:00,4,1807.28,1800.23,-7.05,0,3.11,20.69,1806.46,asia_high=1817.32;asia_low=1806.46
asia_low_sweep_london_rejection,LONG,2022-05-16T08:00:00+00:00,2022-05-16T08:15:00+00:00,2022-05-16T11:15:00+00:00,12,1807.28,1803.71,-3.57,0,3.11,20.69,1806.46,asia_high=1817.32;asia_low=1806.46
asia_low_sweep_london_rejection,LONG,2022-05-16T08:00:00+00:00,2022-05-16T08:15:00+00:00,2022-05-16T14:15:00+00:00,24,1807.28,1805.44,-1.84,0,3.11,20.69,1806.46,asia_high=1817.32;asia_low=1806.46
asia_high_sweep_london_rejection,SHORT,2022-05-17T07:15:00+00:00,2022-05-17T07:30:00+00:00,2022-05-17T08:30:00+00:00,4,1828.46,1825.84,2.62,1,5.27,7.44,1829.17,asia_high=1829.17;asia_low=1821.69
asia_high_sweep_london_rejection,SHORT,2022-05-17T07:15:00+00:00,2022-05-17T07:30:00+00:00,2022-05-17T10:30:00+00:00,12,1828.46,1827.84,0.62,1,5.27,7.44,1829.17,asia_high=1829.17;asia_low=1821.69
