events,total,avg,median,win_rate,pf,max_dd,pos_years,years,pos_quarters,quarters,period
3,-7.47,-2.49,-0.64,0.333333,0.365874,-11.14,0,1,0,1,2022-05
4,-7.34,-1.835,-1.63,0.5,0.154378,-8.68,0,1,0,1,2022-06
4,-0.11,-0.0275,-0.515,0.5,0.975391,-4.47,0,1,0,1,2022-07
3,-8.5,-2.833333,-4.24,0.333333,0.342614,-12.93,0,1,0,1,2022-08
5,-1.14,-0.228,-0.72,0.4,0.93649,-17.95,0,1,0,1,2022-09
7,-13.77,-1.967143,-2.4,0.285714,0.247541,-13.77,0,1,0,1,2022-10
2,8.34,4.17,4.17,1.0,999.0,0.0,1,1,1,1,2022-11
2,9.6,4.8,4.8,0.5,2.732852,-5.54,1,1,1,1,2022-12
4,14.39,3.5975,4.11,1.0,999.0,0.0,1,1,1,1,2023-01
6,2.72,0.453333,0.215,0.5,1.637002,-2.8,1,1,1,1,2023-02
1,-0.61,-0.61,-0.61,0.0,0.0,-0.61,0,1,0,1,2023-03
4,12.83,3.2075,2.965,1.0,999.0,0.0,1,1,1,1,2023-04
6,-13.55,-2.258333,-1.89,0.333333,0.151003,-13.71,0,1,0,1,2023-05
4,23.07,5.7675,5.955,0.75,11.438914,-2.21,1,1,1,1,2023-06
2,-1.69,-0.845,-0.845,0.5,0.081522,-1.84,0,1,0,1,2023-07
2,5.73,2.865,2.865,1.0,999.0,0.0,1,1,1,1,2023-08
1,-0.23,-0.23,-0.23,0.0,0.0,-0.23,0,1,0,1,2023-09
3,7.7,2.566667,1.31,0.666667,2.441948,-5.34,1,1,1,1,2023-10
2,-7.06,-3.53,-3.53,0.5,0.408215,-11.93,0,1,0,1,2023-11
3,-7.1,-2.366667,0.09,0.666667,0.356301,-11.03,0,1,0,1,2023-12
3,21.8,7.266667,6.64,0.666667,5.386318,-4.97,1,1,1,1,2024-01
1,-0.45,-0.45,-0.45,0.0,0.0,-0.45,0,1,0,1,2024-02
1,-0.21,-0.21,-0.21,0.0,0.0,-0.21,0,1,0,1,2024-03
3,17.72,5.906667,2.35,1.0,999.0,0.0,1,1,1,1,2024-04
5,-3.55,-0.71,0.13,0.6,0.802449,-16.14,0,1,0,1,2024-05
3,0.98,0.326667,1.84,0.666667,1.272981,-3.59,1,1,1,1,2024-06
1,-1.37,-1.37,-1.37,0.0,0.0,-1.37,0,1,0,1,2024-07
1,-2.23,-2.23,-2.23,0.0,0.0,-2.23,0,1,0,1,2024-08
4,-5.53,-1.3825,-1.085,0.5,0.38895,-9.05,0,1,0,1,2024-09
2,-4.14,-2.07,-2.07,0.5,0.333333,-6.21,0,1,0,1,2024-10
3,0.52,0.173333,-1.29,0.333333,1.130326,-3.99,1,1,1,1,2024-11
5,14.86,2.972,1.63,0.8,496.333333,-0.03,1,1,1,1,2024-12
1,1.42,1.42,1.42,1.0,999.0,0.0,1,1,1,1,2025-01
4,21.91,5.4775,4.99,0.75,4.005487,-7.29,1,1,1,1,2025-02
2,3.72,1.86,1.86,1.0,999.0,0.0,1,1,1,1,2025-03
6,-1.19,-0.198333,-1.265,0.5,0.939502,-13.18,0,1,0,1,2025-04
8,24.94,3.1175,3.45,0.75,3.366224,-10.54,1,1,1,1,2025-05
3,2.93,0.976667,1.19,0.666667,2.109848,-2.64,1,1,1,1,2025-06
8,9.71,1.21375,1.815,0.625,1.718195,-9.81,1,1,1,1,2025-07
2,14.85,7.425,7.425,1.0,999.0,0.0,1,1,1,1,2025-08
3,7.8,2.6,0.01,0.666667,2.695652,-4.6,1,1,1,1,2025-09
5,5.53,1.106,-6.25,0.4,1.236123,-15.98,1,1,1,1,2025-10
6,20.44,3.406667,2.085,0.833333,3.113754,-9.67,1,1,1,1,2025-11
6,62.39,10.398333,6.06,0.833333,8.010112,-8.9,1,1,1,1,2025-12
2,-10.73,-5.365,-5.365,0.5,0.370305,-17.04,0,1,0,1,2026-01
5,19.9,3.98,2.41,0.6,1.683145,-29.13,1,1,1,1,2026-02
9,-93.95,-10.438889,-15.94,0.444444,0.321416,-130.6,0,1,0,1,2026-03
7,62.97,8.995714,3.46,0.714286,4.15323,-19.97,1,1,1,1,2026-04
7,-31.01,-4.43,-2.77,0.285714,0.382148,-49.75,0,1,0,1,2026-05
5,0.52,0.104,-2.64,0.4,1.019111,-17.78,1,1,1,1,2026-06
