period,events,total,avg,median,win_rate,pf,max_dd,pos_years,years,pos_quarters,quarters
2022Q2,7,-14.81,-2.115714,-0.64,0.428571,0.276149,-16.15,0,1,0,1
2022Q3,12,-9.75,-0.8125,-1.39,0.416667,0.724187,-30.88,0,1,0,1
2022Q4,11,4.17,0.379091,-1.5,0.454545,1.174916,-13.77,1,1,1,1
2023Q1,11,16.5,1.5,0.44,0.636364,4.381148,-2.8,1,1,1,1
2023Q2,14,22.35,1.596429,0.885,0.642857,2.23005,-13.71,1,1,1,1
2023Q3,5,3.81,0.762,0.15,0.6,2.84058,-1.84,1,1,1,1
2023Q4,8,-6.46,-0.8075,0.7,0.625,0.771731,-18.09,0,1,0,1
2024Q1,5,21.14,4.228,-0.21,0.4,4.754885,-5.63,1,1,1,1
2024Q2,11,15.15,1.377273,1.84,0.727273,1.70269,-16.14,1,1,1,1
2024Q3,6,-9.13,-1.521667,-1.8,0.333333,0.278261,-10.51,0,1,0,1
2024Q4,10,11.24,1.124,1.55,0.6,2.098729,-6.21,1,1,1,1
2025Q1,7,27.05,3.864286,2.43,0.857143,4.710562,-7.29,1,1,1,1
2025Q2,17,26.68,1.569412,1.19,0.647059,1.812177,-13.18,1,1,1,1
2025Q3,13,32.36,2.489231,0.99,0.692308,2.785872,-9.81,1,1,1,1
2025Q4,17,88.36,5.197647,2.5,0.705882,3.104311,-15.98,1,1,1,1
2026Q1,16,-84.78,-5.29875,-0.175,0.5,0.540786,-130.6,0,1,0,1
2026Q2,19,32.48,1.709474,-1.42,0.473684,1.333573,-49.75,1,1,1,1
