events,total,avg,median,win_rate,pf,max_dd,pos_years,years,pos_quarters,quarters,period
3,-7.47,-2.49,-0.64,0.333333,0.365874,-11.14,0,1,0,1,2022-05
3,-7.42,-2.473333,-3.34,0.333333,0.145161,-8.68,0,1,0,1,2022-06
3,-3.44,-1.146667,-2.06,0.333333,0.230425,-4.47,0,1,0,1,2022-07
2,-12.93,-6.465,-6.465,0.0,0.0,-12.93,0,1,0,1,2022-08
3,-15.86,-5.286667,-7.03,0.333333,0.079512,-17.23,0,1,0,1,2022-09
4,-11.66,-2.915,-2.735,0.0,0.0,-11.66,0,1,0,1,2022-10
1,3.92,3.92,3.92,1.0,999.0,0.0,1,1,1,1,2022-11
1,2.47,2.47,2.47,1.0,999.0,0.0,1,1,1,1,2023-01
4,4.56,1.14,0.215,0.5,4.102041,-1.47,1,1,1,1,2023-02
3,12.24,4.08,4.75,1.0,999.0,0.0,1,1,1,1,2023-04
2,-2.05,-1.025,-1.025,0.5,0.523256,-4.3,0,1,0,1,2023-05
2,11.16,5.58,5.58,0.5,6.049774,-2.21,1,1,1,1,2023-06
2,-1.69,-0.845,-0.845,0.5,0.081522,-1.84,0,1,0,1,2023-07
2,5.73,2.865,2.865,1.0,999.0,0.0,1,1,1,1,2023-08
1,-0.23,-0.23,-0.23,0.0,0.0,-0.23,0,1,0,1,2023-09
1,1.31,1.31,1.31,1.0,999.0,0.0,1,1,1,1,2023-10
2,-7.06,-3.53,-3.53,0.5,0.408215,-11.93,0,1,0,1,2023-11
1,3.84,3.84,3.84,1.0,999.0,0.0,1,1,1,1,2023-12
2,1.67,0.835,0.835,0.5,1.336016,-4.97,1,1,1,1,2024-01
1,-0.45,-0.45,-0.45,0.0,0.0,-0.45,0,1,0,1,2024-02
1,-0.21,-0.21,-0.21,0.0,0.0,-0.21,0,1,0,1,2024-03
2,16.62,8.31,8.31,1.0,999.0,0.0,1,1,1,1,2024-04
3,14.42,4.806667,5.28,1.0,999.0,0.0,1,1,1,1,2024-05
2,4.57,2.285,2.285,1.0,999.0,0.0,1,1,1,1,2024-06
1,-1.37,-1.37,-1.37,0.0,0.0,-1.37,0,1,0,1,2024-07
1,-2.23,-2.23,-2.23,0.0,0.0,-2.23,0,1,0,1,2024-08
4,-5.53,-1.3825,-1.085,0.5,0.38895,-9.05,0,1,0,1,2024-09
1,2.07,2.07,2.07,1.0,999.0,0.0,1,1,1,1,2024-10
1,4.51,4.51,4.51,1.0,999.0,0.0,1,1,1,1,2024-11
4,7.63,1.9075,1.55,0.75,255.333333,-0.03,1,1,1,1,2024-12
2,-0.61,-0.305,-0.305,0.5,0.916324,-7.29,0,1,0,1,2025-02
2,3.72,1.86,1.86,1.0,999.0,0.0,1,1,1,1,2025-03
2,-2.53,-1.265,-1.265,0.5,0.279202,-3.51,0,1,0,1,2025-04
2,0.04,0.02,0.02,0.5,1.022599,-1.77,1,1,1,1,2025-05
2,-1.45,-0.725,-0.725,0.5,0.450758,-2.64,0,1,0,1,2025-06
6,13.42,2.236667,2.75,0.833333,2.367992,-9.81,1,1,1,1,2025-07
1,0.4,0.4,0.4,1.0,999.0,0.0,1,1,1,1,2025-08
2,12.4,6.2,6.2,1.0,999.0,0.0,1,1,1,1,2025-09
1,21.51,21.51,21.51,1.0,999.0,0.0,1,1,1,1,2025-10
1,0.09,0.09,0.09,1.0,999.0,0.0,1,1,1,1,2025-11
2,32.47,16.235,16.235,1.0,999.0,0.0,1,1,1,1,2025-12
1,6.31,6.31,6.31,1.0,999.0,0.0,1,1,1,1,2026-01
2,-8.09,-4.045,-4.045,0.5,0.492472,-15.94,0,1,0,1,2026-03
2,22.37,11.185,11.185,1.0,999.0,0.0,1,1,1,1,2026-04
1,-1.42,-1.42,-1.42,0.0,0.0,-1.42,0,1,0,1,2026-05
2,27.73,13.865,13.865,1.0,999.0,0.0,1,1,1,1,2026-06
