period,events,total,avg,median,win_rate,pf,max_dd,pos_years,years,pos_quarters,quarters
2022Q2,6,-14.89,-2.481667,-1.99,0.333333,0.272239,-16.15,0,1,0,1
2022Q3,8,-32.23,-4.02875,-3.325,0.25,0.069304,-33.6,0,1,0,1
2022Q4,5,-7.74,-1.548,-2.4,0.2,0.336192,-11.66,0,1,0,1
2023Q1,5,7.03,1.406,0.44,0.6,5.782313,-1.47,1,1,1,1
2023Q2,7,21.35,3.05,2.25,0.714286,4.27957,-4.3,1,1,1,1
2023Q3,5,3.81,0.762,0.15,0.6,2.84058,-1.84,1,1,1,1
2023Q4,4,-1.91,-0.4775,2.575,0.75,0.839899,-11.93,0,1,0,1
2024Q1,4,1.01,0.2525,-0.33,0.25,1.179396,-5.63,1,1,1,1
2024Q2,7,35.61,5.087143,2.73,1.0,999.0,0.0,1,1,1,1
2024Q3,6,-9.13,-1.521667,-1.8,0.333333,0.278261,-10.51,0,1,0,1
2024Q4,6,14.21,2.368333,1.85,0.833333,474.666667,-0.03,1,1,1,1
2025Q1,4,3.11,0.7775,1.86,0.75,1.426612,-7.29,1,1,1,1
2025Q2,6,-3.94,-0.656667,-0.395,0.5,0.502525,-5.13,0,1,0,1
2025Q3,9,26.22,2.913333,2.64,0.888889,3.672783,-9.81,1,1,1,1
2025Q4,4,54.07,13.5175,10.905,1.0,999.0,0.0,1,1,1,1
2026Q1,3,-1.78,-0.593333,6.31,0.666667,0.888331,-15.94,0,1,0,1
2026Q2,5,48.68,9.736,11.64,0.8,35.28169,-1.42,1,1,1,1
