context,source,description,selected_events,coverage,net_total,net_avg,net_median,net_wr,net_pf,net_dd,pos_years,years,pos_quarters,quarters,test_events,test_total,test_median,test_pf,complement_events,complement_total,complement_median,complement_pf,delta_pf_vs_base,delta_median_vs_base,candidate_flag
macro_daily_regime_real_yield_10y_chg5_up,macro_series,macro_daily_regime.real_yield_10y 5-observation change > 0,48,0.510638,137.76,2.87,1.5,0.6875,3.446023,-19.77,4,5,12,16,15,103.24,2.86,6.556512,46,5.72,0.275,1.061439,1.485777,0.395,True
macro_daily_regime_d_real_yield_5d_chg5_up,macro_series,macro_daily_regime.d_real_yield_5d 5-observation change > 0,51,0.542553,134.42,2.635686,1.26,0.686275,3.317986,-15.94,4,5,11,17,16,116.02,4.15,7.244349,43,9.06,0.13,1.099092,1.35774,0.155,True
no_event_next_24h,events,No known event in next 24h,66,0.702128,136.04,2.061212,1.105,0.636364,2.87048,-27.16,4,5,12,17,20,104.36,2.285,7.672634,28,7.44,1.09,1.097014,0.910234,0.0,True
macro_daily_regime_d_usd_20d_pct_chg5_down,macro_series,macro_daily_regime.d_usd_20d_pct 5-observation change < 0,38,0.404255,85.67,2.254474,1.275,0.605263,2.85674,-25.71,4,5,11,17,12,81.91,6.06,24.336182,56,57.81,0.985,1.559741,0.896494,0.17,True
macro_daily_regime_d_usd_5d_pct_chg5_down,macro_series,macro_daily_regime.d_usd_5d_pct 5-observation change < 0,36,0.382979,84.51,2.3475,1.99,0.638889,2.708308,-30.69,4,5,12,17,11,60.35,2.43,6.634921,58,58.97,0.71,1.589995,0.748062,0.885,True
macro_daily_regime_d_real_yield_20d_chg5_down,macro_series,macro_daily_regime.d_real_yield_20d 5-observation change < 0,42,0.446809,66.87,1.592143,1.3,0.619048,2.538302,-21.37,4,5,9,15,13,48.29,2.14,10.094162,52,76.61,0.67,1.723077,0.578056,0.195,True
no_event_prev_24h,events,No known event in previous 24h,74,0.787234,138.99,1.878243,1.105,0.635135,2.508138,-49.35,4,5,12,17,23,114.26,1.81,20.498294,20,4.49,1.09,1.078414,0.547892,0.0,True
macro_daily_regime_nominal_yield_10y_chg5_up,macro_series,macro_daily_regime.nominal_yield_10y 5-observation change > 0,57,0.606383,126.42,2.217895,1.18,0.649123,2.451102,-43.66,4,5,11,17,18,129.7,4.15,8.471198,37,17.06,1.03,1.273836,0.490856,0.075,True
macro_daily_regime_yield_curve_10y2y_chg5_up,macro_series,macro_daily_regime.yield_curve_10y2y 5-observation change > 0,47,0.5,85.75,1.824468,1.37,0.638298,2.387092,-34.98,4,5,12,16,15,73.03,2.43,8.444444,47,57.73,0.4,1.659018,0.426846,0.265,True
macro_numeric_observations_fedfunds_chg5_up,macro_series,macro_numeric_observations.FEDFUNDS 5-observation change > 0,91,0.968085,150.95,1.658791,1.18,0.626374,2.096702,-51.31,4,5,10,17,28,125.68,1.975,4.581647,3,-7.47,-0.64,0.365874,0.136456,0.075,True
macro_numeric_observations_unrate_chg5_up,macro_series,macro_numeric_observations.UNRATE 5-observation change > 0,91,0.968085,150.95,1.658791,1.18,0.626374,2.096702,-51.31,4,5,10,17,28,125.68,1.975,4.581647,3,-7.47,-0.64,0.365874,0.136456,0.075,True
macro_numeric_observations_dfii10_chg5_up,macro_series,macro_numeric_observations.DFII10 5-observation change > 0,94,1.0,143.48,1.526383,1.105,0.617021,1.960246,-58.78,4,5,10,17,29,126.97,1.81,4.61841,0,0.0,0.0,0.0,0.0,0.0,True
macro_numeric_observations_dgs10_chg5_up,macro_series,macro_numeric_observations.DGS10 5-observation change > 0,94,1.0,143.48,1.526383,1.105,0.617021,1.960246,-58.78,4,5,10,17,29,126.97,1.81,4.61841,0,0.0,0.0,0.0,0.0,0.0,True
macro_numeric_observations_dgs2_chg5_up,macro_series,macro_numeric_observations.DGS2 5-observation change > 0,94,1.0,143.48,1.526383,1.105,0.617021,1.960246,-58.78,4,5,10,17,29,126.97,1.81,4.61841,0,0.0,0.0,0.0,0.0,0.0,True
macro_numeric_observations_dtwexbgs_chg5_up,macro_series,macro_numeric_observations.DTWEXBGS 5-observation change > 0,94,1.0,143.48,1.526383,1.105,0.617021,1.960246,-58.78,4,5,10,17,29,126.97,1.81,4.61841,0,0.0,0.0,0.0,0.0,0.0,True
no_fomc_cpi_nfp_prev_24h,events,No FOMC/CPI/NFP-like event in previous 24h,94,1.0,143.48,1.526383,1.105,0.617021,1.960246,-58.78,4,5,10,17,29,126.97,1.81,4.61841,0,0.0,0.0,0.0,0.0,0.0,True
macro_daily_regime_rate_pressure_score_chg5_down,macro_series,macro_daily_regime.rate_pressure_score 5-observation change < 0,17,0.180851,34.96,2.056471,1.26,0.764706,5.060395,-4.3,4,4,9,10,6,18.97,1.395,7.65614,77,108.52,0.99,1.770684,3.100149,0.155,False
macro_daily_regime_usd_index_chg5_down,macro_series,macro_daily_regime.usd_index 5-observation change < 0,36,0.382979,95.52,2.653333,0.665,0.583333,3.002516,-23.27,4,5,8,15,11,82.55,1.29,11.904888,58,47.96,1.185,1.47149,1.04227,-0.44,False
macro_daily_regime_nominal_yield_2y_chg5_up,macro_series,macro_daily_regime.nominal_yield_2y 5-observation change > 0,56,0.595745,103.73,1.852321,0.945,0.642857,2.595355,-21.07,4,5,11,17,17,90.3,2.86,6.201613,38,39.75,1.225,1.470972,0.635109,-0.16,False
macro_supportive,macro_score,Known macro series directional score supportive for gold,92,0.978723,137.98,1.499783,1.01,0.608696,1.923437,-58.78,4,5,10,17,28,114.18,1.24,3.694195,2,5.5,2.75,999.0,-0.036809,-0.095,False
macro_score_ge_2,macro_score,Macro support score >= 2,86,0.914894,133.73,1.555,1.105,0.627907,1.919739,-58.78,4,5,9,17,26,120.18,1.5,4.424907,8,9.75,0.71,3.425373,-0.040507,0.0,False
