table,rows,status,reason
event_impact_validation_summary,7,ignored,no_date_column
event_pipeline_runs,2,ignored,no_date_column
event_pipeline_staging,5,loaded_wide,date_col=event_time_utc;value_cols=4;series=4
macro_context_h1,24225,loaded_wide,date_col=utc_time;value_cols=4;series=4
macro_daily_regime,1620,loaded_wide,date_col=obs_date;value_cols=22;series=22
macro_events,0,ignored,empty
macro_numeric_observations,8444,loaded_long,date_col=obs_date;series_col=series_id;value_col=_date;series=11
macro_update_runs,8,ignored,no_date_column
news_event_class_weights,7,loaded_wide,date_col=candidate_relevant_count;value_cols=8;series=8
news_event_reactions,510,loaded_wide,date_col=event_time_utc;value_cols=21;series=21
news_events,516,loaded_wide,date_col=event_time_utc;value_cols=4;series=4
numeric_shock_event_runs,3,ignored,no_date_column
numeric_shock_events,500,loaded_wide,date_col=event_time_utc;value_cols=4;series=4
