period,events,total,avg,median,win_rate,pf,max_dd,pos_years,years,pos_quarters,quarters
2022-07,1,-2.41,-2.41,-2.41,0.0,0.0,-2.41,0,1,0,1
2022-09,3,-15.86,-5.286667,-7.03,0.333333,0.079512,-17.23,0,1,0,1
2022-10,1,-1.5,-1.5,-1.5,0.0,0.0,-1.5,0,1,0,1
2022-11,1,3.92,3.92,3.92,1.0,999.0,0.0,1,1,1,1
2023-02,4,4.56,1.14,0.215,0.5,4.102041,-1.47,1,1,1,1
2023-04,1,1.18,1.18,1.18,1.0,999.0,0.0,1,1,1,1
2023-05,2,-2.05,-1.025,-1.025,0.5,0.523256,-4.3,0,1,0,1
2023-06,1,-2.21,-2.21,-2.21,0.0,0.0,-2.21,0,1,0,1
2023-07,1,-1.84,-1.84,-1.84,0.0,0.0,-1.84,0,1,0,1
2023-08,2,5.73,2.865,2.865,1.0,999.0,0.0,1,1,1,1
2023-09,1,-0.23,-0.23,-0.23,0.0,0.0,-0.23,0,1,0,1
2023-11,1,4.87,4.87,4.87,1.0,999.0,0.0,1,1,1,1
2024-01,2,1.67,0.835,0.835,0.5,1.336016,-4.97,1,1,1,1
2024-03,1,-0.21,-0.21,-0.21,0.0,0.0,-0.21,0,1,0,1
2024-04,2,16.62,8.31,8.31,1.0,999.0,0.0,1,1,1,1
2024-05,1,5.28,5.28,5.28,1.0,999.0,0.0,1,1,1,1
2024-07,1,-1.37,-1.37,-1.37,0.0,0.0,-1.37,0,1,0,1
2024-09,1,2.14,2.14,2.14,1.0,999.0,0.0,1,1,1,1
2024-11,1,4.51,4.51,4.51,1.0,999.0,0.0,1,1,1,1
2024-12,2,6.19,3.095,3.095,1.0,999.0,0.0,1,1,1,1
2025-03,2,3.72,1.86,1.86,1.0,999.0,0.0,1,1,1,1
2025-05,1,1.81,1.81,1.81,1.0,999.0,0.0,1,1,1,1
2025-06,1,-2.64,-2.64,-2.64,0.0,0.0,-2.64,0,1,0,1
2025-07,4,11.93,2.9825,2.75,1.0,999.0,0.0,1,1,1,1
2025-09,1,0.01,0.01,0.01,1.0,999.0,0.0,1,1,1,1
2025-10,1,21.51,21.51,21.51,1.0,999.0,0.0,1,1,1,1
2025-11,1,0.09,0.09,0.09,1.0,999.0,0.0,1,1,1,1
2025-12,2,32.47,16.235,16.235,1.0,999.0,0.0,1,1,1,1
2026-03,2,-8.09,-4.045,-4.045,0.5,0.492472,-15.94,0,1,0,1
2026-04,1,20.23,20.23,20.23,1.0,999.0,0.0,1,1,1,1
2026-06,2,27.73,13.865,13.865,1.0,999.0,0.0,1,1,1,1
