period,events,total,avg,median,win_rate,pf,max_dd,pos_years,years,pos_quarters,quarters
2022Q3,4,-18.27,-4.5675,-4.72,0.25,0.069756,-19.64,0,1,0,1
2022Q4,2,2.42,1.21,1.21,0.5,2.613333,-1.5,1,1,1,1
2023Q1,4,4.56,1.14,0.215,0.5,4.102041,-1.47,1,1,1,1
2023Q2,4,-3.08,-0.77,-0.515,0.5,0.526882,-6.51,0,1,0,1
2023Q3,4,3.66,0.915,0.335,0.5,2.768116,-1.84,1,1,1,1
2023Q4,1,4.87,4.87,4.87,1.0,999.0,0.0,1,1,1,1
2024Q1,3,1.46,0.486667,-0.21,0.333333,1.281853,-5.18,1,1,1,1
2024Q2,3,21.9,7.3,5.28,1.0,999.0,0.0,1,1,1,1
2024Q3,2,0.77,0.385,0.385,0.5,1.562044,-1.37,1,1,1,1
2024Q4,3,10.7,3.566667,4.51,1.0,999.0,0.0,1,1,1,1
2025Q1,2,3.72,1.86,1.86,1.0,999.0,0.0,1,1,1,1
2025Q2,2,-0.83,-0.415,-0.415,0.5,0.685606,-2.64,0,1,0,1
2025Q3,5,11.94,2.388,2.64,1.0,999.0,0.0,1,1,1,1
2025Q4,4,54.07,13.5175,10.905,1.0,999.0,0.0,1,1,1,1
2026Q1,2,-8.09,-4.045,-4.045,0.5,0.492472,-15.94,0,1,0,1
2026Q2,3,47.96,15.986667,16.09,1.0,999.0,0.0,1,1,1,1
