behavior,side,condition_name,horizon_bars,cooldown_bars,signal_dt,entry_dt,exit_dt,entry_price,exit_price,gross_ret,net_x1,net_x2,net_x4,mfe,mae,session,hour,pdh,pdl,asia_range,compression6,h4_up,h4_down,variant
pdl_sweep_reclaim_long_loose,LONG,pdl_sweep_reclaim_long_loose,4,0,2022-05-09 12:15:00+00:00,2022-05-09 12:30:00+00:00,2022-05-09 13:30:00+00:00,1866.89,1859.26,-7.63,-7.98,-8.33,-9.03,0.27,10.91,new_york,12,1892.36,1865.91,11.849999999999909,1.0573694284932915,False,True,pdl_sweep_reclaim_long_loose_h4_cool0
pdl_sweep_reclaim_long_loose,LONG,pdl_sweep_reclaim_long_loose,4,0,2022-05-09 15:30:00+00:00,2022-05-09 15:45:00+00:00,2022-05-09 16:45:00+00:00,1868.37,1863.72,-4.65,-5.0,-5.35,-6.05,2.94,6.27,new_york,15,1892.36,1865.91,11.849999999999909,1.249641177926243,False,True,pdl_sweep_reclaim_long_loose_h4_cool0
pdl_sweep_reclaim_long_loose,LONG,pdl_sweep_reclaim_long_loose,4,0,2022-05-11 12:15:00+00:00,2022-05-11 12:30:00+00:00,2022-05-11 13:30:00+00:00,1853.14,1852.74,-0.4,-0.75,-1.1,-1.8,0.17,2.63,new_york,12,1885.49,1851.49,8.169999999999845,0.9673868732164733,False,True,pdl_sweep_reclaim_long_loose_h4_cool0
pdl_sweep_reclaim_long_loose,LONG,pdl_sweep_reclaim_long_loose,4,0,2022-05-16 11:15:00+00:00,2022-05-16 11:30:00+00:00,2022-05-16 12:30:00+00:00,1800.17,1804.83,4.66,4.31,3.96,3.26,6.27,4.49,london,11,1828.56,1798.91,7.9500000000000455,1.342319922577089,False,True,pdl_sweep_reclaim_long_loose_h4_cool0
pdl_sweep_reclaim_long_loose,LONG,pdl_sweep_reclaim_long_loose,4,0,2022-05-19 11:00:00+00:00,2022-05-19 11:15:00+00:00,2022-05-19 12:15:00+00:00,1813.17,1825.67,12.5,12.15,11.8,11.1,15.45,2.39,london,11,1835.9,1812.66,3.7799999999999727,0.9684638860630779,False,True,pdl_sweep_reclaim_long_loose_h4_cool0
pdl_sweep_reclaim_long_loose,LONG,pdl_sweep_reclaim_long_loose,4,0,2022-05-26 10:45:00+00:00,2022-05-26 11:00:00+00:00,2022-05-26 12:00:00+00:00,1849.3,1845.89,-3.41,-3.76,-4.11,-4.81,0.89,3.99,london,10,1869.49,1849.07,5.4699999999998,1.197225042301189,False,True,pdl_sweep_reclaim_long_loose_h4_cool0
pdl_sweep_reclaim_long_loose,LONG,pdl_sweep_reclaim_long_loose,4,0,2022-05-31 15:15:00+00:00,2022-05-31 15:30:00+00:00,2022-05-31 16:30:00+00:00,1851.55,1851.93,0.38,0.03,-0.32,-1.02,1.55,4.59,new_york,15,1853.74,1850.6,10.900000000000091,1.1522797698096534,False,True,pdl_sweep_reclaim_long_loose_h4_cool0
pdl_sweep_reclaim_long_loose,LONG,pdl_sweep_reclaim_long_loose,4,0,2022-05-31 16:15:00+00:00,2022-05-31 16:30:00+00:00,2022-05-31 17:30:00+00:00,1851.12,1842.84,-8.28,-8.63,-8.98,-9.68,4.05,11.5,new_york,16,1853.74,1850.6,10.900000000000091,1.1600777312200121,False,True,pdl_sweep_reclaim_long_loose_h4_cool0
pdl_sweep_reclaim_long_loose,LONG,pdl_sweep_reclaim_long_loose,4,0,2022-06-07 13:45:00+00:00,2022-06-07 14:00:00+00:00,2022-06-07 15:00:00+00:00,1850.04,1847.05,-2.99,-3.34,-3.69,-4.39,1.73,3.08,new_york,13,1852.39,1849.46,5.460000000000036,1.2781160333123252,False,True,pdl_sweep_reclaim_long_loose_h4_cool0
pdl_sweep_reclaim_long_loose,LONG,pdl_sweep_reclaim_long_loose,4,0,2022-06-10 08:15:00+00:00,2022-06-10 08:30:00+00:00,2022-06-10 09:30:00+00:00,1844.4,1844.0,-0.4,-0.75,-1.1,-1.8,1.44,1.01,london,8,1859.42,1844.31,3.7799999999999727,0.8812560386473257,False,True,pdl_sweep_reclaim_long_loose_h4_cool0
