behavior,side,horizon_bars,horizon_minutes,cooldown_bars,decision,score,reasons,events,freq_per_month,total_x1,avg_x1,median_x1,wr_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,train80_events,train80_total,train80_pf,test20_events,test20_total,test20_median,test20_pf,test30_events,test30_total,test30_pf,events_2026,total_2026,median_2026,pf_2026,pos_years,years,variant
pdh_breakout_continuation_long,LONG,32,480,4,PROMOTE_STAGE17B_EXACT_REPLAY,14.722042,"Passed frequency, cost, 80/20 test, year breadth, and 2026 checks.",758,15.16,1171.09,1.544974,0.765,0.527704,1.256304,-295.03,905.79,1.192869,375.19,1.075642,606,453.16,1.169743,152,717.93,4.875,1.377965,228,1036.96,1.436251,78,339.87,-0.225,1.289658,4,5,pdh_breakout_continuation_long_h32_cool4
asia_high_breakout_long,LONG,32,480,0,WATCHLIST_ONLY,14.511126,Positive but not strong enough for promotion.,625,12.755102,636.01,1.017616,0.29,0.5024,1.195696,-188.36,417.26,1.124216,-20.24,0.994354,500,126.21,1.05258,125,509.8,2.13,1.600019,188,612.86,1.544711,16,333.16,24.635,3.871079,3,5,asia_high_breakout_long_h32_cool0
pdl_sweep_reclaim_long_controlled,LONG,4,60,0,WATCHLIST_ONLY,12.69859,Positive but not strong enough for promotion.,155,3.369565,143.4,0.925161,0.28,0.529032,1.407722,-75.12,89.15,1.235765,-19.35,0.955531,124,2.45,1.009024,31,140.95,3.6,2.757262,47,164.78,2.422479,15,120.03,6.31,9.482686,4,5,pdl_sweep_reclaim_long_controlled_h4_cool0
pdl_sweep_reclaim_long_controlled,LONG,4,60,4,WATCHLIST_ONLY,12.483106,Positive but not strong enough for promotion.,145,3.152174,119.32,0.822897,0.28,0.524138,1.36859,-70.46,68.57,1.196735,-32.93,0.918093,116,-10.47,0.959106,29,129.79,3.6,2.917418,44,146.22,2.473546,13,107.07,6.31,32.215743,4,5,pdl_sweep_reclaim_long_controlled_h4_cool4
asia_high_breakout_long,LONG,32,480,4,WATCHLIST_ONLY,11.506304,Positive but not strong enough for promotion.,564,11.510204,405.6,0.719149,0.22,0.503546,1.137518,-202.69,208.2,1.068307,-186.6,0.942653,451,115.22,1.054096,113,290.38,0.11,1.354325,170,369.08,1.343212,13,280.9,26.54,5.480778,4,5,asia_high_breakout_long_h32_cool4
asia_low_breakdown_short,SHORT,32,480,0,WATCHLIST_ONLY,9.140947,Positive but not strong enough for promotion.,475,9.693878,262.78,0.553221,-0.76,0.48,1.099151,-250.83,96.53,1.035269,-235.97,0.9191,380,102.35,1.055231,95,160.43,-1.91,1.201247,143,317.19,1.301577,12,249.2,12.48,3.703406,3,5,asia_low_breakdown_short_h32_cool0
asia_low_breakdown_short,SHORT,32,480,4,WATCHLIST_ONLY,8.764544,Positive but not strong enough for promotion.,433,8.836735,247.08,0.570624,-0.43,0.484988,1.101502,-281.93,95.53,1.038017,-207.57,0.922418,346,125.58,1.074558,87,121.5,-0.86,1.162019,130,317.35,1.33334,9,303.99,18.28,9.130249,3,5,asia_low_breakdown_short_h32_cool4
pdl_sweep_reclaim_long_controlled,LONG,8,120,4,WATCHLIST_ONLY,8.673296,Positive but not strong enough for promotion.,138,3.0,111.37,0.807029,-0.065,0.5,1.25792,-84.53,63.07,1.138136,-33.53,0.933862,110,4.5,1.014721,28,106.87,0.825,1.847368,42,139.18,1.93958,12,70.97,6.73,2.522308,4,5,pdl_sweep_reclaim_long_controlled_h8_cool4
pdl_breakdown_continuation_short,SHORT,32,480,0,WATCHLIST_ONLY,8.326469,Positive but not strong enough for promotion.,613,12.26,431.47,0.703866,-0.34,0.492659,1.090117,-475.94,216.92,1.044289,-212.18,0.95861,490,-279.26,0.892118,123,710.73,-1.31,1.323159,184,606.31,1.220532,66,685.63,0.855,1.450883,2,5,pdl_breakdown_continuation_short_h32_cool0
compressed_range_up_break_long,LONG,8,120,0,WATCHLIST_ONLY,7.056449,Positive but not strong enough for promotion.,161,3.5,123.22,0.765342,0.53,0.540373,1.256063,-76.37,66.87,1.13166,-45.83,0.919098,128,108.24,1.450081,33,14.98,2.62,1.06223,49,104.51,1.412952,26,23.19,3.065,1.118978,4,5,compressed_range_up_break_long_h8_cool0
pdl_sweep_reclaim_long_controlled,LONG,8,120,0,WATCHLIST_ONLY,6.676873,Positive but not strong enough for promotion.,145,3.152174,78.05,0.538276,-0.19,0.489655,1.164209,-87.26,27.3,1.0544,-74.2,0.866482,116,1.7,1.005335,29,76.35,-0.37,1.487423,44,93.0,1.491647,13,40.45,4.03,1.524371,4,5,pdl_sweep_reclaim_long_controlled_h8_cool0
compressed_range_up_break_long,LONG,8,120,4,WATCHLIST_ONLY,6.642808,Positive but not strong enough for promotion.,150,3.26087,110.55,0.737,0.53,0.533333,1.240614,-76.37,58.05,1.119832,-46.95,0.912904,120,105.61,1.471431,30,4.94,1.01,1.020983,45,85.66,1.341861,25,13.36,2.62,1.068544,4,5,compressed_range_up_break_long_h8_cool4
pdh_breakout_continuation_long,LONG,32,480,0,WATCHLIST_ONLY,6.342696,Positive but not strong enough for promotion.,787,15.74,526.94,0.669555,0.54,0.518424,1.103088,-355.11,251.49,1.047934,-299.41,0.945816,629,246.15,1.081064,158,280.79,3.29,1.135316,237,665.39,1.260481,82,49.45,-1.93,1.036164,2,5,pdh_breakout_continuation_long_h32_cool0
