events,total,avg,median,wr,pf,dd,pos_years,years,months,year,variant,behavior,horizon_bars,cooldown_bars
59,-64.56,-1.094237,-1.96,0.40678,0.590277,-73.68,0,1,8,2022,pdl_sweep_reclaim_long_loose_h4_cool0,pdl_sweep_reclaim_long_loose,4,0
62,-31.77,-0.512419,-0.65,0.435484,0.757888,-53.3,0,1,11,2023,pdl_sweep_reclaim_long_loose_h4_cool0,pdl_sweep_reclaim_long_loose,4,0
65,-15.86,-0.244,0.46,0.553846,0.89657,-38.28,0,1,12,2024,pdl_sweep_reclaim_long_loose_h4_cool0,pdl_sweep_reclaim_long_loose,4,0
75,34.71,0.4628,1.03,0.56,1.155511,-63.26,1,1,12,2025,pdl_sweep_reclaim_long_loose_h4_cool0,pdl_sweep_reclaim_long_loose,4,0
23,88.0,3.826087,3.6,0.695652,1.830973,-86.86,1,1,6,2026,pdl_sweep_reclaim_long_loose_h4_cool0,pdl_sweep_reclaim_long_loose,4,0
51,-58.17,-1.140588,-1.96,0.411765,0.580938,-69.61,0,1,8,2022,pdl_sweep_reclaim_long_loose_h4_cool4,pdl_sweep_reclaim_long_loose,4,4
58,-18.06,-0.311379,-0.49,0.448276,0.84369,-37.62,0,1,11,2023,pdl_sweep_reclaim_long_loose_h4_cool4,pdl_sweep_reclaim_long_loose,4,4
61,-14.51,-0.237869,0.46,0.540984,0.90166,-40.62,0,1,12,2024,pdl_sweep_reclaim_long_loose_h4_cool4,pdl_sweep_reclaim_long_loose,4,4
64,17.72,0.276875,0.77,0.546875,1.090219,-63.65,1,1,12,2025,pdl_sweep_reclaim_long_loose_h4_cool4,pdl_sweep_reclaim_long_loose,4,4
21,75.04,3.573333,3.6,0.714286,1.788401,-76.41,1,1,6,2026,pdl_sweep_reclaim_long_loose_h4_cool4,pdl_sweep_reclaim_long_loose,4,4
51,-18.52,-0.363137,-0.78,0.431373,0.879238,-61.28,0,1,8,2022,pdl_sweep_reclaim_long_loose_h8_cool0,pdl_sweep_reclaim_long_loose,8,0
58,-8.96,-0.154483,-1.135,0.431034,0.92813,-52.45,0,1,11,2023,pdl_sweep_reclaim_long_loose_h8_cool0,pdl_sweep_reclaim_long_loose,8,0
61,-23.11,-0.378852,-0.16,0.491803,0.892602,-73.52,0,1,12,2024,pdl_sweep_reclaim_long_loose_h8_cool0,pdl_sweep_reclaim_long_loose,8,0
64,31.96,0.499375,0.275,0.515625,1.134995,-63.52,1,1,12,2025,pdl_sweep_reclaim_long_loose_h8_cool0,pdl_sweep_reclaim_long_loose,8,0
21,18.58,0.884762,4.03,0.619048,1.11013,-105.46,1,1,6,2026,pdl_sweep_reclaim_long_loose_h8_cool0,pdl_sweep_reclaim_long_loose,8,0
48,-12.5,-0.260417,-0.72,0.4375,0.913369,-55.26,0,1,8,2022,pdl_sweep_reclaim_long_loose_h8_cool4,pdl_sweep_reclaim_long_loose,8,4
55,-2.49,-0.045273,-1.03,0.454545,0.978934,-48.11,0,1,11,2023,pdl_sweep_reclaim_long_loose_h8_cool4,pdl_sweep_reclaim_long_loose,8,4
54,-35.89,-0.66463,-0.02,0.5,0.815381,-75.19,0,1,12,2024,pdl_sweep_reclaim_long_loose_h8_cool4,pdl_sweep_reclaim_long_loose,8,4
59,50.42,0.854576,0.55,0.525424,1.234185,-52.48,1,1,12,2025,pdl_sweep_reclaim_long_loose_h8_cool4,pdl_sweep_reclaim_long_loose,8,4
20,31.12,1.556,4.415,0.65,1.19927,-105.46,1,1,6,2026,pdl_sweep_reclaim_long_loose_h8_cool4,pdl_sweep_reclaim_long_loose,8,4
43,-10.75,-0.25,-1.87,0.418605,0.93236,-84.67,0,1,8,2022,pdl_sweep_reclaim_long_loose_h16_cool0,pdl_sweep_reclaim_long_loose,16,0
55,59.81,1.087455,0.39,0.527273,1.368833,-57.33,1,1,11,2023,pdl_sweep_reclaim_long_loose_h16_cool0,pdl_sweep_reclaim_long_loose,16,0
51,-40.62,-0.796471,0.77,0.54902,0.831172,-116.45,0,1,12,2024,pdl_sweep_reclaim_long_loose_h16_cool0,pdl_sweep_reclaim_long_loose,16,0
58,-21.8,-0.375862,0.855,0.551724,0.938102,-125.71,0,1,12,2025,pdl_sweep_reclaim_long_loose_h16_cool0,pdl_sweep_reclaim_long_loose,16,0
19,97.98,5.156842,2.86,0.631579,1.655823,-52.56,1,1,6,2026,pdl_sweep_reclaim_long_loose_h16_cool0,pdl_sweep_reclaim_long_loose,16,0
42,-6.42,-0.152857,-1.635,0.428571,0.958658,-84.67,0,1,8,2022,pdl_sweep_reclaim_long_loose_h16_cool4,pdl_sweep_reclaim_long_loose,16,4
54,68.19,1.262778,0.445,0.537037,1.443426,-60.87,1,1,11,2023,pdl_sweep_reclaim_long_loose_h16_cool4,pdl_sweep_reclaim_long_loose,16,4
51,-40.62,-0.796471,0.77,0.54902,0.831172,-116.45,0,1,12,2024,pdl_sweep_reclaim_long_loose_h16_cool4,pdl_sweep_reclaim_long_loose,16,4
57,-35.43,-0.621579,1.07,0.54386,0.902979,-139.34,0,1,12,2025,pdl_sweep_reclaim_long_loose_h16_cool4,pdl_sweep_reclaim_long_loose,16,4
19,96.23,5.064737,2.86,0.631579,1.64411,-52.56,1,1,6,2026,pdl_sweep_reclaim_long_loose_h16_cool4,pdl_sweep_reclaim_long_loose,16,4
40,-35.93,-0.89825,-2.93,0.35,0.830878,-113.59,0,1,8,2022,pdl_sweep_reclaim_long_loose_h32_cool0,pdl_sweep_reclaim_long_loose,32,0
52,6.68,0.128462,-3.105,0.442308,1.027028,-94.54,1,1,11,2023,pdl_sweep_reclaim_long_loose_h32_cool0,pdl_sweep_reclaim_long_loose,32,0
47,-104.2,-2.217021,1.95,0.617021,0.704246,-213.12,0,1,12,2024,pdl_sweep_reclaim_long_loose_h32_cool0,pdl_sweep_reclaim_long_loose,32,0
47,-74.85,-1.592553,3.07,0.553191,0.842444,-171.77,0,1,12,2025,pdl_sweep_reclaim_long_loose_h32_cool0,pdl_sweep_reclaim_long_loose,32,0
18,10.38,0.576667,0.66,0.5,1.021632,-256.75,1,1,6,2026,pdl_sweep_reclaim_long_loose_h32_cool0,pdl_sweep_reclaim_long_loose,32,0
40,-35.93,-0.89825,-2.93,0.35,0.830878,-113.59,0,1,8,2022,pdl_sweep_reclaim_long_loose_h32_cool4,pdl_sweep_reclaim_long_loose,32,4
51,9.65,0.189216,-3.24,0.45098,1.03952,-91.57,1,1,11,2023,pdl_sweep_reclaim_long_loose_h32_cool4,pdl_sweep_reclaim_long_loose,32,4
46,-117.04,-2.544348,1.725,0.608696,0.667802,-213.12,0,1,12,2024,pdl_sweep_reclaim_long_loose_h32_cool4,pdl_sweep_reclaim_long_loose,32,4
43,-115.56,-2.687442,1.44,0.511628,0.756752,-174.84,0,1,12,2025,pdl_sweep_reclaim_long_loose_h32_cool4,pdl_sweep_reclaim_long_loose,32,4
17,-43.18,-2.54,-5.11,0.470588,0.910012,-256.75,0,1,6,2026,pdl_sweep_reclaim_long_loose_h32_cool4,pdl_sweep_reclaim_long_loose,32,4
