shift_hours,signal_dt,entry_dt,exit_dt,session,hour,entry_price,exit_price,gross_ret,net_x1,net_x2,net_x4,pdh,close_above_pdh,break_above_pdh
0.0,2022-05-05 07:00:00+00:00,2022-05-05 07:15:00+00:00,2022-05-05 15:15:00+00:00,london,7,1901.08,1899.63,-1.45,-1.8,-2.15,-2.85,1877.88,23.2,24.41
0.0,2022-05-05 16:00:00+00:00,2022-05-05 16:15:00+00:00,2022-05-06 00:15:00+00:00,new_york,16,1906.3,1877.05,-29.25,-29.6,-29.95,-30.65,1877.88,28.44,31.7
0.0,2022-05-17 07:00:00+00:00,2022-05-17 07:15:00+00:00,2022-05-17 15:15:00+00:00,london,7,1822.71,1832.45,9.74,9.39,9.04,8.34,1814.26,8.46,8.51
0.0,2022-05-17 16:00:00+00:00,2022-05-17 16:15:00+00:00,2022-05-18 00:15:00+00:00,new_york,16,1831.11,1812.84,-18.27,-18.62,-18.97,-19.67,1814.26,16.87,19.66
0.0,2022-05-19 15:45:00+00:00,2022-05-19 16:00:00+00:00,2022-05-20 00:00:00+00:00,new_york,15,1837.62,1841.57,3.95,3.6,3.25,2.55,1835.9,1.75,5.12
0.0,2022-05-20 07:00:00+00:00,2022-05-20 07:15:00+00:00,2022-05-20 15:15:00+00:00,london,7,1841.11,1843.57,2.46,2.11,1.76,1.06,1824.46,16.59,17.09
0.0,2022-05-20 16:00:00+00:00,2022-05-20 16:15:00+00:00,2022-05-23 00:15:00+00:00,new_york,16,1841.59,1847.19,5.6,5.25,4.9,4.2,1824.46,17.17,20.67
0.0,2022-05-23 07:00:00+00:00,2022-05-23 07:15:00+00:00,2022-05-23 15:15:00+00:00,london,7,1853.96,1863.14,9.18,8.83,8.48,7.78,1849.2,4.72,5.46
0.0,2022-05-23 16:00:00+00:00,2022-05-23 16:15:00+00:00,2022-05-24 00:15:00+00:00,new_york,16,1855.91,1853.45,-2.46,-2.81,-3.16,-3.86,1849.2,6.73,9.3
0.0,2022-05-24 07:00:00+00:00,2022-05-24 07:15:00+00:00,2022-05-24 15:15:00+00:00,london,7,1855.8,1859.32,3.52,3.17,2.82,2.12,1849.15,6.66,6.66
0.0,2022-05-24 16:00:00+00:00,2022-05-24 16:15:00+00:00,2022-05-25 00:15:00+00:00,new_york,16,1860.15,1866.29,6.14,5.79,5.44,4.74,1849.15,10.99,11.37
0.0,2022-05-30 08:45:00+00:00,2022-05-30 09:00:00+00:00,2022-05-30 17:00:00+00:00,london,8,1862.75,1857.44,-5.31,-5.66,-6.01,-6.71,1861.77,1.02,1.39
0.0,2022-05-31 09:30:00+00:00,2022-05-31 09:45:00+00:00,2022-05-31 17:45:00+00:00,london,9,1854.84,1844.77,-10.07,-10.42,-10.77,-11.47,1853.74,1.07,1.35
0.0,2022-06-02 16:15:00+00:00,2022-06-02 16:30:00+00:00,2022-06-03 00:30:00+00:00,new_york,16,1860.57,1869.2,8.63,8.28,7.93,7.23,1856.93,3.67,4.0
0.0,2022-06-03 07:00:00+00:00,2022-06-03 07:15:00+00:00,2022-06-03 15:15:00+00:00,london,7,1868.42,1865.93,-2.49,-2.84,-3.19,-3.89,1849.77,18.63,19.25
0.0,2022-06-03 16:00:00+00:00,2022-06-03 16:15:00+00:00,2022-06-06 00:15:00+00:00,new_york,16,1858.27,1852.42,-5.85,-6.2,-6.55,-7.25,1849.77,8.37,11.23
0.0,2022-06-16 07:00:00+00:00,2022-06-16 07:15:00+00:00,2022-06-16 15:15:00+00:00,london,7,1832.34,1823.82,-8.52,-8.87,-9.22,-9.92,1831.41,0.9,1.38
0.0,2022-06-17 07:15:00+00:00,2022-06-17 07:30:00+00:00,2022-06-17 15:30:00+00:00,london,7,1843.08,1849.43,6.35,6.0,5.65,4.95,1841.62,1.45,2.75
0.0,2022-06-17 16:15:00+00:00,2022-06-17 16:30:00+00:00,2022-06-20 00:30:00+00:00,new_york,16,1849.48,1838.32,-11.16,-11.51,-11.86,-12.56,1841.62,7.83,9.52
0.0,2022-06-27 07:00:00+00:00,2022-06-27 07:15:00+00:00,2022-06-27 15:15:00+00:00,london,7,1835.01,1832.93,-2.08,-2.43,-2.78,-3.48,1831.59,3.4,3.5
0.0,2022-07-04 07:00:00+00:00,2022-07-04 07:15:00+00:00,2022-07-04 15:15:00+00:00,london,7,1811.53,1807.35,-4.18,-4.53,-4.88,-5.58,1809.1,2.46,2.81
0.0,2022-07-18 08:45:00+00:00,2022-07-18 09:00:00+00:00,2022-07-18 17:00:00+00:00,london,8,1717.5,1719.05,1.55,1.2,0.85,0.15,1716.43,1.07,1.22
0.0,2022-07-19 08:15:00+00:00,2022-07-19 08:30:00+00:00,2022-07-19 16:30:00+00:00,london,8,1709.66,1711.61,1.95,1.6,1.25,0.55,1708.87,1.06,1.18
0.0,2022-07-22 09:00:00+00:00,2022-07-22 09:15:00+00:00,2022-07-22 17:15:00+00:00,london,9,1715.83,1735.6,19.77,19.42,19.07,18.37,1714.22,1.51,2.49
0.0,2022-07-28 07:00:00+00:00,2022-07-28 07:15:00+00:00,2022-07-28 15:15:00+00:00,london,7,1736.99,1738.58,1.59,1.24,0.89,0.19,1728.07,8.94,8.94
0.0,2022-07-28 16:00:00+00:00,2022-07-28 16:15:00+00:00,2022-07-29 00:15:00+00:00,new_york,16,1742.34,1755.03,12.69,12.34,11.99,11.29,1728.07,14.33,21.6
0.0,2022-07-29 07:00:00+00:00,2022-07-29 07:15:00+00:00,2022-07-29 15:15:00+00:00,london,7,1762.69,1757.42,-5.27,-5.62,-5.97,-6.67,1739.98,22.69,23.81
0.0,2022-07-29 16:00:00+00:00,2022-07-29 16:15:00+00:00,2022-08-01 00:15:00+00:00,new_york,16,1756.87,1763.25,6.38,6.03,5.68,4.98,1739.98,16.82,18.69
0.0,2022-08-01 12:45:00+00:00,2022-08-01 13:00:00+00:00,2022-08-01 21:00:00+00:00,new_york,12,1770.54,1769.42,-1.12,-1.47,-1.82,-2.52,1767.74,2.72,3.18
0.0,2022-08-02 07:00:00+00:00,2022-08-02 07:15:00+00:00,2022-08-02 15:15:00+00:00,london,7,1774.31,1779.87,5.56,5.21,4.86,4.16,1765.16,9.14,9.65
0.0,2022-08-02 16:00:00+00:00,2022-08-02 16:15:00+00:00,2022-08-03 00:15:00+00:00,new_york,16,1783.98,1757.05,-26.93,-27.28,-27.63,-28.33,1765.16,18.82,21.2
0.0,2022-08-05 07:00:00+00:00,2022-08-05 07:15:00+00:00,2022-08-05 15:15:00+00:00,london,7,1791.99,1787.94,-4.05,-4.4,-4.75,-5.45,1772.58,19.38,20.18
0.0,2022-08-09 07:00:00+00:00,2022-08-09 07:15:00+00:00,2022-08-09 15:15:00+00:00,london,7,1785.64,1789.56,3.92,3.57,3.22,2.52,1774.88,10.79,11.33
0.0,2022-08-09 16:00:00+00:00,2022-08-09 16:15:00+00:00,2022-08-10 00:15:00+00:00,new_york,16,1792.86,1793.27,0.41,0.06,-0.29,-0.99,1774.88,17.98,19.04
0.0,2022-08-10 07:00:00+00:00,2022-08-10 07:15:00+00:00,2022-08-10 15:15:00+00:00,london,7,1791.0,1792.47,1.47,1.12,0.77,0.07,1789.87,1.16,1.47
0.0,2022-08-10 16:00:00+00:00,2022-08-10 16:15:00+00:00,2022-08-11 00:15:00+00:00,new_york,16,1796.1,1791.28,-4.82,-5.17,-5.52,-6.22,1789.87,6.24,15.48
0.0,2022-08-24 11:45:00+00:00,2022-08-24 12:00:00+00:00,2022-08-24 20:00:00+00:00,london,11,1751.17,1749.45,-1.72,-2.07,-2.42,-3.12,1748.95,2.2,2.78
0.0,2022-08-25 07:00:00+00:00,2022-08-25 07:15:00+00:00,2022-08-25 15:15:00+00:00,london,7,1756.1,1759.88,3.78,3.43,3.08,2.38,1753.97,2.12,2.4
0.0,2022-08-25 16:00:00+00:00,2022-08-25 16:15:00+00:00,2022-08-26 00:15:00+00:00,new_york,16,1760.54,1756.24,-4.3,-4.65,-5.0,-5.7,1753.97,6.56,6.66
0.0,2022-08-26 07:00:00+00:00,2022-08-26 07:15:00+00:00,2022-08-26 15:15:00+00:00,london,7,1756.78,1746.21,-10.57,-10.92,-11.27,-11.97,1755.79,1.0,1.57
0.0,2022-09-06 07:00:00+00:00,2022-09-06 07:15:00+00:00,2022-09-06 15:15:00+00:00,london,7,1717.65,1713.09,-4.56,-4.91,-5.26,-5.96,1711.46,6.15,6.48
0.0,2022-09-09 07:15:00+00:00,2022-09-09 07:30:00+00:00,2022-09-09 15:30:00+00:00,london,7,1721.01,1719.57,-1.44,-1.79,-2.14,-2.84,1719.28,1.71,2.36
0.0,2022-09-12 15:15:00+00:00,2022-09-12 15:30:00+00:00,2022-09-12 23:30:00+00:00,new_york,15,1732.47,1724.83,-7.64,-7.99,-8.34,-9.04,1729.28,3.21,4.04
0.0,2022-09-13 07:00:00+00:00,2022-09-13 07:15:00+00:00,2022-09-13 15:15:00+00:00,london,7,1720.94,1729.38,8.44,8.09,7.74,7.04,1720.02,0.9,1.73
0.0,2022-09-22 15:45:00+00:00,2022-09-22 16:00:00+00:00,2022-09-23 00:00:00+00:00,new_york,15,1683.41,1671.23,-12.18,-12.53,-12.88,-13.58,1679.28,4.16,4.86
0.0,2022-09-29 07:00:00+00:00,2022-09-29 07:15:00+00:00,2022-09-29 15:15:00+00:00,london,7,1654.03,1649.5,-4.53,-4.88,-5.23,-5.93,1642.25,11.76,12.82
0.0,2022-09-29 16:00:00+00:00,2022-09-29 16:15:00+00:00,2022-09-30 00:15:00+00:00,new_york,16,1650.83,1662.49,11.66,11.31,10.96,10.26,1642.25,8.62,9.39
0.0,2022-09-30 08:15:00+00:00,2022-09-30 08:30:00+00:00,2022-09-30 16:30:00+00:00,london,8,1664.1,1666.24,2.14,1.79,1.44,0.74,1662.59,1.49,1.72
0.0,2022-10-04 07:00:00+00:00,2022-10-04 07:15:00+00:00,2022-10-04 15:15:00+00:00,london,7,1699.33,1706.3,6.97,6.62,6.27,5.57,1665.14,34.19,35.06
