variant,period,events,total,avg,median,wr,pf,dd,pos_years,years,pos_quarters,quarters,months
asia_high_breakout_long_h32_cool0,2022,115,-28.43,-0.247217,-1.52,0.443478,0.943674,-191.09,0,1,1,3,8
asia_high_breakout_long_h32_cool0,2023,153,-8.37,-0.054706,-0.71,0.45098,0.987998,-141.88,0,1,2,4,12
asia_high_breakout_long_h32_cool0,2024,198,16.75,0.084596,0.615,0.525253,1.015164,-180.76,1,1,2,4,12
asia_high_breakout_long_h32_cool0,2025,143,281.22,1.966573,2.57,0.559441,1.332439,-135.66,1,1,2,4,12
asia_high_breakout_long_h32_cool0,2026,16,331.4,20.7125,24.635,0.625,5.489298,-23.73,1,1,2,2,5
asia_high_breakout_long_h32_cool4,2022,109,-43.72,-0.401101,-1.13,0.458716,0.907944,-202.69,0,1,1,3,8
asia_high_breakout_long_h32_cool4,2023,139,39.74,0.285899,-0.41,0.467626,1.065433,-113.54,1,1,2,4,12
asia_high_breakout_long_h32_cool4,2024,176,11.55,0.065625,0.65,0.534091,1.011931,-171.17,1,1,2,4,12
asia_high_breakout_long_h32_cool4,2025,127,123.09,0.969213,0.79,0.519685,1.146637,-151.17,1,1,2,4,12
asia_high_breakout_long_h32_cool4,2026,13,280.9,21.607692,26.54,0.692308,5.480778,-23.73,1,1,2,2,5
asia_low_breakdown_short_h32_cool0,2022,95,121.49,1.278842,0.86,0.557895,1.298545,-58.43,1,1,3,3,8
asia_low_breakdown_short_h32_cool0,2023,132,-86.31,-0.653864,-1.19,0.416667,0.862739,-169.29,0,1,2,4,12
asia_low_breakdown_short_h32_cool0,2024,139,157.58,1.133669,-0.35,0.489209,1.233507,-191.37,1,1,3,4,12
asia_low_breakdown_short_h32_cool0,2025,97,-125.65,-1.295361,-2.26,0.463918,0.842705,-242.81,0,1,1,4,12
asia_low_breakdown_short_h32_cool0,2026,12,251.73,20.9775,12.48,0.583333,3.80792,-55.38,1,1,2,2,5
asia_low_breakdown_short_h32_cool4,2022,87,63.5,0.729885,0.86,0.551724,1.157198,-59.72,1,1,2,3,8
asia_low_breakdown_short_h32_cool4,2023,122,-80.98,-0.66377,-1.48,0.409836,0.862302,-167.71,0,1,2,4,12
asia_low_breakdown_short_h32_cool4,2024,128,212.35,1.658984,0.265,0.515625,1.359227,-166.93,1,1,3,4,12
asia_low_breakdown_short_h32_cool4,2025,87,-199.31,-2.29092,-1.97,0.448276,0.737245,-267.73,0,1,1,4,12
asia_low_breakdown_short_h32_cool4,2026,9,303.99,33.776667,18.28,0.777778,9.130249,-30.26,1,1,2,2,5
compressed_range_up_break_long_h8_cool0,2022,18,-6.88,-0.382222,-0.285,0.388889,0.744428,-15.65,0,1,1,3,8
compressed_range_up_break_long_h8_cool0,2023,35,3.6,0.102857,-0.2,0.457143,1.05151,-44.09,1,1,2,4,10
compressed_range_up_break_long_h8_cool0,2024,48,30.64,0.638333,0.775,0.625,1.365982,-20.47,1,1,3,4,12
compressed_range_up_break_long_h8_cool0,2025,34,72.67,2.137353,2.79,0.588235,1.687057,-34.74,1,1,4,4,10
