variant,behavior,side,horizon_bars,horizon_minutes,cooldown_bars,decision,score,reasons,events,freq_per_month,total_x1,avg_x1,median_x1,wr_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,test20_events,test20_total,test20_median,test20_pf,test30_events,test30_total,test30_pf,events_2026,total_2026,median_2026,pf_2026,pos_years,years,pos_quarters,quarters,boot_total_p05,boot_pf_p05,boot_prob_total_gt_0,boot_prob_pf_gt_1
pdl_sweep_reclaim_long_controlled_h4_cool0,pdl_sweep_reclaim_long_controlled,LONG,4,60,0,KEEP_WATCHLIST_EXACT_REPLAY_POSITIVE,16.748955,Positive exact replay but not strong enough for forward-shadow design.,155,3.369565,143.4,0.925161,0.28,0.529032,1.407722,-75.12,89.15,1.235765,-19.35,0.955531,31,140.95,3.6,2.757262,47,164.78,2.422479,15,120.03,6.31,9.482686,4,5,11,17,13.028,1.032338,0.963333,0.963333
pdl_sweep_reclaim_long_controlled_h4_cool4,pdl_sweep_reclaim_long_controlled,LONG,4,60,4,KEEP_WATCHLIST_EXACT_REPLAY_POSITIVE,16.564839,Positive exact replay but not strong enough for forward-shadow design.,145,3.152174,119.32,0.822897,0.28,0.524138,1.36859,-70.46,68.57,1.196735,-32.93,0.918093,29,129.79,3.6,2.917418,44,146.22,2.473546,13,107.07,6.31,32.215743,4,5,9,17,-11.5045,0.969823,0.93,0.93
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,KEEP_WATCHLIST_EXACT_REPLAY_POSITIVE,15.35808,Positive exact replay but not strong enough for forward-shadow design.,625,12.755102,592.57,0.948112,0.29,0.5024,1.183658,-191.09,373.82,1.112068,-63.68,0.982125,125,479.84,2.11,1.590594,188,578.67,1.529631,16,331.4,24.635,5.489298,3,5,9,17,36.715,1.010077,0.956667,0.956667
asia_high_breakout_long_h32_cool4,asia_high_breakout_long,LONG,32,480,4,KEEP_WATCHLIST_EXACT_REPLAY_POSITIVE,13.88905,Positive exact replay but not strong enough for forward-shadow design.,564,11.510204,411.56,0.729716,0.22,0.503546,1.139398,-202.69,214.16,1.070194,-180.64,0.944534,113,291.59,0.11,1.356637,170,364.42,1.337639,13,280.9,26.54,5.480778,4,5,9,17,-249.2025,0.928994,0.823333,0.823333
asia_low_breakdown_short_h32_cool0,asia_low_breakdown_short,SHORT,32,480,0,KEEP_WATCHLIST_EXACT_REPLAY_POSITIVE,12.950181,Positive exact replay but not strong enough for forward-shadow design.,475,9.693878,318.84,0.671242,-0.76,0.48,1.122676,-249.94,152.59,1.056814,-179.91,0.937216,95,180.64,-1.91,1.232493,143,338.92,1.328551,12,251.73,12.48,3.80792,3,5,11,17,-261.712,0.910413,0.84,0.84
asia_low_breakdown_short_h32_cool4,asia_low_breakdown_short,SHORT,32,480,4,KEEP_WATCHLIST_EXACT_REPLAY_POSITIVE,12.517829,Positive exact replay but not strong enough for forward-shadow design.,433,8.836735,299.55,0.691801,-0.43,0.484988,1.125908,-274.86,148.0,1.060218,-155.1,0.94081,87,143.21,-0.86,1.198635,130,341.8,1.370278,9,303.99,18.28,9.130249,3,5,10,17,-258.976,0.901744,0.806667,0.806667
pdl_sweep_reclaim_long_controlled_h8_cool4,pdl_sweep_reclaim_long_controlled,LONG,8,120,4,KEEP_WATCHLIST_EXACT_REPLAY_POSITIVE,12.316814,Positive exact replay but not strong enough for forward-shadow design.,138,3.0,111.37,0.807029,-0.065,0.5,1.25792,-84.53,63.07,1.138136,-33.53,0.933862,28,106.87,0.825,1.847368,42,139.18,1.93958,12,70.97,6.73,2.522308,4,5,6,17,-63.271,0.871177,0.826667,0.826667
pdh_breakout_continuation_long_h32_cool0,pdh_breakout_continuation_long,LONG,32,480,0,KEEP_WATCHLIST_EXACT_REPLAY_POSITIVE,10.434061,Positive exact replay but not strong enough for forward-shadow design.,787,15.74,604.12,0.767624,0.52,0.518424,1.120258,-350.54,328.67,1.063713,-222.23,0.959135,158,353.44,3.29,1.177027,237,737.16,1.297731,82,140.52,0.3,1.109898,2,5,10,17,-453.663,0.917049,0.81,0.81
pdl_sweep_reclaim_long_controlled_h8_cool0,pdl_sweep_reclaim_long_controlled,LONG,8,120,0,KEEP_WATCHLIST_EXACT_REPLAY_POSITIVE,10.299306,Positive exact replay but not strong enough for forward-shadow design.,145,3.152174,78.05,0.538276,-0.19,0.489655,1.164209,-87.26,27.3,1.0544,-74.2,0.866482,29,76.35,-0.37,1.487423,44,93.0,1.491647,13,40.45,4.03,1.524371,4,5,6,17,-132.6325,0.771175,0.75,0.75
compressed_range_up_break_long_h8_cool4,compressed_range_up_break_long,LONG,8,120,4,KEEP_WATCHLIST_EXACT_REPLAY_POSITIVE,10.206256,Positive exact replay but not strong enough for forward-shadow design.,150,3.26087,110.55,0.737,0.53,0.533333,1.240614,-76.37,58.05,1.119832,-46.95,0.912904,30,4.94,1.01,1.020983,45,85.66,1.341861,25,13.36,2.62,1.068544,4,5,11,17,-106.1725,0.818182,0.803333,0.803333
compressed_range_up_break_long_h8_cool0,compressed_range_up_break_long,LONG,8,120,0,REJECT_EXACT_REPLAY_WEAK,10.198367,Exact replay does not preserve enough robust edge.,161,3.5,123.22,0.765342,0.53,0.540373,1.256063,-76.37,66.87,1.13166,-45.83,0.919098,33,14.98,2.62,1.06223,49,104.51,1.412952,26,23.19,3.065,1.118978,4,5,11,17,-142.2905,0.774706,0.736667,0.736667
pdl_breakdown_continuation_short_h32_cool0,pdl_breakdown_continuation_short,SHORT,32,480,0,REJECT_EXACT_REPLAY_WEAK,9.962006,Exact replay does not preserve enough robust edge.,614,12.28,319.06,0.519642,-0.35,0.493485,1.066918,-478.31,104.16,1.021354,-325.64,0.936236,123,536.67,-2.06,1.240252,185,442.87,1.159159,67,520.98,0.8,1.335014,2,5,7,17,-864.972,0.824941,0.653333,0.653333
