variant,family,side,horizon_bars,horizon_minutes,cooldown_bars,params_json,signal_dt,entry_dt,exit_dt,entry_price,entry_price_source,exit_price,gross_ret,net_x1,net_x2,net_x4,mfe,mae,session,hour,pdh,pdl,asia_range
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-05-16 11:15:00+00:00,2022-05-16 11:30:00+00:00,2022-05-16 12:15:00+00:00,1800.17,m15_exact_open,1798.44,-1.73,-2.08,-2.43,-3.13,-0.25,4.49,london,11,1828.56,1798.91,7.9500000000000455
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-05-16 12:00:00+00:00,2022-05-16 12:15:00+00:00,2022-05-16 13:00:00+00:00,1799.14,m15_exact_open,1799.39,0.25,-0.1,-0.45,-1.15,7.95,0.69,new_york,12,1828.56,1798.91,7.9500000000000455
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-05-19 11:00:00+00:00,2022-05-19 11:15:00+00:00,2022-05-19 12:00:00+00:00,1813.17,m15_exact_open,1822.72,9.55,9.2,8.85,8.15,9.82,2.39,london,11,1835.9,1812.66,3.7799999999999727
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-05-31 15:15:00+00:00,2022-05-31 15:30:00+00:00,2022-05-31 16:15:00+00:00,1851.55,m15_exact_open,1851.18,-0.37,-0.72,-1.07,-1.77,-0.27,3.7,new_york,15,1853.74,1850.6,10.900000000000091
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-05-31 16:15:00+00:00,2022-05-31 16:30:00+00:00,2022-05-31 17:15:00+00:00,1851.12,m15_exact_open,1845.78,-5.34,-5.69,-6.04,-6.74,4.05,7.31,new_york,16,1853.74,1850.6,10.900000000000091
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-06-07 13:45:00+00:00,2022-06-07 14:00:00+00:00,2022-06-07 14:45:00+00:00,1850.04,m15_exact_open,1848.01,-2.03,-2.38,-2.73,-3.43,0.87,2.55,new_york,13,1852.39,1849.46,5.460000000000036
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-06-15 11:30:00+00:00,2022-06-15 11:45:00+00:00,2022-06-15 12:30:00+00:00,1819.32,m15_exact_open,1823.08,3.76,3.41,3.06,2.36,4.82,-0.99,london,11,1878.89,1818.75,11.839999999999918
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-06-21 10:00:00+00:00,2022-06-21 10:15:00+00:00,2022-06-21 11:00:00+00:00,1834.94,m15_exact_open,1837.68,2.74,2.39,2.04,1.34,4.25,2.51,london,10,1840.11,1834.59,5.1400000000001
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-06-21 10:45:00+00:00,2022-06-21 11:00:00+00:00,2022-06-21 11:45:00+00:00,1835.18,m15_exact_open,1835.2,0.02,-0.33,-0.68,-1.38,2.93,1.06,london,10,1840.11,1834.59,5.1400000000001
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-06-23 15:00:00+00:00,2022-06-23 15:15:00+00:00,2022-06-23 16:00:00+00:00,1828.92,m15_exact_open,1834.11,5.19,4.84,4.49,3.79,5.52,-0.89,new_york,15,1843.47,1828.41,6.289999999999964
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-06-24 10:15:00+00:00,2022-06-24 10:30:00+00:00,2022-06-24 11:15:00+00:00,1824.17,m15_exact_open,1828.6,4.43,4.08,3.73,3.03,7.42,-0.92,london,10,1847.67,1823.19,4.769999999999982
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-06-24 15:45:00+00:00,2022-06-24 16:00:00+00:00,2022-06-24 16:45:00+00:00,1823.56,m15_exact_open,1825.45,1.89,1.54,1.19,0.49,4.4,6.9,new_york,15,1847.67,1823.19,4.769999999999982
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-07-15 14:00:00+00:00,2022-07-15 14:15:00+00:00,2022-07-15 15:00:00+00:00,1707.39,m15_exact_open,1705.19,-2.2,-2.55,-2.9,-3.6,-0.15,3.35,new_york,14,1745.26,1707.21,8.019999999999982
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-07-15 15:45:00+00:00,2022-07-15 16:00:00+00:00,2022-07-15 16:45:00+00:00,1707.89,m15_exact_open,1704.32,-3.57,-3.92,-4.27,-4.97,5.93,4.41,new_york,15,1745.26,1707.21,8.019999999999982
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-07-21 16:00:00+00:00,2022-07-21 16:15:00+00:00,2022-07-21 17:00:00+00:00,1705.82,m15_exact_open,1705.87,0.05,-0.3,-0.65,-1.35,3.14,12.85,new_york,16,1718.3,1705.13,7.3400000000001455
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-08-12 12:30:00+00:00,2022-08-12 12:45:00+00:00,2022-08-12 13:30:00+00:00,1788.03,m15_exact_open,1787.8,-0.23,-0.58,-0.93,-1.63,0.28,2.3,new_york,12,1807.68,1787.41,5.190000000000055
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-08-12 13:30:00+00:00,2022-08-12 13:45:00+00:00,2022-08-12 14:30:00+00:00,1787.79,m15_exact_open,1786.86,-0.93,-1.28,-1.63,-2.33,1.68,2.85,new_york,13,1807.68,1787.41,5.190000000000055
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-08-12 15:15:00+00:00,2022-08-12 15:30:00+00:00,2022-08-12 16:15:00+00:00,1788.38,m15_exact_open,1793.01,4.63,4.28,3.93,3.23,7.13,-1.13,new_york,15,1807.68,1787.41,5.190000000000055
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-08-15 15:30:00+00:00,2022-08-15 15:45:00+00:00,2022-08-15 16:30:00+00:00,1785.31,m15_exact_open,1780.95,-4.36,-4.71,-5.06,-5.76,-2.77,10.38,new_york,15,1801.96,1784.72,8.339999999999918
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-08-18 14:30:00+00:00,2022-08-18 14:45:00+00:00,2022-08-18 15:30:00+00:00,1771.57,m15_exact_open,1767.72,-3.85,-4.2,-4.55,-5.25,0.33,4.72,new_york,14,1782.98,1771.32,5.510000000000218
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-08-30 11:15:00+00:00,2022-08-30 11:30:00+00:00,2022-08-30 12:15:00+00:00,1735.99,m15_exact_open,1734.04,-1.95,-2.3,-2.65,-3.35,1.72,4.14,london,11,1738.27,1734.41,6.619999999999891
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-08-30 13:30:00+00:00,2022-08-30 13:45:00+00:00,2022-08-30 14:30:00+00:00,1734.87,m15_exact_open,1733.74,-1.13,-1.48,-1.83,-2.53,-0.29,2.12,new_york,13,1738.27,1734.41,6.619999999999891
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-09-02 15:30:00+00:00,2022-09-02 15:45:00+00:00,2022-09-02 16:30:00+00:00,1710.67,m15_exact_open,1709.74,-0.93,-1.28,-1.63,-2.33,1.88,6.49,new_york,15,1726.36,1709.45,5.2800000000002
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-09-06 16:45:00+00:00,2022-09-06 17:00:00+00:00,2022-09-06 17:45:00+00:00,1709.78,m15_exact_open,1706.76,-3.02,-3.37,-3.72,-4.42,-0.4,7.59,new_york,16,1711.46,1709.52,16.909999999999854
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-09-13 15:30:00+00:00,2022-09-13 15:45:00+00:00,2022-09-13 16:30:00+00:00,1717.67,m15_exact_open,1702.47,-15.2,-15.55,-15.9,-16.6,-5.71,20.77,new_york,15,1720.02,1716.54,6.830000000000155
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-09-22 10:45:00+00:00,2022-09-22 11:00:00+00:00,2022-09-22 11:45:00+00:00,1660.79,m15_exact_open,1674.16,13.37,13.02,12.67,11.97,17.16,3.02,london,10,1679.28,1659.79,17.930000000000064
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-09-23 16:15:00+00:00,2022-09-23 16:30:00+00:00,2022-09-23 17:15:00+00:00,1654.63,m15_exact_open,1644.2,-10.43,-10.78,-11.13,-11.83,-1.95,11.4,new_york,16,1687.81,1653.67,6.759999999999991
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-09-26 10:15:00+00:00,2022-09-26 10:30:00+00:00,2022-09-26 11:15:00+00:00,1641.01,m15_exact_open,1645.24,4.23,3.88,3.53,2.83,8.58,-1.55,london,10,1675.72,1639.56,19.279999999999973
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-09-26 13:30:00+00:00,2022-09-26 13:45:00+00:00,2022-09-26 14:30:00+00:00,1640.28,m15_exact_open,1639.49,-0.79,-1.14,-1.49,-2.19,0.75,2.5,new_york,13,1675.72,1639.56,19.279999999999973
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-09-27 14:45:00+00:00,2022-09-27 15:00:00+00:00,2022-09-27 15:45:00+00:00,1640.71,m15_exact_open,1639.07,-1.64,-1.99,-2.34,-3.04,-0.43,4.64,new_york,14,1645.56,1640.17,11.039999999999964
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-09-28 11:00:00+00:00,2022-09-28 11:15:00+00:00,2022-09-28 12:00:00+00:00,1621.47,m15_exact_open,1619.68,-1.79,-2.14,-2.49,-3.19,2.77,3.01,london,11,1649.59,1620.97,7.720000000000027
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-10-07 16:45:00+00:00,2022-10-07 17:00:00+00:00,2022-10-07 17:45:00+00:00,1700.78,m15_exact_open,1700.68,-0.1,-0.45,-0.8,-1.5,0.39,7.03,new_york,16,1727.61,1700.3,4.269999999999982
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-10-14 16:00:00+00:00,2022-10-14 16:15:00+00:00,2022-10-14 17:00:00+00:00,1661.84,m15_exact_open,1647.69,-14.15,-14.5,-14.85,-15.55,-3.09,16.79,new_york,16,1678.15,1661.2,11.230000000000018
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-10-25 16:45:00+00:00,2022-10-25 17:00:00+00:00,2022-10-25 17:45:00+00:00,1657.82,m15_exact_open,1656.68,-1.14,-1.49,-1.84,-2.54,4.34,4.21,new_york,16,1662.82,1657.06,7.680000000000064
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-10-28 11:45:00+00:00,2022-10-28 12:00:00+00:00,2022-10-28 12:45:00+00:00,1651.12,m15_exact_open,1647.69,-3.43,-3.78,-4.13,-4.83,0.06,4.73,london,11,1674.77,1649.59,6.419999999999845
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-10-28 14:30:00+00:00,2022-10-28 14:45:00+00:00,2022-10-28 15:30:00+00:00,1650.75,m15_exact_open,1649.54,-1.21,-1.56,-1.91,-2.61,0.63,10.8,new_york,14,1674.77,1649.59,6.419999999999845
pdl_sweep_reclaim_long_sweep1.25_reclaim2_london_new_york_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.25}",2022-10-31 15:45:00+00:00,2022-10-31 16:00:00+00:00,2022-10-31 16:45:00+00:00,1638.43,m15_exact_open,1641.0,2.57,2.22,1.87,1.17,2.6,1.22,new_york,15,1666.84,1637.82,4.870000000000118
