variant_a,variant_b,events_a,events_b,overlap_count,jaccard,overlap_min_share
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool4,436,436,436,1.0,1.0
pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool0,143,148,143,0.966216,1.0
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h4_cool0,105,110,105,0.954545,1.0
pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool0,133,141,133,0.943262,1.0
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h4_cool0,103,110,103,0.936364,1.0
pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool0,141,168,141,0.839286,1.0
pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h4_cool4,133,163,133,0.815951,1.0
pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool0,133,168,133,0.791667,1.0
pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h4_cool4,168,163,162,0.95858,0.993865
pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h4_cool4,158,163,157,0.957317,0.993671
pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool0,158,168,157,0.928994,0.993671
pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h4_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h8_cool4,163,152,151,0.920732,0.993421
pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h8_cool4,168,152,151,0.893491,0.993421
pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool0,168,148,147,0.869822,0.993243
pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h4_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool4,163,143,142,0.865854,0.993007
