period,events,total,avg,median,wr,pf,dd,pos_years,years,pos_quarters,quarters,months
2022Q2,2,3.1,1.55,1.55,0.5,2.260163,-2.46,1,1,1,1,2
2022Q3,7,-8.26,-1.18,-0.63,0.285714,0.369947,-12.89,0,1,0,1,3
2022Q4,8,-8.68,-1.085,-0.7,0.375,0.515625,-17.92,0,1,0,1,3
2023Q1,7,17.52,2.502857,2.22,0.571429,2.387173,-5.88,1,1,1,1,2
2023Q2,5,-6.26,-1.252,-2.63,0.4,0.644116,-17.59,0,1,0,1,3
2023Q3,3,-1.46,-0.486667,-1.17,0.333333,0.505085,-1.78,0,1,0,1,2
2023Q4,11,-13.77,-1.251818,-0.01,0.454545,0.451176,-23.35,0,1,0,1,3
2024Q1,12,4.02,0.335,0.345,0.5,1.313817,-9.7,1,1,1,1,3
2024Q2,10,0.38,0.038,1.165,0.7,1.016486,-13.74,1,1,1,1,3
2024Q3,9,22.89,2.543333,2.16,0.666667,3.747899,-6.46,1,1,1,1,3
2024Q4,11,-3.36,-0.305455,0.6,0.636364,0.880809,-18.49,0,1,0,1,3
2025Q1,6,15.87,2.645,1.505,0.666667,3.779335,-5.71,1,1,1,1,2
2025Q2,10,21.49,2.149,2.79,0.6,1.47618,-23.68,1,1,1,1,3
2025Q3,5,18.92,3.784,4.47,0.6,4.279029,-5.77,1,1,1,1,2
2025Q4,6,35.12,5.853333,7.185,0.666667,4.094273,-6.06,1,1,1,1,3
2026Q1,17,7.04,0.414118,2.62,0.529412,1.047217,-76.37,1,1,1,1,3
2026Q2,5,34.27,6.854,12.84,0.8,2.918813,-17.86,1,1,1,1,3
