variant,family,side,horizon_bars,horizon_minutes,cooldown_bars,comp_max,signal_dt,entry_dt,exit_dt,entry_price,entry_price_source,exit_price,gross_ret,net_x1,net_x2,net_x4,mfe,mae,session,hour,compression6,local_high16,signal_close
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-05-11 09:30:00+00:00,2022-05-11 09:45:00+00:00,2022-05-11 11:45:00+00:00,1842.52,m15_exact_open,1848.43,5.91,5.56,5.21,4.51,8.33,-0.56,london,9,0.6556970477416917,1839.98,1842.49
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-06-06 07:45:00+00:00,2022-06-06 08:00:00+00:00,2022-06-06 10:00:00+00:00,1856.28,m15_exact_open,1854.17,-2.11,-2.46,-2.81,-3.51,-0.14,3.15,london,7,0.6974506974507053,1856.2,1856.28
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-07-28 11:15:00+00:00,2022-07-28 11:30:00+00:00,2022-07-28 13:30:00+00:00,1747.54,m15_exact_open,1739.95,-7.59,-7.94,-8.29,-8.99,-0.63,8.09,london,11,0.7142588942082019,1744.48,1747.54
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-08-12 07:15:00+00:00,2022-08-12 07:30:00+00:00,2022-08-12 09:30:00+00:00,1791.39,m15_exact_open,1790.44,-0.95,-1.3,-1.65,-2.35,0.91,1.49,london,7,0.7471829543126399,1791.29,1791.38
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-08-17 07:30:00+00:00,2022-08-17 07:45:00+00:00,2022-08-17 09:45:00+00:00,1777.84,m15_exact_open,1777.56,-0.28,-0.63,-0.98,-1.68,4.28,0.6,london,7,0.7047282084271341,1776.81,1777.85
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-08-31 07:15:00+00:00,2022-08-31 07:30:00+00:00,2022-08-31 09:30:00+00:00,1724.55,m15_exact_open,1721.88,-2.67,-3.02,-3.37,-4.07,1.81,2.85,london,7,0.7247972684592248,1724.33,1724.59
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-09-02 08:45:00+00:00,2022-09-02 09:00:00+00:00,2022-09-02 11:00:00+00:00,1700.18,m15_exact_open,1702.87,2.69,2.34,1.99,1.29,4.19,-0.13,london,8,0.6734632230780804,1700.18,1700.2
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-09-22 11:15:00+00:00,2022-09-22 11:30:00+00:00,2022-09-22 13:30:00+00:00,1667.83,m15_exact_open,1667.96,0.13,-0.22,-0.57,-1.27,8.31,2.75,london,11,0.5767863823419289,1663.52,1667.71
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-09-27 08:45:00+00:00,2022-09-27 09:00:00+00:00,2022-09-27 11:00:00+00:00,1633.81,m15_exact_open,1636.67,2.86,2.51,2.16,1.46,6.6,0.38,london,8,0.49166556713725934,1632.85,1633.79
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-10-04 07:45:00+00:00,2022-10-04 08:00:00+00:00,2022-10-04 10:00:00+00:00,1700.39,m15_exact_open,1705.43,5.04,4.69,4.34,3.64,6.24,2.86,london,7,0.6226423182441634,1700.21,1700.36
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-10-12 07:15:00+00:00,2022-10-12 07:30:00+00:00,2022-10-12 09:30:00+00:00,1669.24,m15_exact_open,1672.64,3.4,3.05,2.7,2.0,3.4,3.33,london,7,0.6042071197411032,1666.69,1669.23
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-10-18 07:15:00+00:00,2022-10-18 07:30:00+00:00,2022-10-18 09:30:00+00:00,1654.68,m15_exact_open,1653.9,-0.78,-1.13,-1.48,-2.18,6.03,0.78,london,7,0.716194654966094,1653.37,1654.63
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-11-10 07:15:00+00:00,2022-11-10 07:30:00+00:00,2022-11-10 09:30:00+00:00,1710.47,m15_exact_open,1705.77,-4.7,-5.05,-5.4,-6.1,1.92,5.13,london,7,0.6398625429553183,1709.98,1710.52
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-11-24 09:15:00+00:00,2022-11-24 09:30:00+00:00,2022-11-24 11:30:00+00:00,1756.9,m15_exact_open,1756.98,0.08,-0.27,-0.62,-1.32,1.15,4.64,london,9,0.686814989827386,1756.7,1756.9
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-12-01 07:45:00+00:00,2022-12-01 08:00:00+00:00,2022-12-01 10:00:00+00:00,1781.87,m15_exact_open,1775.35,-6.52,-6.87,-7.22,-7.92,1.64,7.39,london,7,0.7048140126904492,1779.95,1781.83
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-12-14 08:45:00+00:00,2022-12-14 09:00:00+00:00,2022-12-14 11:00:00+00:00,1812.45,m15_exact_open,1808.2,-4.25,-4.6,-4.95,-5.65,-0.11,6.14,london,8,0.6689678510998226,1812.0,1812.48
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2022-12-23 07:30:00+00:00,2022-12-23 07:45:00+00:00,2022-12-23 09:45:00+00:00,1795.57,m15_exact_open,1797.42,1.85,1.5,1.15,0.45,2.16,1.25,london,7,0.6632825719120166,1795.4,1795.6
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-02-02 09:15:00+00:00,2023-02-02 09:30:00+00:00,2023-02-02 11:30:00+00:00,1958.74,m15_exact_open,1954.28,-4.46,-4.81,-5.16,-5.86,0.69,5.22,london,9,0.4529848834230123,1954.32,1958.76
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-02-08 08:15:00+00:00,2023-02-08 08:30:00+00:00,2023-02-08 10:30:00+00:00,1878.35,m15_exact_open,1881.49,3.14,2.79,2.44,1.74,8.01,5.21,london,8,0.4906435603286923,1878.26,1878.38
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-03-03 08:30:00+00:00,2023-03-03 08:45:00+00:00,2023-03-03 10:45:00+00:00,1842.26,m15_exact_open,1844.83,2.57,2.22,1.87,1.17,3.36,0.35,london,8,0.7415980413977465,1841.03,1842.26
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-03-13 11:00:00+00:00,2023-03-13 11:15:00+00:00,2023-03-13 13:15:00+00:00,1884.94,m15_exact_open,1883.35,-1.59,-1.94,-2.29,-2.99,8.76,4.13,london,11,0.617866926684309,1883.47,1884.95
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-03-16 07:30:00+00:00,2023-03-16 07:45:00+00:00,2023-03-16 09:45:00+00:00,1915.88,m15_exact_open,1918.55,2.67,2.32,1.97,1.27,4.42,3.52,london,7,0.710235336832026,1914.87,1915.94
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-03-20 07:45:00+00:00,2023-03-20 08:00:00+00:00,2023-03-20 10:00:00+00:00,1977.82,m15_exact_open,2000.99,23.17,22.82,22.47,21.77,31.88,-3.98,london,7,0.5154732324373194,1975.99,1977.88
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-03-23 08:30:00+00:00,2023-03-23 08:45:00+00:00,2023-03-23 10:45:00+00:00,1981.79,m15_exact_open,1976.26,-5.53,-5.88,-6.23,-6.93,1.74,7.62,london,8,0.5974168495694799,1980.84,1981.82
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-04-03 12:00:00+00:00,2023-04-03 12:15:00+00:00,2023-04-03 14:15:00+00:00,1965.83,m15_exact_open,1973.5,7.67,7.32,6.97,6.27,8.2,2.81,new_york,12,0.6923415642041802,1964.96,1965.82
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-04-10 11:00:00+00:00,2023-04-10 11:15:00+00:00,2023-04-10 13:15:00+00:00,1997.02,m15_exact_open,2001.38,4.36,4.01,3.66,2.96,4.77,0.25,london,11,0.6580357463947948,1996.65,1996.98
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-05-04 14:15:00+00:00,2023-05-04 14:30:00+00:00,2023-05-04 16:30:00+00:00,2043.48,m15_exact_open,2032.19,-11.29,-11.64,-11.99,-12.69,0.43,11.43,new_york,14,0.56487873959993,2040.62,2043.52
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-06-08 07:45:00+00:00,2023-06-08 08:00:00+00:00,2023-06-08 10:00:00+00:00,1946.88,m15_exact_open,1944.6,-2.28,-2.63,-2.98,-3.68,0.79,4.18,london,7,0.5347654320987646,1946.94,1946.95
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-06-14 07:00:00+00:00,2023-06-14 07:15:00+00:00,2023-06-14 09:15:00+00:00,1948.97,m15_exact_open,1946.0,-2.97,-3.32,-3.67,-4.37,0.45,3.65,london,7,0.7001343827990077,1948.15,1948.99
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-07-06 08:30:00+00:00,2023-07-06 08:45:00+00:00,2023-07-06 10:45:00+00:00,1919.82,m15_exact_open,1919.0,-0.82,-1.17,-1.52,-2.22,1.54,0.86,london,8,0.7114385567204914,1919.56,1919.83
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-09-15 07:45:00+00:00,2023-09-15 08:00:00+00:00,2023-09-15 10:00:00+00:00,1916.0,m15_exact_open,1917.84,1.84,1.49,1.14,0.44,3.47,1.21,london,7,0.7241793091625991,1915.99,1916.03
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-09-21 08:15:00+00:00,2023-09-21 08:30:00+00:00,2023-09-21 10:30:00+00:00,1928.52,m15_exact_open,1927.09,-1.43,-1.78,-2.13,-2.83,1.89,1.44,london,8,0.6026050917702797,1928.56,1928.57
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-10-13 07:15:00+00:00,2023-10-13 07:30:00+00:00,2023-10-13 09:30:00+00:00,1874.16,m15_exact_open,1875.79,1.63,1.28,0.93,0.23,3.64,-0.43,london,7,0.7221749408983459,1873.77,1874.15
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-10-23 08:45:00+00:00,2023-10-23 09:00:00+00:00,2023-10-23 11:00:00+00:00,1975.31,m15_exact_open,1980.72,5.41,5.06,4.71,4.01,5.41,0.86,london,8,0.723453327099894,1975.12,1975.31
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-10-26 07:15:00+00:00,2023-10-26 07:30:00+00:00,2023-10-26 09:30:00+00:00,1987.97,m15_exact_open,1985.55,-2.42,-2.77,-3.12,-3.82,1.51,4.07,london,7,0.5451551823495502,1987.34,1987.94
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-10-27 07:15:00+00:00,2023-10-27 07:30:00+00:00,2023-10-27 09:30:00+00:00,1988.89,m15_exact_open,1986.46,-2.43,-2.78,-3.13,-3.83,0.77,2.64,london,7,0.7051521956087887,1988.76,1988.89
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-11-02 10:45:00+00:00,2023-11-02 11:00:00+00:00,2023-11-02 13:00:00+00:00,1988.14,m15_exact_open,1988.8,0.66,0.31,-0.04,-0.74,1.43,2.36,london,10,0.6155136268343762,1986.59,1988.13
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-11-27 15:30:00+00:00,2023-11-27 15:45:00+00:00,2023-11-27 17:45:00+00:00,2016.01,m15_exact_open,2010.83,-5.18,-5.53,-5.88,-6.58,-1.0,7.2,new_york,15,0.7124651533253706,2015.12,2016.04
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-12-05 10:30:00+00:00,2023-12-05 10:45:00+00:00,2023-12-05 12:45:00+00:00,2037.69,m15_exact_open,2025.46,-12.23,-12.58,-12.93,-13.63,-2.69,14.62,london,10,0.682232011747421,2037.51,2037.75
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-12-14 08:00:00+00:00,2023-12-14 08:15:00+00:00,2023-12-14 10:15:00+00:00,2035.19,m15_exact_open,2036.07,0.88,0.53,0.18,-0.52,2.0,5.88,london,8,0.6429272120855398,2034.86,2035.19
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-12-22 10:45:00+00:00,2023-12-22 11:00:00+00:00,2023-12-22 13:00:00+00:00,2051.45,m15_exact_open,2055.94,4.49,4.14,3.79,3.09,5.78,-0.35,london,10,0.5947365762489325,2051.03,2051.46
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-12-27 08:30:00+00:00,2023-12-27 08:45:00+00:00,2023-12-27 10:45:00+00:00,2067.07,m15_exact_open,2067.41,0.34,-0.01,-0.36,-1.06,1.27,2.25,london,8,0.7464889312068627,2066.48,2067.07
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2023-12-27 11:30:00+00:00,2023-12-27 11:45:00+00:00,2023-12-27 13:45:00+00:00,2068.67,m15_exact_open,2067.6,-1.07,-1.42,-1.77,-2.47,0.1,7.16,london,11,0.7441689172599921,2068.45,2068.69
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-01-04 08:30:00+00:00,2024-01-04 08:45:00+00:00,2024-01-04 10:45:00+00:00,2047.41,m15_exact_open,2046.56,-0.85,-1.2,-1.55,-2.25,2.1,2.05,london,8,0.6235127660942821,2046.72,2047.41
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-01-12 08:00:00+00:00,2024-01-12 08:15:00+00:00,2024-01-12 10:15:00+00:00,2035.92,m15_exact_open,2039.46,3.54,3.19,2.84,2.14,3.78,1.76,london,8,0.557028410967956,2035.42,2035.91
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-01-12 12:45:00+00:00,2024-01-12 13:00:00+00:00,2024-01-12 15:00:00+00:00,2043.53,m15_exact_open,2045.69,2.16,1.81,1.46,0.76,10.14,-0.62,new_york,12,0.7172629385203187,2040.35,2043.52
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-01-25 09:30:00+00:00,2024-01-25 09:45:00+00:00,2024-01-25 11:45:00+00:00,2017.12,m15_exact_open,2016.92,-0.2,-0.55,-0.9,-1.6,-0.2,4.65,london,9,0.7064272831611603,2016.6,2017.11
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-01-30 08:15:00+00:00,2024-01-30 08:30:00+00:00,2024-01-30 10:30:00+00:00,2034.81,m15_exact_open,2038.8,3.99,3.64,3.29,2.59,5.49,1.25,london,8,0.7092198581560372,2033.25,2034.8
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-02-13 07:45:00+00:00,2024-02-13 08:00:00+00:00,2024-02-13 10:00:00+00:00,2020.65,m15_exact_open,2025.06,4.41,4.06,3.71,3.01,5.12,0.16,london,7,0.6200419527078423,2020.59,2020.63
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-02-22 07:00:00+00:00,2024-02-22 07:15:00+00:00,2024-02-22 09:15:00+00:00,2028.79,m15_exact_open,2029.89,1.1,0.75,0.4,-0.3,1.79,0.68,london,7,0.7298114963928347,2028.58,2028.77
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-03-05 07:30:00+00:00,2024-03-05 07:45:00+00:00,2024-03-05 09:45:00+00:00,2116.42,m15_exact_open,2115.41,-1.01,-1.36,-1.71,-2.41,3.21,2.44,london,7,0.668946932006629,2116.31,2116.35
