variant,family,side,horizon_bars,horizon_minutes,cooldown_bars,params_json,signal_dt,entry_dt,exit_dt,entry_price,exit_price,gross_ret,net_x1,net_x2,net_x4,session,hour
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-04 12:15:00+00:00,2022-05-04 12:30:00+00:00,2022-05-04 13:30:00+00:00,1867.6,1870.14,2.54,2.19,1.84,1.14,new_york,12
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-04 15:00:00+00:00,2022-05-04 15:15:00+00:00,2022-05-04 16:15:00+00:00,1868.97,1868.48,-0.49,-0.84,-1.19,-1.89,new_york,15
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-05 09:15:00+00:00,2022-05-05 09:30:00+00:00,2022-05-05 10:30:00+00:00,1900.0,1893.43,-6.57,-6.92,-7.27,-7.97,london,9
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-05 12:15:00+00:00,2022-05-05 12:30:00+00:00,2022-05-05 13:30:00+00:00,1895.57,1897.64,2.07,1.72,1.37,0.67,new_york,12
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-05 14:15:00+00:00,2022-05-05 14:30:00+00:00,2022-05-05 15:30:00+00:00,1899.3,1903.19,3.89,3.54,3.19,2.49,new_york,14
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-05 16:30:00+00:00,2022-05-05 16:45:00+00:00,2022-05-05 17:45:00+00:00,1901.87,1884.99,-16.88,-17.23,-17.58,-18.28,new_york,16
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-17 08:15:00+00:00,2022-05-17 08:30:00+00:00,2022-05-17 09:30:00+00:00,1824.75,1827.12,2.37,2.02,1.67,0.97,london,8
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-17 10:15:00+00:00,2022-05-17 10:30:00+00:00,2022-05-17 11:30:00+00:00,1826.19,1827.17,0.98,0.63,0.28,-0.42,london,10
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-17 12:30:00+00:00,2022-05-17 12:45:00+00:00,2022-05-17 13:45:00+00:00,1827.86,1828.73,0.87,0.52,0.17,-0.53,new_york,12
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-17 14:30:00+00:00,2022-05-17 14:45:00+00:00,2022-05-17 15:45:00+00:00,1830.01,1832.03,2.02,1.67,1.32,0.62,new_york,14
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-20 07:00:00+00:00,2022-05-20 07:15:00+00:00,2022-05-20 08:15:00+00:00,1841.11,1842.61,1.5,1.15,0.8,0.1,london,7
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-20 10:30:00+00:00,2022-05-20 10:45:00+00:00,2022-05-20 11:45:00+00:00,1846.57,1845.97,-0.6,-0.95,-1.3,-2.0,london,10
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-20 12:30:00+00:00,2022-05-20 12:45:00+00:00,2022-05-20 13:45:00+00:00,1846.55,1843.87,-2.68,-3.03,-3.38,-4.08,new_york,12
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-23 09:15:00+00:00,2022-05-23 09:30:00+00:00,2022-05-23 10:30:00+00:00,1854.24,1856.51,2.27,1.92,1.57,0.87,london,9
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-23 14:00:00+00:00,2022-05-23 14:15:00+00:00,2022-05-23 15:15:00+00:00,1859.78,1863.14,3.36,3.01,2.66,1.96,new_york,14
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-24 16:00:00+00:00,2022-05-24 16:15:00+00:00,2022-05-24 17:15:00+00:00,1860.15,1861.62,1.47,1.12,0.77,0.07,new_york,16
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-27 07:00:00+00:00,2022-05-27 07:15:00+00:00,2022-05-27 08:15:00+00:00,1854.49,1853.36,-1.13,-1.48,-1.83,-2.53,london,7
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",2022-05-27 09:00:00+00:00,2022-05-27 09:15:00+00:00,2022-05-27 10:15:00+00:00,1853.07,1857.89,4.82,4.47,4.12,3.42,london,9
