period,events,total,avg,median,wr,pf,dd,pos_years,years,pos_quarters,quarters,months
2022Q2,15,-34.86,-2.324,1.37,0.533333,0.490946,-49.78,0,1,0,1,2
2022Q3,19,26.41,1.39,0.09,0.526316,1.480619,-31.0,1,1,1,1,3
2022Q4,14,-1.95,-0.139286,0.56,0.642857,0.932944,-22.5,0,1,0,1,3
2023Q1,12,-8.77,-0.730833,-2.4,0.416667,0.697899,-27.34,0,1,0,1,3
2023Q2,18,-15.1,-0.838889,0.23,0.5,0.774324,-50.27,0,1,0,1,3
2023Q3,7,15.7,2.242857,1.44,0.714286,2.88929,-5.45,1,1,1,1,3
2023Q4,9,33.97,3.774444,3.89,0.777778,9.846354,-3.84,1,1,1,1,3
2024Q1,12,-29.02,-2.418333,-3.125,0.416667,0.436833,-37.57,0,1,0,1,3
2024Q2,23,9.15,0.397826,-1.6,0.434783,1.104631,-30.7,1,1,1,1,3
2024Q3,11,35.08,3.189091,0.03,0.545455,2.545374,-8.47,1,1,1,1,3
2024Q4,15,63.68,4.245333,4.82,0.666667,2.088919,-52.89,1,1,1,1,3
2025Q1,17,-3.19,-0.187647,-1.92,0.411765,0.952066,-45.38,0,1,0,1,3
2025Q2,26,62.5,2.403846,0.515,0.538462,1.760618,-35.52,1,1,1,1,3
2025Q3,18,-79.07,-4.392778,-3.55,0.444444,0.407804,-79.07,0,1,0,1,3
2025Q4,15,94.85,6.323333,-8.93,0.333333,1.730065,-86.98,1,1,1,1,3
2026Q1,28,139.0,4.964286,1.045,0.5,1.413149,-142.79,1,1,1,1,3
2026Q2,27,-23.41,-0.867037,-1.11,0.481481,0.924763,-160.48,0,1,0,1,3
