variant,family,side,trend_dist,pullback,slope_min,sma50_dist,horizon_bars,horizon_minutes,cooldown_bars,signal_dt,entry_dt,exit_dt,entry_price,entry_price_source,exit_price,gross_ret,net_x1,net_x2,net_x4,mfe,mae,hour,ema20_m15,sma20_slope5,h1_close_minus_sma20,h1_close_minus_sma50
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-05-09 15:15:00+00:00,2022-05-09 15:30:00+00:00,2022-05-09 17:30:00+00:00,1863.58,m15_exact_open,1858.97,4.61,4.26,3.91,3.21,5.88,7.73,15,1863.7652040650469,-4.612999999999829,-14.111000000000104,-17.455000000000155
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-05-12 15:45:00+00:00,2022-05-12 16:00:00+00:00,2022-05-12 18:00:00+00:00,1845.17,m15_exact_open,1841.51,3.66,3.31,2.96,2.26,9.66,3.71,15,1847.0103135431066,-0.38700000000039836,-8.76649999999995,-4.942600000000084
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-05-16 12:45:00+00:00,2022-05-16 13:00:00+00:00,2022-05-16 15:00:00+00:00,1801.78,m15_exact_open,1800.06,1.72,1.37,1.02,0.32,3.08,4.97,12,1803.3320656446017,-3.4909999999999854,-10.333000000000084,-21.730400000000145
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-05-18 15:45:00+00:00,2022-05-18 16:00:00+00:00,2022-05-18 18:00:00+00:00,1812.65,m15_exact_open,1814.2,-1.55,-1.9,-2.25,-2.95,3.07,2.95,15,1813.5701375088054,-2.705999999999676,-5.164500000000089,-9.64859999999976
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-05-25 15:45:00+00:00,2022-05-25 16:00:00+00:00,2022-05-25 18:00:00+00:00,1853.73,m15_exact_open,1849.55,4.18,3.83,3.48,2.78,6.99,0.45,15,1855.795202159092,-2.1555000000000746,-6.247499999999945,-2.956000000000131
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-05-26 14:15:00+00:00,2022-05-26 14:30:00+00:00,2022-05-26 16:30:00+00:00,1844.16,m15_exact_open,1844.92,-0.76,-1.11,-1.46,-2.16,1.84,3.09,14,1846.1818770047007,-1.0730000000000928,-5.138500000000249,-11.829999999999927
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-06-01 15:00:00+00:00,2022-06-01 15:15:00+00:00,2022-06-01 17:15:00+00:00,1829.5,m15_exact_open,1841.9,-12.4,-12.75,-13.1,-13.8,-3.02,19.43,15,1831.3637369675387,-4.027000000000044,-5.716999999999871,-15.934399999999641
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-06-10 16:00:00+00:00,2022-06-10 16:15:00+00:00,2022-06-10 18:15:00+00:00,1838.91,m15_exact_open,1858.6,-19.69,-20.04,-20.39,-21.09,10.64,20.4,16,1840.2276839936599,-1.463999999999487,-5.875000000000227,-9.74799999999982
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-06-22 12:15:00+00:00,2022-06-22 12:30:00+00:00,2022-06-22 14:30:00+00:00,1825.75,m15_exact_open,1838.52,-12.77,-13.12,-13.47,-14.17,-0.32,16.92,12,1825.798483980903,-2.2825000000000273,-6.0434999999999945,-10.536800000000085
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-06-23 15:15:00+00:00,2022-06-23 15:30:00+00:00,2022-06-23 17:30:00+00:00,1829.94,m15_exact_open,1841.73,-11.79,-12.14,-12.49,-13.19,-0.86,15.93,15,1830.1529068645484,-2.1985000000001946,-5.849499999999807,-4.433999999999969
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-07-05 15:30:00+00:00,2022-07-05 15:45:00+00:00,2022-07-05 17:45:00+00:00,1801.87,m15_exact_open,1771.87,30.0,29.65,29.3,28.6,35.61,-0.86,15,1802.2323304183212,-1.39650000000006,-10.023999999999887,-8.875
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-07-11 14:15:00+00:00,2022-07-11 14:30:00+00:00,2022-07-11 16:30:00+00:00,1736.64,m15_exact_open,1737.45,-0.81,-1.16,-1.51,-2.21,3.2,1.08,14,1737.4578704769895,-0.9904999999994288,-5.0180000000002565,-5.383199999999988
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-07-15 13:45:00+00:00,2022-07-15 14:00:00+00:00,2022-07-15 16:00:00+00:00,1704.05,m15_exact_open,1708.97,-4.92,-5.27,-5.62,-6.32,4.17,6.59,13,1704.1830000786938,-1.3125,-6.666500000000042,-16.89059999999995
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-08-15 15:45:00+00:00,2022-08-15 16:00:00+00:00,2022-08-15 18:00:00+00:00,1779.58,m15_exact_open,1779.26,0.32,-0.03,-0.38,-1.08,3.99,2.96,15,1780.548102108802,-2.9890000000000327,-18.614500000000135,-16.810600000000022
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-08-17 15:45:00+00:00,2022-08-17 16:00:00+00:00,2022-08-17 18:00:00+00:00,1771.27,m15_exact_open,1766.06,5.21,4.86,4.51,3.81,6.31,2.0,15,1771.8422871113028,-0.6340000000000146,-5.5245000000002165,-7.224600000000237
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-08-22 13:00:00+00:00,2022-08-22 13:15:00+00:00,2022-08-22 15:15:00+00:00,1737.19,m15_exact_open,1731.04,6.15,5.8,5.45,4.75,7.8,-0.74,13,1737.973520406284,-3.4895000000001346,-7.6574999999998,-15.711799999999812
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-08-26 15:45:00+00:00,2022-08-26 16:00:00+00:00,2022-08-26 18:00:00+00:00,1746.32,m15_exact_open,1741.35,4.97,4.62,4.27,3.57,6.84,9.58,15,1748.6100769811428,-2.0729999999994106,-9.743000000000393,-9.557600000000093
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-08-29 12:30:00+00:00,2022-08-29 12:45:00+00:00,2022-08-29 14:45:00+00:00,1722.83,m15_exact_open,1726.3,-3.47,-3.82,-4.17,-4.87,1.41,6.72,12,1723.1729617567278,-6.376500000000306,-9.735499999999774,-23.95399999999995
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-08-31 14:30:00+00:00,2022-08-31 14:45:00+00:00,2022-08-31 16:45:00+00:00,1715.07,m15_exact_open,1714.98,0.09,-0.26,-0.61,-1.31,5.44,1.13,14,1715.081042459675,-3.7345000000000255,-10.962999999999965,-18.7804000000001
trend_pullback_short_td5_pb0_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,5.0,0.0,0.0,0.0,8,120,4,2022-09-01 15:00:00+00:00,2022-09-01 15:15:00+00:00,2022-09-01 17:15:00+00:00,1700.95,m15_exact_open,1692.82,8.13,7.78,7.43,6.73,8.33,2.94,15,1703.2426035204887,-3.3339999999998327,-5.919500000000198,-15.158599999999979
