variant,trend_dist,pullback,slope_min,sma50_dist,horizon_bars,horizon_minutes,decision,events,freq_per_month,total_x1,median_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,test20_events,test20_total,test20_pf,events_2026,total_2026,pf_2026,pos_years,years,score
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,7.5,2.0,0.0,10.0,12,180,PROXY_EXACT_CANDIDATE,164,3.416667,343.95,1.25,1.289742,-190.8,286.55,1.235962,171.75,1.135281,33,69.16,1.148552,39,112.15,1.195964,4,5,8.61173
trend_pullback_short_td7.5_pb0.5_slope0_sma5010_ny_h12,7.5,0.5,0.0,10.0,12,180,PROXY_EXACT_CANDIDATE,133,3.325,339.81,1.74,1.308279,-220.09,293.26,1.260972,200.16,1.171332,27,55.28,1.133559,37,51.43,1.082612,3,5,8.299222
trend_pullback_short_td5_pb0.5_slope0_sma5010_ny_h12,5.0,0.5,0.0,10.0,12,180,PROXY_EXACT_CANDIDATE,164,3.489362,341.26,1.265,1.278441,-216.09,283.86,1.226649,169.06,1.129235,33,38.78,1.071398,38,80.52,1.134395,4,5,8.052753
trend_pullback_short_td5_pb2_slope0_sma5010_ny_h12,5.0,2.0,0.0,10.0,12,180,PROXY_EXACT_CANDIDATE,198,4.040816,350.14,0.96,1.270086,-273.78,280.84,1.211194,142.24,1.101758,40,98.49,1.166709,41,99.33,1.168131,4,5,7.70134
trend_pullback_short_td12.5_pb2_slope2_sma500_ny_h8,12.5,2.0,2.0,0.0,8,120,PROXY_EXACT_CANDIDATE,117,3.441176,283.76,0.24,1.352199,-204.25,242.81,1.29392,160.91,1.185357,24,51.3,1.208545,45,107.3,1.210301,4,5,6.826097
trend_pullback_short_td12.5_pb2_slope0_sma505_ny_h8,12.5,2.0,0.0,5.0,8,120,PROXY_EXACT_CANDIDATE,122,3.388889,277.14,0.285,1.33874,-204.25,234.44,1.279335,149.04,1.168813,25,45.0,1.182934,45,97.84,1.19176,4,5,6.662
trend_pullback_short_td7.5_pb2_slope0_sma500_ny_h8,7.5,2.0,0.0,0.0,8,120,PROXY_EXACT_CANDIDATE,236,4.72,306.31,0.355,1.228385,-229.9,223.71,1.161876,58.51,1.039864,48,105.65,1.17833,51,93.19,1.150583,5,5,6.575438
trend_pullback_short_td12.5_pb2_slope0_sma500_ny_h8,12.5,2.0,0.0,0.0,8,120,PROXY_EXACT_CANDIDATE,128,3.555556,284.0,0.15,1.340116,-204.25,239.2,1.278957,149.6,1.165511,26,37.62,1.148479,45,97.84,1.19176,4,5,6.57204
trend_pullback_short_td12.5_pb2_slope0_sma5010_ny_h12,12.5,2.0,0.0,10.0,12,180,PROXY_EXACT_CANDIDATE,104,2.888889,259.21,1.075,1.294708,-266.25,222.81,1.248381,150.01,1.1608,21,131.9,1.788545,35,50.21,1.097601,4,5,6.415245
trend_pullback_short_td12.5_pb2_slope2_sma505_ny_h8,12.5,2.0,2.0,5.0,8,120,PROXY_EXACT_CANDIDATE,113,3.323529,259.99,0.24,1.326358,-204.25,220.44,1.270025,141.34,1.16493,23,40.98,1.166592,44,96.98,1.190075,4,5,6.394795
