family,name,london_move_atr_min,eff_min,pullback_atr_max,ny_confirm_atr_min,entry_hour,horizon_min,tp_atr,sl_atr,stage,events,pf_x1,pf_x4,total_x1,total_x4,median_x1,win_rate_x1,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,first_entry,last_entry,proxy_rank_score
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.15_h180_e13_tp0.6_sl0.65,0.9,0.72,0.1,0.15,13,180,0.6,0.65,proxy_m15,56,1.784,1.0326,62.1401,3.3401,1.6763,0.6071,2.6614,inf,0.9569,2022-05-09 13:15:00,2026-05-04 13:15:00,8.5689
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.15_h180_e13_tp0.6_sl0.65,0.9,0.72,0.3,0.15,13,180,0.6,0.65,proxy_m15,56,1.784,1.0326,62.1401,3.3401,1.6763,0.6071,2.6614,inf,0.9569,2022-05-09 13:15:00,2026-05-04 13:15:00,8.5689
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.15_h180_e13_tp0.6_sl0.65,0.9,0.6,0.1,0.15,13,180,0.6,0.65,proxy_m15,100,1.5223,0.8324,73.9946,-31.0054,1.4588,0.59,2.3231,inf,1.0523,2022-05-02 13:15:00,2026-05-20 13:15:00,7.8774
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.15_h180_e13_tp0.6_sl0.65,0.9,0.6,0.3,0.15,13,180,0.6,0.65,proxy_m15,100,1.5223,0.8324,73.9946,-31.0054,1.4588,0.59,2.3231,inf,1.0523,2022-05-02 13:15:00,2026-05-20 13:15:00,7.8774
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.15_h90_e13_tp0.6_sl0.65,0.9,0.72,0.1,0.15,13,90,0.6,0.65,proxy_m15,56,1.6635,0.9279,51.5086,-7.2914,1.4628,0.6071,2.3678,inf,0.8375,2022-05-09 13:15:00,2026-05-04 13:15:00,7.8102
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.15_h90_e13_tp0.6_sl0.65,0.9,0.72,0.3,0.15,13,90,0.6,0.65,proxy_m15,56,1.6635,0.9279,51.5086,-7.2914,1.4628,0.6071,2.3678,inf,0.8375,2022-05-09 13:15:00,2026-05-04 13:15:00,7.8102
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.0_h90_e13_tp0.6_sl0.65,0.9,0.72,0.1,0.0,13,90,0.6,0.65,proxy_m15,108,1.2941,0.7356,52.5001,-60.8999,1.1134,0.5648,2.6793,6.0548,0.7372,2022-05-09 13:15:00,2026-05-04 13:15:00,7.4153
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.15_h90_e13_tp0.6_sl0.65,0.9,0.6,0.1,0.15,13,90,0.6,0.65,proxy_m15,100,1.4128,0.7503,58.5021,-46.4979,1.4069,0.58,2.1429,inf,1.0201,2022-05-02 13:15:00,2026-05-20 13:15:00,7.3639
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.15_h90_e13_tp0.6_sl0.65,0.9,0.6,0.3,0.15,13,90,0.6,0.65,proxy_m15,100,1.4128,0.7503,58.5021,-46.4979,1.4069,0.58,2.1429,inf,1.0201,2022-05-02 13:15:00,2026-05-20 13:15:00,7.3639
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.15_h90_e13_tp0.4_sl0.5,0.9,0.72,0.1,0.15,13,90,0.4,0.5,proxy_m15,56,1.553,0.6827,32.7219,-26.0781,1.041,0.6429,2.2315,inf,0.9062,2022-05-09 13:15:00,2026-05-04 13:15:00,7.2764
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.15_h180_e13_tp0.4_sl0.5,0.9,0.72,0.1,0.15,13,180,0.4,0.5,proxy_m15,56,1.553,0.6827,32.7219,-26.0781,1.041,0.6429,2.2315,inf,0.9062,2022-05-09 13:15:00,2026-05-04 13:15:00,7.2764
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.15_h90_e13_tp0.4_sl0.5,0.9,0.72,0.3,0.15,13,90,0.4,0.5,proxy_m15,56,1.553,0.6827,32.7219,-26.0781,1.041,0.6429,2.2315,inf,0.9062,2022-05-09 13:15:00,2026-05-04 13:15:00,7.2764
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.15_h180_e13_tp0.4_sl0.5,0.9,0.72,0.3,0.15,13,180,0.4,0.5,proxy_m15,56,1.553,0.6827,32.7219,-26.0781,1.041,0.6429,2.2315,inf,0.9062,2022-05-09 13:15:00,2026-05-04 13:15:00,7.2764
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.0_h90_e13_tp0.6_sl0.65,0.9,0.6,0.1,0.0,13,90,0.6,0.65,proxy_m15,198,1.1877,0.6696,63.7137,-144.1863,1.0527,0.5505,1.8765,3.9782,0.9646,2022-05-02 13:15:00,2026-06-02 13:15:00,6.8861
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.0_h180_e13_tp0.6_sl0.65,0.9,0.6,0.1,0.0,13,180,0.6,0.65,proxy_m15,198,1.2502,0.7675,96.3961,-111.5039,1.2989,0.5505,1.696,3.3723,0.9007,2022-05-02 13:15:00,2026-06-02 13:15:00,6.8646
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.0_h90_e13_tp0.6_sl0.65,0.9,0.72,0.3,0.0,13,90,0.6,0.65,proxy_m15,166,1.1654,0.6996,53.1079,-121.1921,1.0279,0.5422,1.4428,1.6556,0.8981,2022-05-09 13:15:00,2026-05-29 13:15:00,6.3713
