signal_time,entry_time,exit_time,direction,entry,exit,tp,sl,gross,net_x1,net_x4,exit_reason,family,candidate,stage24a_decision
2022-05-06 16:00:00,2022-05-06 16:01:00,2022-05-06 16:47:00,short,1877.16,1880.86268,1873.74214,1880.86268,-3.70268,-4.05268,-5.10268,sl_conservative,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
2022-05-09 16:00:00,2022-05-09 16:01:00,2022-05-09 16:05:00,long,1864.37,1867.73771,1867.73771,1860.72164,3.36771,3.01771,1.96771,tp,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
2022-05-10 16:00:00,2022-05-10 16:01:00,2022-05-10 16:40:00,long,1861.7,1858.24246,1864.89157,1858.24246,-3.45754,-3.80754,-4.85754,sl_conservative,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
2022-05-11 16:00:00,2022-05-11 16:01:00,2022-05-11 16:04:00,long,1838.06,1841.909,1841.909,1833.89025,3.849,3.499,2.449,tp,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
2022-05-12 16:00:00,2022-05-12 16:01:00,2022-05-12 16:23:00,long,1844.57,1848.31829,1848.31829,1840.50936,3.74829,3.39829,2.34829,tp,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
2022-05-17 16:00:00,2022-05-17 16:01:00,2022-05-17 16:15:00,short,1831.11,1827.89314,1827.89314,1834.59493,3.21686,2.86686,1.81686,tp,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
2022-05-18 16:00:00,2022-05-18 16:01:00,2022-05-18 16:06:00,long,1811.17,1814.25914,1814.25914,1807.82343,3.08914,2.73914,1.68914,tp,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
2022-05-20 16:00:00,2022-05-20 16:01:00,2022-05-20 16:30:00,long,1841.59,1838.68961,1844.26729,1838.68961,-2.90039,-3.25039,-4.30039,sl_conservative,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
2022-05-26 16:00:00,2022-05-26 16:01:00,2022-05-26 16:09:00,long,1843.91,1846.60357,1846.60357,1840.99196,2.69357,2.34357,1.29357,tp,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
2022-05-30 16:00:00,2022-05-30 16:01:00,2022-05-30 16:10:00,long,1855.25,1857.52529,1857.52529,1852.78511,2.27529,1.92529,0.87529,tp,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
2022-05-31 16:00:00,2022-05-31 16:01:00,2022-05-31 16:18:00,long,1848.87,1851.38486,1851.38486,1846.14557,2.51486,2.16486,1.11486,tp,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
2022-06-06 16:00:00,2022-06-06 16:01:00,2022-06-06 16:36:00,short,1853.57,1851.65214,1851.65214,1855.64768,1.91786,1.56786,0.51786,tp,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
2022-06-07 16:00:00,2022-06-07 16:01:00,2022-06-07 16:31:00,short,1843.59,1846.66079,1840.75543,1846.66079,-3.07079,-3.42079,-4.47079,sl_conservative,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
2022-06-16 16:00:00,2022-06-16 16:01:00,2022-06-16 17:13:00,long,1828.92,1825.15511,1832.39529,1825.15511,-3.76489,-4.11489,-5.16489,sl_conservative,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
2022-06-20 16:00:00,2022-06-20 16:01:00,2022-06-20 16:08:00,long,1838.4,1840.75114,1840.75114,1835.85293,2.35114,2.00114,0.95114,tp,london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,STAGE24A_REJECT
