family,name,params_json,stage,events,pf_x1,pf_x4,total_x1,total_x4,median_x1,win_rate_x1,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,first_entry,last_entry,proxy_rank_score
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.6_sl0.65,"{""entry_hour"": 16, ""horizon_min"": 90, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.0, ""sl_atr"": 0.65, ""sweep_atr_min"": 0.1, ""tp_atr"": 0.6}",proxy_m15,314,0.7864,0.5057,-188.954,-518.654,0.535,0.5032,0.8914,1.0839,0.5254,2022-05-06 16:15:00,2026-06-11 16:15:00,6.7681
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.1_h90_e16_tp0.6_sl0.65,"{""entry_hour"": 16, ""horizon_min"": 90, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.1, ""sl_atr"": 0.65, ""sweep_atr_min"": 0.1, ""tp_atr"": 0.6}",proxy_m15,287,0.7401,0.4575,-201.7398,-503.0898,0.49,0.5017,0.8642,0.7409,0.5856,2022-05-06 16:15:00,2026-06-11 16:15:00,6.5427
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h180_e16_tp0.6_sl0.65,"{""entry_hour"": 16, ""horizon_min"": 180, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.0, ""sl_atr"": 0.65, ""sweep_atr_min"": 0.1, ""tp_atr"": 0.6}",proxy_m15,314,0.7858,0.5118,-193.6187,-523.3187,-1.8037,0.4904,0.9166,1.0585,0.5137,2022-05-06 16:15:00,2026-06-11 16:15:00,5.6281
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.1_h180_e16_tp0.6_sl0.65,"{""entry_hour"": 16, ""horizon_min"": 180, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.1, ""sl_atr"": 0.65, ""sweep_atr_min"": 0.1, ""tp_atr"": 0.6}",proxy_m15,287,0.7406,0.4656,-206.4045,-507.7545,-1.9527,0.4878,0.8959,0.7225,0.5651,2022-05-06 16:15:00,2026-06-11 16:15:00,5.3537
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.25_rec0.0_h90_e16_tp0.6_sl0.65,"{""entry_hour"": 16, ""horizon_min"": 90, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.0, ""sl_atr"": 0.65, ""sweep_atr_min"": 0.25, ""tp_atr"": 0.6}",proxy_m15,264,0.6925,0.4381,-239.5143,-516.7143,-1.8037,0.4962,0.6433,0.7444,0.5299,2022-05-06 16:15:00,2026-06-11 16:15:00,4.855
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.25_rec0.0_h180_e16_tp0.6_sl0.65,"{""entry_hour"": 16, ""horizon_min"": 180, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.0, ""sl_atr"": 0.65, ""sweep_atr_min"": 0.25, ""tp_atr"": 0.6}",proxy_m15,264,0.6759,0.4312,-258.7852,-535.9852,-2.206,0.4811,0.6357,0.7267,0.514,2022-05-06 16:15:00,2026-06-11 16:15:00,4.6671
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.25_rec0.0_h180_e15_tp0.6_sl0.65,"{""entry_hour"": 15, ""horizon_min"": 180, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.0, ""sl_atr"": 0.65, ""sweep_atr_min"": 0.25, ""tp_atr"": 0.6}",proxy_m15,202,0.5692,0.3456,-263.1186,-475.2186,-2.2909,0.4554,0.4832,0.5267,0.4504,2022-05-09 15:15:00,2026-06-05 15:15:00,3.839
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.25_rec0.0_h90_e15_tp0.6_sl0.65,"{""entry_hour"": 15, ""horizon_min"": 90, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.0, ""sl_atr"": 0.65, ""sweep_atr_min"": 0.25, ""tp_atr"": 0.6}",proxy_m15,202,0.5672,0.3447,-263.4996,-475.5996,-2.2807,0.4505,0.4832,0.5267,0.4461,2022-05-09 15:15:00,2026-06-05 15:15:00,3.8256
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e15_tp0.6_sl0.65,"{""entry_hour"": 15, ""horizon_min"": 90, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.0, ""sl_atr"": 0.65, ""sweep_atr_min"": 0.1, ""tp_atr"": 0.6}",proxy_m15,291,0.5476,0.3365,-405.0055,-710.5555,-2.4857,0.4261,0.4713,0.4904,0.4298,2022-05-03 15:15:00,2026-06-05 15:15:00,3.8105
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h180_e15_tp0.6_sl0.65,"{""entry_hour"": 15, ""horizon_min"": 180, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.0, ""sl_atr"": 0.65, ""sweep_atr_min"": 0.1, ""tp_atr"": 0.6}",proxy_m15,291,0.5475,0.3364,-406.9714,-712.5214,-2.553,0.4296,0.4713,0.4904,0.4299,2022-05-03 15:15:00,2026-06-05 15:15:00,3.8101
