source,family,name,events,pf_x1,pf_x4,pf_x6,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,median_x1,total_x1,rank_score
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.45_cf0.1_h180_e13_tp0.6_sl0.65,247,0.9253,0.5858,0.4191,1.2106,1.4245,0.6937,1.4839,-45.5046,16.2586
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.45_cf0.1_h180_e13_tp0.8_sl0.8,247,0.9601,0.6679,0.5193,1.2386,1.2601,0.717,-1.36,-29.2698,15.9058
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.45_cf0.1_h90_e14_tp0.6_sl0.65,274,0.8671,0.543,0.3878,1.1417,1.7023,0.7,-1.025,-89.8195,15.7401
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.45_cf0.1_h90_e14_tp0.8_sl0.8,274,0.8548,0.5813,0.445,1.1075,1.5242,0.6746,-1.15,-117.1611,15.707
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.45_cf0.1_h90_e13_tp0.6_sl0.65,247,0.9147,0.534,0.3663,1.1074,1.1863,0.6556,-0.3,-43.2324,15.6865
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.45_cf0.1_h180_e14_tp0.6_sl0.65,274,0.8721,0.5569,0.4027,1.2161,1.7667,0.7173,-2.4423,-90.264,15.5584
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.45_cf0.1_h90_e13_tp0.8_sl0.8,247,0.8624,0.5236,0.376,0.8926,0.6998,0.6464,-0.37,-76.1118,15.4412
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.45_cf0.1_h180_e14_tp0.8_sl0.8,274,0.8418,0.5915,0.4621,1.1543,1.4639,0.6834,-3.2615,-141.6638,15.3324
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.7_cf0.1_h180_e13_tp0.6_sl0.65,202,1.031,0.6595,0.4789,1.7764,2.3464,0.7534,1.5002,14.7252,14.7092
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.7_cf0.1_h90_e14_tp0.6_sl0.65,230,0.85,0.5367,0.3862,1.0712,1.803,0.6461,-2.09,-87.0069,14.3806
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.7_cf0.1_h90_e13_tp0.6_sl0.65,202,1.0357,0.6052,0.4194,1.6781,1.9539,0.7008,-0.17,13.8216,14.1558
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.7_cf0.1_h180_e13_tp0.8_sl0.8,202,1.0496,0.7325,0.5722,1.6438,2.0243,0.6924,-1.115,28.5859,14.1493
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.7_cf0.1_h90_e13_tp0.8_sl0.8,202,0.9582,0.5763,0.4139,1.2654,1.0876,0.6944,-0.315,-17.5447,13.7059
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.45_cf0.2_h180_e14_tp0.6_sl0.65,178,0.9074,0.5748,0.4129,1.2342,2.0196,0.6787,-0.4336,-40.9513,12.3866
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.45_cf0.2_h90_e14_tp0.6_sl0.65,178,0.8679,0.5375,0.3795,1.1145,1.896,0.6591,-0.76,-56.8471,12.1129
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.45_cf0.2_h90_e14_tp0.8_sl0.8,178,0.8286,0.5559,0.4206,1.0285,1.6558,0.6358,-0.99,-88.4001,11.9665
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.85_cf0.1_h180_e13_tp0.6_sl0.65,150,1.0047,0.6943,0.5336,1.2808,1.2722,0.7567,1.8673,2.052,11.8692
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.85_cf0.05_h180_e13_tp0.6_sl0.65,151,0.9954,0.6873,0.5281,1.2407,1.2722,0.6638,1.8647,-2.0364,11.7494
