source,family,name,events,pf_x1,pf_x4,pf_x6,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,median_x1,total_x1,rank_score
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.45_rec0.0_h180_e16_tp0.6_sl0.65,765,0.8475,0.5584,0.4111,0.8979,1.0846,0.7424,1.5625,-332.632,16.1472
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.45_rec0.05_h180_e16_tp0.6_sl0.65,746,0.8483,0.5594,0.4123,0.9073,1.0559,0.7342,1.5395,-322.875,16.1408
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.45_rec0.0_h90_e16_tp0.6_sl0.65,765,0.8192,0.5302,0.3844,0.8429,0.9859,0.7364,1.258,-386.4306,15.9665
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.45_rec0.05_h90_e16_tp0.6_sl0.65,746,0.819,0.5304,0.3848,0.851,0.9561,0.7103,1.2418,-377.3148,15.9351
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.7_rec0.0_h180_e16_tp0.6_sl0.65,614,0.8039,0.5329,0.395,0.8518,0.9809,0.6891,-1.7469,-356.9364,15.2992
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.7_rec0.05_h180_e16_tp0.6_sl0.65,596,0.8048,0.5339,0.3961,0.8614,0.9477,0.6849,-2.0742,-344.8785,15.2376
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.7_rec0.0_h180_e15_tp0.6_sl0.65,577,0.7911,0.5288,0.3963,1.0146,1.1271,0.6792,-2.4785,-361.1845,15.2346
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.7_rec0.05_h180_e15_tp0.6_sl0.65,561,0.7865,0.5274,0.3964,1.0058,1.1271,0.6881,-2.4791,-362.2036,15.2331
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.7_rec0.0_h90_e16_tp0.6_sl0.65,614,0.7724,0.5017,0.3654,0.791,0.8731,0.6639,-1.405,-403.9377,15.2108
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.7_rec0.05_h90_e16_tp0.6_sl0.65,596,0.7721,0.5016,0.3655,0.7988,0.8385,0.674,-1.505,-392.5209,15.2091
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.45_rec0.0_h90_e14_tp0.6_sl0.65,687,0.7228,0.4626,0.3351,0.7269,0.9829,0.5981,-1.41,-545.7689,14.9672
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.7_rec0.0_h90_e15_tp0.6_sl0.65,577,0.7407,0.4869,0.3597,0.8904,0.9643,0.6194,-2.4791,-445.9171,14.9524
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.7_rec0.05_h90_e15_tp0.6_sl0.65,561,0.7352,0.4847,0.3591,0.8807,0.9643,0.6288,-2.5544,-446.9362,14.9337
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.45_rec0.05_h90_e14_tp0.6_sl0.65,671,0.7092,0.4532,0.3279,0.7198,0.9904,0.6113,-1.59,-561.8928,14.9148
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.45_rec0.05_h180_e15_tp0.6_sl0.65,717,0.742,0.4916,0.3643,0.7819,0.8433,0.6385,-2.4785,-566.449,14.9102
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.45_rec0.0_h180_e15_tp0.6_sl0.65,734,0.745,0.4924,0.3641,0.7895,0.8433,0.6205,-2.4645,-568.6595,14.8994
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.7_rec0.0_h90_e14_tp0.6_sl0.65,515,0.6927,0.4504,0.3312,0.7513,1.0088,0.5972,-2.24,-478.1876,14.7675
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.7_rec0.0_h180_e14_tp0.6_sl0.65,515,0.7081,0.4776,0.3594,0.7883,1.0334,0.601,-2.756,-493.3519,14.7542
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.45_rec0.0_h90_e15_tp0.6_sl0.65,734,0.7075,0.4605,0.3362,0.7097,0.7494,0.6005,-2.4645,-645.3896,14.7289
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.45_rec0.0_h180_e14_tp0.6_sl0.65,687,0.7167,0.4762,0.3531,0.7135,0.9236,0.5982,-2.6744,-615.7904,14.7209
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.45_rec0.05_h90_e15_tp0.6_sl0.65,717,0.7038,0.4591,0.3359,0.7016,0.7494,0.6002,-2.4785,-643.1791,14.714
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.7_rec0.05_h180_e14_tp0.6_sl0.65,502,0.6945,0.468,0.3519,0.788,1.0442,0.5705,-2.7684,-506.0357,14.6829
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.45_rec0.05_h180_e14_tp0.6_sl0.65,671,0.7043,0.4677,0.3466,0.7071,0.9278,0.5898,-2.689,-631.9143,14.6766
M15_PROXY,day_open_reclaim_reversal,day_open_reclaim_rev_ext0.7_rec0.05_h90_e14_tp0.6_sl0.65,502,0.6776,0.4395,0.3226,0.75,1.02,0.5459,-2.3371,-490.8714,14.6481
