source,family,name,events,pf_x1,pf_x4,pf_x6,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,median_x1,total_x1,rank_score
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.0_h180_e16_tp0.8_sl0.8,1057,1.0271,0.7494,0.6021,1.1031,1.3314,0.9066,2.2216,95.1051,17.1211
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.7_cf0.0_h180_e16_tp0.8_sl0.8,1053,1.0324,0.7536,0.6055,1.099,1.3314,0.8868,2.2454,113.3567,17.1093
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.05_h180_e16_tp0.8_sl0.8,1038,1.0207,0.745,0.5986,1.1091,1.308,0.906,2.2106,71.7099,17.1089
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.1_h180_e16_tp0.8_sl0.8,1019,1.0073,0.7328,0.5872,1.0822,1.254,0.8898,2.2216,24.6503,17.0383
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.0_h180_e16_tp0.6_sl0.65,1057,0.9185,0.6136,0.4581,1.0247,1.2157,0.8227,1.6994,-242.0807,16.5269
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.05_h180_e16_tp0.6_sl0.65,1038,0.918,0.6138,0.4587,1.0473,1.1956,0.8049,1.6582,-239.3079,16.5111
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.7_cf0.0_h180_e16_tp0.6_sl0.65,1053,0.9218,0.6162,0.4602,1.0211,1.2157,0.793,1.7721,-231.2407,16.5077
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.1_h180_e16_tp0.6_sl0.65,1019,0.9062,0.6023,0.4473,1.0116,1.1297,0.8026,1.7721,-267.4424,16.4757
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.7_cf0.0_h90_e16_tp0.8_sl0.8,1053,0.9682,0.6926,0.5488,0.9785,1.1649,0.835,0.58,-108.1759,16.4629
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.05_h90_e16_tp0.8_sl0.8,1038,0.9601,0.687,0.5445,0.9942,1.1412,0.8687,0.3,-134.3067,16.4445
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.0_h90_e16_tp0.8_sl0.8,1057,0.963,0.6887,0.5456,0.9828,1.1649,0.8556,0.38,-126.4274,16.4412
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.1_h90_e16_tp0.8_sl0.8,1019,0.9514,0.6782,0.5358,0.9756,1.1024,0.8289,0.35,-159.6027,16.3671
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.05_h90_e16_tp0.6_sl0.65,1038,0.8723,0.5738,0.4227,0.9562,1.0543,0.781,1.4898,-369.0099,16.273
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.1_h90_e16_tp0.6_sl0.65,1019,0.8697,0.5692,0.4171,0.9422,1.0232,0.7706,1.5625,-366.6322,16.2543
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.0_h90_e16_tp0.6_sl0.65,1057,0.8737,0.5743,0.4228,0.9359,1.0746,0.7669,1.5164,-371.1416,16.2481
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.7_cf0.0_h90_e16_tp0.6_sl0.65,1053,0.8769,0.5767,0.4247,0.9322,1.0746,0.7547,1.5622,-360.3016,16.2458
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.1_h180_e15_tp0.8_sl0.8,1022,0.8725,0.6404,0.5177,0.9938,1.2339,0.7446,-3.0331,-475.2329,15.4542
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.1_h90_e14_tp0.8_sl0.8,1013,0.7915,0.5391,0.4128,0.7679,0.8803,0.6874,-0.86,-657.9685,15.4132
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,1051,0.8571,0.6287,0.5078,0.9533,1.1854,0.7658,-3.0713,-552.396,15.4116
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.7_cf0.0_h90_e14_tp0.8_sl0.8,1042,0.7898,0.5368,0.4099,0.7317,0.8312,0.6897,-0.82,-681.5526,15.3936
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.0_h180_e15_tp0.8_sl0.8,1057,0.8543,0.6263,0.5056,0.9571,1.1854,0.7615,-3.1795,-565.6918,15.3805
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.1_h90_e15_tp0.8_sl0.8,1022,0.8307,0.5914,0.4676,0.9264,1.1597,0.7283,-2.4998,-587.9451,15.3723
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.0_h90_e14_tp0.8_sl0.8,1058,0.7825,0.5323,0.4068,0.7345,0.8322,0.6747,-0.84,-720.6818,15.3574
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.05_h180_e15_tp0.8_sl0.8,1040,0.8539,0.6268,0.5065,0.9507,1.1854,0.7373,-3.1254,-560.3691,15.3557
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.1_h180_e14_tp0.8_sl0.8,1013,0.838,0.6098,0.4884,0.8885,1.0385,0.7544,-2.8555,-600.2056,15.3452
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.05_h90_e14_tp0.8_sl0.8,1040,0.7751,0.5271,0.4028,0.7306,0.8312,0.6703,-0.865,-734.3898,15.3282
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.7_cf0.0_h180_e14_tp0.8_sl0.8,1042,0.8346,0.6061,0.4845,0.8474,0.9901,0.738,-2.7359,-628.7748,15.3098
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.0_h90_e15_tp0.8_sl0.8,1057,0.8147,0.5794,0.4577,0.894,1.1077,0.7212,-2.5763,-670.5824,15.2898
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.7_cf0.0_h90_e15_tp0.8_sl0.8,1051,0.817,0.5815,0.4595,0.8898,1.1077,0.7143,-2.5763,-659.1155,15.2835
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.7_cf0.0_h90_e14_tp0.6_sl0.65,1042,0.7575,0.4797,0.3438,0.7372,0.9109,0.6763,-0.71,-695.1288,15.2782
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.0_h180_e14_tp0.8_sl0.8,1058,0.8301,0.6029,0.4821,0.8516,0.9876,0.7166,-2.7957,-658.1558,15.2633
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.05_h90_e15_tp0.8_sl0.8,1040,0.8117,0.5781,0.457,0.888,1.1077,0.7008,-2.5855,-674.0701,15.2522
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.1_h180_e15_tp0.6_sl0.65,1022,0.8047,0.5404,0.4061,0.9119,1.0417,0.7062,-2.3788,-601.757,15.2499
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.05_h180_e14_tp0.8_sl0.8,1040,0.8224,0.5973,0.4777,0.8554,0.9901,0.7149,-2.8343,-678.9015,15.2395
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.1_h90_e14_tp0.6_sl0.65,1013,0.7579,0.4813,0.3461,0.7764,0.9617,0.653,-0.93,-676.1877,15.2345
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.0_h90_e14_tp0.6_sl0.65,1058,0.7497,0.4751,0.3408,0.7345,0.9082,0.6413,-0.835,-733.8313,15.1907
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.7_cf0.0_h180_e15_tp0.6_sl0.65,1051,0.7905,0.5301,0.3977,0.8836,1.0035,0.6925,-2.4215,-669.0716,15.1731
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.0_h180_e15_tp0.6_sl0.65,1057,0.7879,0.528,0.3959,0.8869,1.0035,0.6945,-2.4394,-680.6006,15.1683
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.05_h180_e15_tp0.6_sl0.65,1040,0.7875,0.5286,0.3969,0.8787,1.0035,0.6872,-2.4305,-673.7183,15.1555
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.05_h90_e14_tp0.6_sl0.65,1040,0.7394,0.4683,0.3359,0.7374,0.9109,0.6349,-1.04,-754.3149,15.1223
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.1_h180_e14_tp0.6_sl0.65,1013,0.7746,0.5179,0.3868,0.8433,1.0523,0.6784,-2.45,-700.9476,15.0855
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.7_cf0.0_h180_e14_tp0.6_sl0.65,1042,0.7738,0.5155,0.3838,0.8029,1.0039,0.6818,-2.34,-719.8886,15.079
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.1_h90_e15_tp0.6_sl0.65,1022,0.7608,0.4998,0.3689,0.8068,0.9316,0.6688,-2.3388,-720.5759,15.0269
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.0_h180_e14_tp0.6_sl0.65,1058,0.7664,0.5106,0.3801,0.7994,0.9996,0.6496,-2.3888,-758.5912,15.0097
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.05_h180_e14_tp0.6_sl0.65,1040,0.7574,0.5048,0.376,0.806,1.0039,0.6436,-2.436,-779.0748,14.9786
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.7_cf0.0_h90_e15_tp0.6_sl0.65,1051,0.7467,0.4901,0.3613,0.7823,0.8963,0.6605,-2.372,-791.7914,14.9627
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.0_h90_e15_tp0.6_sl0.65,1057,0.7442,0.4882,0.3596,0.7857,0.8963,0.6651,-2.3857,-803.3204,14.9627
M15_PROXY,day_open_extension_continuation,day_open_ext_cont_ext0.45_cf0.05_h90_e15_tp0.6_sl0.65,1040,0.7433,0.4883,0.3602,0.7769,0.8963,0.6416,-2.3788,-796.4381,14.9267
