signal_idx,signal_time_utc,entry_target_time_utc,planned_exit_target_time_utc,direction,direction_label,signal_close,sma,diff,reason,entry_time_utc,exit_time_utc,entry_price,exit_price,raw_usd,cost_usd,net_usd,mfe_usd,mae_usd,path_high,path_low,m1_bars_in_trade
14,2022-05-02T15:00:00+00:00,2022-05-02T16:00:00+00:00,2022-05-03T05:00:00+00:00,-1,short,1861.64,1881.2060000000001,-19.56600000000003,close_sma_diff_-19.5660,2022-05-02T16:00:00+00:00,2022-05-03T05:00:00+00:00,1861.64,1860.2,1.4400000000000546,0.35,1.0900000000000545,7.040000000000191,10.3599999999999,1872.0,1854.6,711
38,2022-05-03T16:00:00+00:00,2022-05-03T17:00:00+00:00,2022-05-04T06:00:00+00:00,1,long,1871.23,1860.1179999999997,11.112000000000307,close_sma_diff_11.1120,2022-05-03T17:00:00+00:00,2022-05-04T06:00:00+00:00,1871.01,1863.54,-7.470000000000027,0.35,-7.820000000000027,7.120000000000118,9.440000000000055,1878.13,1861.57,711
66,2022-05-04T21:00:00+00:00,2022-05-04T22:00:00+00:00,2022-05-05T11:00:00+00:00,1,long,1885.8,1869.307,16.492999999999938,close_sma_diff_16.4930,2022-05-04T22:00:00+00:00,2022-05-05T11:00:00+00:00,1885.95,1894.87,8.919999999999845,0.35,8.569999999999846,17.450000000000045,4.410000000000082,1903.4,1881.54,711
85,2022-05-05T17:00:00+00:00,2022-05-05T18:00:00+00:00,2022-05-06T07:00:00+00:00,-1,short,1886.27,1896.5729999999999,-10.302999999999884,close_sma_diff_-10.3030,2022-05-05T18:00:00+00:00,2022-05-06T07:00:00+00:00,1886.26,1876.5,9.759999999999991,0.35,9.409999999999991,20.200000000000045,0.049999999999954525,1886.31,1866.06,711
127,2022-05-09T13:00:00+00:00,2022-05-09T14:00:00+00:00,2022-05-10T03:00:00+00:00,-1,short,1859.64,1870.384,-10.743999999999915,close_sma_diff_-10.7440,2022-05-09T14:00:00+00:00,2022-05-10T03:00:00+00:00,1859.66,1853.82,5.8400000000001455,0.35,5.490000000000146,8.029999999999973,11.809999999999945,1871.47,1851.63,711
155,2022-05-10T18:00:00+00:00,2022-05-10T19:00:00+00:00,2022-05-11T08:00:00+00:00,-1,short,1844.33,1857.2309999999998,-12.90099999999984,close_sma_diff_-12.9010,2022-05-10T19:00:00+00:00,2022-05-11T08:00:00+00:00,1844.34,1838.95,5.389999999999873,0.35,5.039999999999873,12.36999999999989,3.150000000000091,1847.49,1831.97,711
170,2022-05-11T10:00:00+00:00,2022-05-11T11:00:00+00:00,2022-05-11T23:00:00+00:00,1,long,1848.74,1838.673,10.067000000000007,close_sma_diff_10.0670,2022-05-11T11:00:00+00:00,2022-05-11T23:00:00+00:00,1848.75,1852.65,3.900000000000091,0.35,3.550000000000091,9.400000000000091,13.6400000000001,1858.15,1835.11,713
202,2022-05-12T19:00:00+00:00,2022-05-12T20:00:00+00:00,2022-05-13T09:00:00+00:00,-1,short,1825.54,1842.377,-16.83699999999999,close_sma_diff_-16.8370,2022-05-12T20:00:00+00:00,2022-05-13T09:00:00+00:00,1825.61,1826.23,-0.6200000000001182,0.35,-0.9700000000001182,15.1099999999999,2.8700000000001182,1828.48,1810.5,711
221,2022-05-13T15:00:00+00:00,2022-05-13T16:00:00+00:00,2022-05-16T05:00:00+00:00,-1,short,1810.35,1821.341,-10.990999999999985,close_sma_diff_-10.9910,2022-05-13T16:00:00+00:00,2022-05-16T05:00:00+00:00,1810.36,1814.03,-3.6700000000000728,0.35,-4.020000000000072,11.299999999999955,8.050000000000182,1818.41,1799.06,711
239,2022-05-16T10:00:00+00:00,2022-05-16T11:00:00+00:00,2022-05-16T23:00:00+00:00,-1,short,1792.94,1809.361,-16.42100000000005,close_sma_diff_-16.4210,2022-05-16T11:00:00+00:00,2022-05-16T23:00:00+00:00,1792.97,1826.04,-33.069999999999936,0.35,-33.41999999999994,0.2300000000000182,33.92000000000007,1826.89,1792.74,721
310,2022-05-19T12:00:00+00:00,2022-05-19T13:00:00+00:00,2022-05-20T02:00:00+00:00,1,long,1829.65,1817.123,12.527000000000044,close_sma_diff_12.5270,2022-05-19T13:00:00+00:00,2022-05-20T02:00:00+00:00,1829.76,1841.89,12.13000000000011,0.35,11.78000000000011,19.3900000000001,3.349999999999909,1849.15,1826.41,706
518,2022-06-01T15:00:00+00:00,2022-06-01T16:00:00+00:00,2022-06-02T05:00:00+00:00,1,long,1844.2,1833.7779999999998,10.422000000000253,close_sma_diff_10.4220,2022-06-01T16:00:00+00:00,2022-06-02T05:00:00+00:00,1844.19,1844.89,0.7000000000000455,0.35,0.3500000000000455,5.829999999999927,6.2999999999999545,1850.02,1837.89,708
542,2022-06-02T16:00:00+00:00,2022-06-02T17:00:00+00:00,2022-06-03T06:00:00+00:00,1,long,1864.0,1853.4299999999998,10.570000000000164,close_sma_diff_10.5700,2022-06-02T17:00:00+00:00,2022-06-03T06:00:00+00:00,1864.03,1870.32,6.289999999999964,0.35,5.939999999999964,10.059999999999945,0.599999999999909,1874.09,1863.43,708
567,2022-06-03T18:00:00+00:00,2022-06-03T19:00:00+00:00,2022-06-06T08:00:00+00:00,-1,short,1852.01,1862.166,-10.155999999999949,close_sma_diff_-10.1560,2022-06-03T19:00:00+00:00,2022-06-06T08:00:00+00:00,1852.0,1855.85,-3.849999999999909,0.35,-4.199999999999909,12.160000000000082,4.680000000000064,1856.68,1839.84,708
681,2022-06-10T17:00:00+00:00,2022-06-10T18:00:00+00:00,2022-06-13T07:00:00+00:00,1,long,1855.88,1842.8110000000001,13.06899999999996,close_sma_diff_13.0690,2022-06-10T18:00:00+00:00,2022-06-13T07:00:00+00:00,1855.93,1863.22,7.289999999999964,0.35,6.939999999999964,22.84999999999991,0.7699999999999818,1878.78,1855.16,706
698,2022-06-13T11:00:00+00:00,2022-06-13T12:00:00+00:00,2022-06-14T01:00:00+00:00,-1,short,1853.37,1864.0900000000001,-10.720000000000255,close_sma_diff_-10.7200,2022-06-13T12:00:00+00:00,2022-06-14T01:05:00+00:00,1853.29,1815.63,37.659999999999854,0.35,37.30999999999985,34.23000000000002,5.670000000000073,1858.96,1819.06,715
728,2022-06-14T18:00:00+00:00,2022-06-14T19:00:00+00:00,2022-06-15T08:00:00+00:00,-1,short,1810.43,1821.0549999999998,-10.624999999999773,close_sma_diff_-10.6250,2022-06-14T19:00:00+00:00,2022-06-15T08:00:00+00:00,1810.5,1814.85,-4.349999999999909,0.35,-4.699999999999909,5.329999999999927,8.6400000000001,1819.14,1805.17,711
747,2022-06-15T14:00:00+00:00,2022-06-15T15:00:00+00:00,2022-06-16T04:00:00+00:00,1,long,1831.18,1821.1009999999999,10.079000000000178,close_sma_diff_10.0790,2022-06-15T15:00:00+00:00,2022-06-16T04:00:00+00:00,1831.2,1833.56,2.3599999999999,0.35,2.0099999999999,10.61999999999989,17.65000000000009,1841.82,1813.55,708
769,2022-06-16T13:00:00+00:00,2022-06-16T14:00:00+00:00,2022-06-17T03:00:00+00:00,-1,short,1819.81,1830.23,-10.420000000000073,close_sma_diff_-10.4200,2022-06-16T14:00:00+00:00,2022-06-17T03:00:00+00:00,1819.86,1850.69,-30.830000000000155,0.35,-31.180000000000156,4.539999999999964,37.37000000000012,1857.23,1815.32,711
861,2022-06-22T15:00:00+00:00,2022-06-22T16:00:00+00:00,2022-06-23T05:00:00+00:00,1,long,1844.68,1829.6970000000001,14.982999999999947,close_sma_diff_14.9830,2022-06-22T16:00:00+00:00,2022-06-23T05:00:00+00:00,1844.7,1833.2,-11.5,0.35,-11.85,3.230000000000018,11.660000000000082,1847.93,1833.04,709
976,2022-06-29T15:00:00+00:00,2022-06-29T16:00:00+00:00,2022-06-30T05:00:00+00:00,1,long,1831.35,1820.959,10.390999999999849,close_sma_diff_10.3910,2022-06-29T16:00:00+00:00,2022-06-30T05:00:00+00:00,1831.35,1820.29,-11.059999999999945,0.35,-11.409999999999945,1.3300000000001546,16.439999999999827,1832.68,1814.91,711
1025,2022-07-01T18:00:00+00:00,2022-07-01T19:00:00+00:00,2022-07-04T08:00:00+00:00,1,long,1806.38,1795.4869999999999,10.893000000000256,close_sma_diff_10.8930,2022-07-01T19:00:00+00:00,2022-07-04T08:00:00+00:00,1806.38,1812.22,5.839999999999918,0.35,5.4899999999999185,7.879999999999882,8.450000000000045,1814.26,1797.93,716
1067,2022-07-05T16:00:00+00:00,2022-07-05T17:00:00+00:00,2022-07-06T06:00:00+00:00,-1,short,1786.33,1802.9389999999999,-16.608999999999924,close_sma_diff_-16.6090,2022-07-05T17:00:00+00:00,2022-07-06T06:00:00+00:00,1786.31,1770.61,15.700000000000045,0.35,15.350000000000046,22.3599999999999,0.029999999999972715,1786.34,1763.95,718
1091,2022-07-06T17:00:00+00:00,2022-07-06T18:00:00+00:00,2022-07-07T07:00:00+00:00,-1,short,1743.69,1762.468,-18.77800000000002,close_sma_diff_-18.7780,2022-07-06T18:00:00+00:00,2022-07-07T07:00:00+00:00,1743.72,1746.06,-2.339999999999918,0.35,-2.6899999999999182,11.470000000000027,3.240000000000009,1746.96,1732.25,718
1204,2022-07-13T15:00:00+00:00,2022-07-13T16:00:00+00:00,2022-07-14T05:00:00+00:00,-1,short,1712.73,1725.9119999999998,-13.181999999999789,close_sma_diff_-13.1820,2022-07-13T16:00:00+00:00,2022-07-14T05:00:00+00:00,1712.9,1727.03,-14.129999999999882,0.35,-14.479999999999881,2.2200000000000273,32.51999999999998,1745.42,1710.68,718
1225,2022-07-14T13:00:00+00:00,2022-07-14T14:00:00+00:00,2022-07-15T03:00:00+00:00,-1,short,1711.07,1722.7540000000001,-11.684000000000196,close_sma_diff_-11.6840,2022-07-14T14:00:00+00:00,2022-07-15T03:00:00+00:00,1711.13,1711.42,-0.2899999999999636,0.35,-0.6399999999999636,13.52000000000021,4.979999999999791,1716.11,1697.61,718
