event_id,event_time_utc,event_end_utc,title,event_class,event_channel,expected_gold_direction,initial_importance,confidence,source_name,source_url_or_note,manual_tags,notes,source_kind,dedupe_key
gdelt_d2025d5fda47a0,2026-06-03T16:00:00+00:00,2026-06-03T16:00:00+00:00,世界黄金协会 ： 2026年4月全球央行重启黄金净买入 _ 金市直播 _ 黄金网 _ 中金在线,central_bank_gold_demand,central_bank_demand,1,1.0,0.45,gdelt:gold.cnfol.com,http://gold.cnfol.com/jinshizhibo/20260603/32269229.shtml,gdelt;query_gold_central_bank;query_intent_fallback;query_mode=rate_safe,Auto-detected news candidate; query-intent classification; requires Stage 10A/10D validation before trust,gdelt,77b820a7a0db5c
gdelt_425c8264b35f6a,2026-06-04T02:00:00+00:00,2026-06-04T02:00:00+00:00,3月大抛售后 ， 全球央行4月重新恢复购金 - CFi . CN 中财网,central_bank_gold_demand,central_bank_demand,1,1.0,0.45,gdelt:cfi.net.cn,http://www.cfi.net.cn/p20260604000165.html,gdelt;query_gold_central_bank;query_intent_fallback;query_mode=rate_safe,Auto-detected news candidate; query-intent classification; requires Stage 10A/10D validation before trust,gdelt,8f4b678f779809
gdelt_e0c3b3cb7cb1e0,2026-06-04T02:30:00+00:00,2026-06-04T02:30:00+00:00,中國和波蘭正在囤黃金 ！ 世界黃金協會揭驚人數據 全球央行動向一次看,central_bank_gold_demand,central_bank_demand,1,1.0,0.45,gdelt:ec.ltn.com.tw,https://ec.ltn.com.tw/article/breakingnews/5460036,gdelt;query_gold_central_bank;query_intent_fallback;query_mode=rate_safe,Auto-detected news candidate; query-intent classification; requires Stage 10A/10D validation before trust,gdelt,4c7c0219e7371d
gdelt_5430a42dc44b0b,2026-06-04T06:30:00+00:00,2026-06-04T06:30:00+00:00,全球央行扫货黄金 4月净购金17吨 _ 新闻频道 _ 中华网,central_bank_gold_demand,central_bank_demand,1,1.0,0.45,gdelt:news.china.com,https://news.china.com/socialgd/10000169/20260604/49530485.html,gdelt;query_gold_central_bank;query_intent_fallback;query_mode=rate_safe,Auto-detected news candidate; query-intent classification; requires Stage 10A/10D validation before trust,gdelt,c675d304391530
gdelt_e4d969cf60e25f,2026-06-04T07:45:00+00:00,2026-06-04T07:45:00+00:00,波兰央行单月净购入黄金14吨 全球央行恢复增持态势 _ 新闻频道 _ 中华网,central_bank_gold_demand,central_bank_demand,1,1.0,0.45,gdelt:news.china.com,https://news.china.com/socialgd/10000169/20260604/49530689.html,gdelt;query_gold_central_bank;query_intent_fallback;query_mode=rate_safe,Auto-detected news candidate; query-intent classification; requires Stage 10A/10D validation before trust,gdelt,6c3b0f0051491c
gdelt_22333498043146,2026-06-04T08:15:00+00:00,2026-06-04T08:15:00+00:00,净购入黄金17吨 ， 全球央行重启买买买 - CFi . CN 中财网,central_bank_gold_demand,central_bank_demand,1,1.0,0.45,gdelt:cfi.net.cn,http://www.cfi.net.cn/p20260604000368.html,gdelt;query_gold_central_bank;query_intent_fallback;query_mode=rate_safe,Auto-detected news candidate; query-intent classification; requires Stage 10A/10D validation before trust,gdelt,9c4fa782b45f5a
gdelt_89f426a59f3213,2026-06-04T08:15:00+00:00,2026-06-04T08:15:00+00:00,黄金缘何成全球官方储备最大资产 - 金融频道 - 杭州网,central_bank_gold_demand,central_bank_demand,1,1.0,0.45,gdelt:money.hangzhou.com.cn,https://money.hangzhou.com.cn/focus/content/content_9234100.html,gdelt;query_gold_central_bank;query_intent_fallback;query_mode=rate_safe,Auto-detected news candidate; query-intent classification; requires Stage 10A/10D validation before trust,gdelt,f78d46b03db636
gdelt_a9b801e4ae0167,2026-06-04T15:30:00+00:00,2026-06-04T15:30:00+00:00,净购入黄金17吨 ！ 全球央行重启买买买,central_bank_gold_demand,central_bank_demand,1,1.0,0.45,gdelt:news.china.com.cn,http://news.china.com.cn/2026-06/04/content_118531674.shtml,gdelt;query_gold_central_bank;query_intent_fallback;query_mode=rate_safe,Auto-detected news candidate; query-intent classification; requires Stage 10A/10D validation before trust,gdelt,52745c1cb42492
gdelt_92222ca9a21154,2026-06-04T18:45:00+00:00,2026-06-04T18:45:00+00:00,买买买 ！ 全球央行重新 扫货 黄金,central_bank_gold_demand,central_bank_demand,1,1.0,0.45,gdelt:nbd.com.cn,https://www.nbd.com.cn/articles/2026-06-04/4417307.html,gdelt;query_gold_central_bank;query_intent_fallback;query_mode=rate_safe,Auto-detected news candidate; query-intent classification; requires Stage 10A/10D validation before trust,gdelt,c4b69ebaec9922
gdelt_fc4dc53c140653,2026-06-05T03:15:00+00:00,2026-06-05T03:15:00+00:00,金价高位震荡 ， 全球央行重新入场 扫货 能否支撑未来走势 ？- 华龙网 - 重庆市委市政府官方新闻门户,central_bank_gold_demand,central_bank_demand,1,1.0,0.45,gdelt:cqnews.net,https://www.cqnews.net/web/content_1512396069136105472.html,gdelt;query_gold_central_bank;query_intent_fallback;query_mode=rate_safe,Auto-detected news candidate; query-intent classification; requires Stage 10A/10D validation before trust,gdelt,45feed7aa67d36
fomc_2026_06_17,2026-06-17T18:00:00+00:00,2026-06-17T18:30:00+00:00,FOMC statement / SEP / press conference,fomc_statement,real_yield_fed_path,0,2.0,1.0,scheduled_seed,Federal Reserve scheduled FOMC meeting; verify exact statement time manually,scheduled;calendar,Normalized from scheduled event seed,scheduled,4b1dbccd8181b7
fomc_2026_07_29,2026-07-29T18:00:00+00:00,2026-07-29T18:30:00+00:00,FOMC statement,fomc_statement,real_yield_fed_path,0,2.0,1.0,scheduled_seed,Federal Reserve scheduled FOMC meeting; verify exact statement time manually,scheduled;calendar,Normalized from scheduled event seed,scheduled,fee52394c10675
fomc_2026_09_16,2026-09-16T18:00:00+00:00,2026-09-16T18:30:00+00:00,FOMC statement / SEP / press conference,fomc_statement,real_yield_fed_path,0,2.0,1.0,scheduled_seed,Federal Reserve scheduled FOMC meeting; verify exact statement time manually,scheduled;calendar,Normalized from scheduled event seed,scheduled,b188393715f6b0
fomc_2026_10_28,2026-10-28T18:00:00+00:00,2026-10-28T18:30:00+00:00,FOMC statement,fomc_statement,real_yield_fed_path,0,2.0,1.0,scheduled_seed,Federal Reserve scheduled FOMC meeting; verify exact statement time manually,scheduled;calendar,Normalized from scheduled event seed,scheduled,f2206030800bc3
fomc_2026_12_09,2026-12-09T19:00:00+00:00,2026-12-09T19:30:00+00:00,FOMC statement / SEP / press conference,fomc_statement,real_yield_fed_path,0,2.0,1.0,scheduled_seed,Federal Reserve scheduled FOMC meeting; verify exact statement time manually,scheduled;calendar,Normalized from scheduled event seed,scheduled,c3791be1bfb3f8
