baseline,interval,entry_time_utc,exit_time_utc,direction,direction_label,entry_price,exit_price,raw_usd,cost_usd,net_usd,reason
higher_timeframe_sma20_trend,1h,2026-05-15T06:00:00+00:00,2026-05-15T09:00:00+00:00,-1,short,4567.67438,4544.7705,22.903880000000754,0.35,22.553880000000753,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T07:00:00+00:00,2026-05-15T10:00:00+00:00,-1,short,4569.7825,4568.81463,0.9678700000004028,0.35,0.6178700000004028,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T08:00:00+00:00,2026-05-15T11:00:00+00:00,-1,short,4554.08644,4551.87153,2.2149099999996906,0.35,1.8649099999996905,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T09:00:00+00:00,2026-05-15T12:00:00+00:00,-1,short,4544.7705,4552.51953,-7.749029999999948,0.35,-8.099029999999948,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T10:00:00+00:00,2026-05-15T13:00:00+00:00,-1,short,4568.81463,4534.42514,34.38948999999957,0.35,34.03948999999957,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T11:00:00+00:00,2026-05-15T14:00:00+00:00,-1,short,4551.87153,4565.85756,-13.986030000000028,0.35,-14.336030000000028,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T12:00:00+00:00,2026-05-15T15:00:00+00:00,-1,short,4552.51953,4533.95994,18.559589999999844,0.35,18.209589999999842,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T13:00:00+00:00,2026-05-15T16:00:00+00:00,-1,short,4534.42514,4544.21449,-9.789350000000013,0.35,-10.139350000000013,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T14:00:00+00:00,2026-05-15T17:00:00+00:00,-1,short,4565.85756,4559.58841,6.2691500000000815,0.35,5.919150000000082,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T15:00:00+00:00,2026-05-15T18:00:00+00:00,-1,short,4533.95994,4559.23338,-25.273439999999937,0.35,-25.62343999999994,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T16:00:00+00:00,2026-05-15T19:00:00+00:00,-1,short,4544.21449,4545.98597,-1.7714799999994284,0.35,-2.1214799999994285,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T17:00:00+00:00,2026-05-15T20:00:00+00:00,-1,short,4559.58841,4540.14677,19.441640000000007,0.35,19.091640000000005,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T18:00:00+00:00,2026-05-15T21:00:00+00:00,-1,short,4559.23338,4537.67283,21.56054999999924,0.35,21.210549999999238,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T19:00:00+00:00,2026-05-15T22:00:00+00:00,-1,short,4545.98597,4537.72045,8.265519999999924,0.35,7.915519999999924,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T20:00:00+00:00,2026-05-15T23:00:00+00:00,-1,short,4540.14677,4537.70856,2.438210000000254,0.35,2.0882100000002537,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T21:00:00+00:00,2026-05-16T00:00:00+00:00,-1,short,4537.67283,4537.71385,-0.041019999999662105,0.35,-0.3910199999996621,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T22:00:00+00:00,2026-05-16T01:00:00+00:00,-1,short,4537.72045,4537.71967,0.0007799999993949314,0.35,-0.34922000000060505,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-15T23:00:00+00:00,2026-05-16T02:00:00+00:00,-1,short,4537.70856,4537.73172,-0.023159999999734282,0.35,-0.37315999999973426,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T00:00:00+00:00,2026-05-16T03:00:00+00:00,-1,short,4537.71385,4537.75333,-0.039479999999457505,0.35,-0.3894799999994575,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T01:00:00+00:00,2026-05-16T04:00:00+00:00,-1,short,4537.71967,4537.8078,-0.08812999999918247,0.35,-0.43812999999918245,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T02:00:00+00:00,2026-05-16T05:00:00+00:00,-1,short,4537.73172,4537.81237,-0.08064999999987776,0.35,-0.43064999999987774,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T03:00:00+00:00,2026-05-16T06:00:00+00:00,-1,short,4537.75333,4537.81866,-0.06533000000035827,0.35,-0.41533000000035825,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T04:00:00+00:00,2026-05-16T07:00:00+00:00,-1,short,4537.8078,4537.82996,-0.02216000000044005,0.35,-0.37216000000044,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T05:00:00+00:00,2026-05-16T08:00:00+00:00,-1,short,4537.81237,4537.83089,-0.01852000000053522,0.35,-0.3685200000005352,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T06:00:00+00:00,2026-05-16T09:00:00+00:00,-1,short,4537.81866,4537.83267,-0.01400999999987107,0.35,-0.36400999999987105,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T07:00:00+00:00,2026-05-16T10:00:00+00:00,-1,short,4537.82996,4537.84592,-0.01595999999972264,0.35,-0.3659599999997226,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T08:00:00+00:00,2026-05-16T11:00:00+00:00,-1,short,4537.83089,4537.84248,-0.011590000000069267,0.35,-0.36159000000006924,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T09:00:00+00:00,2026-05-16T12:00:00+00:00,-1,short,4537.83267,4537.84034,-0.007669999999961874,0.35,-0.35766999999996185,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T10:00:00+00:00,2026-05-16T13:00:00+00:00,-1,short,4537.84592,4537.83359,0.012329999999565189,0.35,-0.3376700000004348,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T11:00:00+00:00,2026-05-16T14:00:00+00:00,-1,short,4537.84248,4537.8227,0.019780000000537257,0.35,-0.3302199999994627,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T12:00:00+00:00,2026-05-16T15:00:00+00:00,-1,short,4537.84034,4537.80844,0.031899999999950523,0.35,-0.31810000000004945,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T13:00:00+00:00,2026-05-16T16:00:00+00:00,-1,short,4537.83359,4537.80719,0.02639999999973952,0.35,-0.32360000000026046,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T14:00:00+00:00,2026-05-16T17:00:00+00:00,-1,short,4537.8227,4537.82393,-0.0012299999998504063,0.35,-0.3512299999998504,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T15:00:00+00:00,2026-05-16T18:00:00+00:00,-1,short,4537.80844,4537.83877,-0.030330000000503787,0.35,-0.38033000000050377,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T16:00:00+00:00,2026-05-16T19:00:00+00:00,1,long,4537.80719,4537.73958,-0.06761000000005879,0.35,-0.41761000000005877,close_vs_sma20
higher_timeframe_sma20_trend,1h,2026-05-16T17:00:00+00:00,2026-05-16T20:00:00+00:00,1,long,4537.82393,4537.72547,-0.0984599999992497,0.35,-0.4484599999992497,close_vs_sma20
