candidate_id,candidate_identity,family_key,stage,source_csv,source_row,priority_score_review_only,macro_feature,macro_gate,confirmed_events,confirmed_pf_x4,confirmed_pf_x6,confirmed_total_x4,boot_p05_total_x4,stress_0.20_total_x4,years_positive_x4,decision,density_bucket,commercial_blocker,raw_json,family,events,gate,direction,latest_signal_ts
real_yield_rank250_le_q20 | real_yield_rank250::data/reports/stage31d_exogenous_candidate_confirmation/stage31d_candidate_review.csv::0,real_yield_rank250_le_q20 | real_yield_rank250,exogenous_macro,stage31d,data/reports/stage31d_exogenous_candidate_confirmation/stage31d_candidate_review.csv,2,112.621963,real_yield_rank250,real_yield_rank250_le_q20,50,22.785562557530273,16.679116674046316,209.22069999999997,143.88606199999998,199.22070000000002,4,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY,MODERATE_HISTORICAL_DENSITY,REVIEW_READY_NOT_PROMOTED,"{""base_avg_x4"": ""1.2761561000000001"", ""base_events"": ""200"", ""base_median_x4"": ""1.0293600000000005"", ""base_pf_x4"": ""2.851412305366162"", ""base_pf_x6"": ""1.6534217890241731"", ""base_scope_events"": ""200"", ""base_total_x4"": ""255.23122"", ""base_total_x6"": ""115.23122000000006"", ""base_win_rate_x4"": ""0.81"", ""boot_p05_total_x4"": ""143.88606199999998"", ""boot_p05_total_x6"": ""106.96845900000004"", ""confirmed_avg_x4"": ""4.184413999999999"", ""confirmed_events"": ""50"", ""confirmed_median_x4"": ""2.25143"", ""confirmed_pf_x4"": ""22.785562557530273"", ""confirmed_pf_x6"": ""16.679116674046316"", ""confirmed_total_x4"": ""209.22069999999997"", ""confirmed_total_x6"": ""174.22070000000002"", ""confirmed_win_rate_x4"": ""0.96"", ""decision"": ""STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY"", ""lift_pf_x4"": ""19.934150252164113"", ""lift_total_x4"": ""-46.01052000000004"", ""macro_feature"": ""real_yield_rank250"", ""macro_gate"": ""real_yield_rank250_le_q20"", ""min_year_events"": ""4"", ""overlay_name"": ""london_q40_prior_q30"", ""rank_score"": ""248.66553828765137"", ""scope_type"": ""candidate_name"", ""scope_value"": ""S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65"", ""source_stage31c_decision"": ""STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY"", ""source_stage31c_rank_score"": ""142.54093617499998"", ""stress_0.05_pf_x4"": ""22.30341809877531"", ""stress_0.05_total_x4"": ""206.72070000000002"", ""stress_0.10_pf_x4"": ""21.83110966946971"", ""stress_0.10_total_x4"": ""204.2207"", ""stress_0.20_pf_x4"": ""20.914821005154124"", ""stress_0.20_total_x4"": ""199.22070000000002"", ""year_total_min"": ""11.983800000000004"", ""years_positive_x4"": ""4"", ""years_tested"": ""4""}",,,,,
real_yield_rank250_le_q20 | real_yield_rank250::data/reports/stage31d_exogenous_candidate_confirmation/stage31d_confirmation_results.csv::0,real_yield_rank250_le_q20 | real_yield_rank250,exogenous_macro,stage31d,data/reports/stage31d_exogenous_candidate_confirmation/stage31d_confirmation_results.csv,2,112.621963,real_yield_rank250,real_yield_rank250_le_q20,50,22.785562557530273,16.679116674046316,209.22069999999997,143.88606199999998,199.22070000000002,4,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY,MODERATE_HISTORICAL_DENSITY,REVIEW_READY_NOT_PROMOTED,"{""base_avg_x4"": ""1.2761561000000001"", ""base_events"": ""200"", ""base_median_x4"": ""1.0293600000000005"", ""base_pf_x4"": ""2.851412305366162"", ""base_pf_x6"": ""1.6534217890241731"", ""base_scope_events"": ""200"", ""base_total_x4"": ""255.23122"", ""base_total_x6"": ""115.23122000000006"", ""base_win_rate_x4"": ""0.81"", ""boot_p05_total_x4"": ""143.88606199999998"", ""boot_p05_total_x6"": ""106.96845900000004"", ""confirmed_avg_x4"": ""4.184413999999999"", ""confirmed_events"": ""50"", ""confirmed_median_x4"": ""2.25143"", ""confirmed_pf_x4"": ""22.785562557530273"", ""confirmed_pf_x6"": ""16.679116674046316"", ""confirmed_total_x4"": ""209.22069999999997"", ""confirmed_total_x6"": ""174.22070000000002"", ""confirmed_win_rate_x4"": ""0.96"", ""decision"": ""STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY"", ""lift_pf_x4"": ""19.934150252164113"", ""lift_total_x4"": ""-46.01052000000004"", ""macro_feature"": ""real_yield_rank250"", ""macro_gate"": ""real_yield_rank250_le_q20"", ""min_year_events"": ""4"", ""overlay_name"": ""london_q40_prior_q30"", ""rank_score"": ""248.66553828765137"", ""scope_type"": ""candidate_name"", ""scope_value"": ""S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65"", ""source_stage31c_decision"": ""STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY"", ""source_stage31c_rank_score"": ""142.54093617499998"", ""stress_0.05_pf_x4"": ""22.30341809877531"", ""stress_0.05_total_x4"": ""206.72070000000002"", ""stress_0.10_pf_x4"": ""21.83110966946971"", ""stress_0.10_total_x4"": ""204.2207"", ""stress_0.20_pf_x4"": ""20.914821005154124"", ""stress_0.20_total_x4"": ""199.22070000000002"", ""year_total_min"": ""11.983800000000004"", ""years_positive_x4"": ""4"", ""years_tested"": ""4""}",,,,,
real_yield_rank250_le_q20 | real_yield_rank250::data/reports/stage31d_exogenous_candidate_confirmation/stage31d_candidate_review.csv::1,real_yield_rank250_le_q20 | real_yield_rank250,exogenous_macro,stage31d,data/reports/stage31d_exogenous_candidate_confirmation/stage31d_candidate_review.csv,3,112.523415,real_yield_rank250,real_yield_rank250_le_q20,50,22.785562557530273,16.679116674046316,209.22069999999997,142.654208,199.22070000000002,4,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY,MODERATE_HISTORICAL_DENSITY,REVIEW_READY_NOT_PROMOTED,"{""base_avg_x4"": ""1.2761561000000001"", ""base_events"": ""200"", ""base_median_x4"": ""1.0293600000000005"", ""base_pf_x4"": ""2.851412305366162"", ""base_pf_x6"": ""1.6534217890241731"", ""base_scope_events"": ""200"", ""base_total_x4"": ""255.23122"", ""base_total_x6"": ""115.23122000000006"", ""base_win_rate_x4"": ""0.81"", ""boot_p05_total_x4"": ""142.654208"", ""boot_p05_total_x6"": ""106.96715850000001"", ""confirmed_avg_x4"": ""4.184413999999999"", ""confirmed_events"": ""50"", ""confirmed_median_x4"": ""2.25143"", ""confirmed_pf_x4"": ""22.785562557530273"", ""confirmed_pf_x6"": ""16.679116674046316"", ""confirmed_total_x4"": ""209.22069999999997"", ""confirmed_total_x6"": ""174.22070000000002"", ""confirmed_win_rate_x4"": ""0.96"", ""decision"": ""STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY"", ""lift_pf_x4"": ""19.934150252164113"", ""lift_total_x4"": ""-46.01052000000004"", ""macro_feature"": ""real_yield_rank250"", ""macro_gate"": ""real_yield_rank250_le_q20"", ""min_year_events"": ""4"", ""overlay_name"": ""london_q40_prior_q30"", ""rank_score"": ""248.35757478765134"", ""scope_type"": ""family"", ""scope_value"": ""london_oneway_continuation"", ""source_stage31c_decision"": ""STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY"", ""source_stage31c_rank_score"": ""142.684860625"", ""stress_0.05_pf_x4"": ""22.30341809877531"", ""stress_0.05_total_x4"": ""206.72070000000002"", ""stress_0.10_pf_x4"": ""21.83110966946971"", ""stress_0.10_total_x4"": ""204.2207"", ""stress_0.20_pf_x4"": ""20.914821005154124"", ""stress_0.20_total_x4"": ""199.22070000000002"", ""year_total_min"": ""11.983800000000004"", ""years_positive_x4"": ""4"", ""years_tested"": ""4""}",,,,,
real_yield_rank250_le_q20 | real_yield_rank250::data/reports/stage31d_exogenous_candidate_confirmation/stage31d_confirmation_results.csv::1,real_yield_rank250_le_q20 | real_yield_rank250,exogenous_macro,stage31d,data/reports/stage31d_exogenous_candidate_confirmation/stage31d_confirmation_results.csv,3,112.523415,real_yield_rank250,real_yield_rank250_le_q20,50,22.785562557530273,16.679116674046316,209.22069999999997,142.654208,199.22070000000002,4,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY,MODERATE_HISTORICAL_DENSITY,REVIEW_READY_NOT_PROMOTED,"{""base_avg_x4"": ""1.2761561000000001"", ""base_events"": ""200"", ""base_median_x4"": ""1.0293600000000005"", ""base_pf_x4"": ""2.851412305366162"", ""base_pf_x6"": ""1.6534217890241731"", ""base_scope_events"": ""200"", ""base_total_x4"": ""255.23122"", ""base_total_x6"": ""115.23122000000006"", ""base_win_rate_x4"": ""0.81"", ""boot_p05_total_x4"": ""142.654208"", ""boot_p05_total_x6"": ""106.96715850000001"", ""confirmed_avg_x4"": ""4.184413999999999"", ""confirmed_events"": ""50"", ""confirmed_median_x4"": ""2.25143"", ""confirmed_pf_x4"": ""22.785562557530273"", ""confirmed_pf_x6"": ""16.679116674046316"", ""confirmed_total_x4"": ""209.22069999999997"", ""confirmed_total_x6"": ""174.22070000000002"", ""confirmed_win_rate_x4"": ""0.96"", ""decision"": ""STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY"", ""lift_pf_x4"": ""19.934150252164113"", ""lift_total_x4"": ""-46.01052000000004"", ""macro_feature"": ""real_yield_rank250"", ""macro_gate"": ""real_yield_rank250_le_q20"", ""min_year_events"": ""4"", ""overlay_name"": ""london_q40_prior_q30"", ""rank_score"": ""248.35757478765134"", ""scope_type"": ""family"", ""scope_value"": ""london_oneway_continuation"", ""source_stage31c_decision"": ""STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY"", ""source_stage31c_rank_score"": ""142.684860625"", ""stress_0.05_pf_x4"": ""22.30341809877531"", ""stress_0.05_total_x4"": ""206.72070000000002"", ""stress_0.10_pf_x4"": ""21.83110966946971"", ""stress_0.10_total_x4"": ""204.2207"", ""stress_0.20_pf_x4"": ""20.914821005154124"", ""stress_0.20_total_x4"": ""199.22070000000002"", ""year_total_min"": ""11.983800000000004"", ""years_positive_x4"": ""4"", ""years_tested"": ""4""}",,,,,
real_yield_z60_le_q20 | real_yield_z60::data/reports/stage31d_exogenous_candidate_confirmation/stage31d_candidate_review.csv::2,real_yield_z60_le_q20 | real_yield_z60,exogenous_macro,stage31d,data/reports/stage31d_exogenous_candidate_confirmation/stage31d_candidate_review.csv,4,109.624973,real_yield_z60,real_yield_z60_le_q20,56,23.372582298475862,13.837827189730126,159.7644,99.40084300000001,148.5644,4,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY,MODERATE_HISTORICAL_DENSITY,REVIEW_READY_NOT_PROMOTED,"{""base_avg_x4"": ""1.2761561000000001"", ""base_events"": ""200"", ""base_median_x4"": ""1.0293600000000005"", ""base_pf_x4"": ""2.851412305366162"", ""base_pf_x6"": ""1.6534217890241731"", ""base_scope_events"": ""200"", ""base_total_x4"": ""255.23122"", ""base_total_x6"": ""115.23122000000006"", ""base_win_rate_x4"": ""0.81"", ""boot_p05_total_x4"": ""99.40084300000001"", ""boot_p05_total_x6"": ""58.865475000000025"", ""confirmed_avg_x4"": ""2.852935714285714"", ""confirmed_events"": ""56"", ""confirmed_median_x4"": ""1.5010000000000001"", ""confirmed_pf_x4"": ""23.372582298475862"", ""confirmed_pf_x6"": ""13.837827189730126"", ""confirmed_total_x4"": ""159.7644"", ""confirmed_total_x6"": ""120.56440000000002"", ""confirmed_win_rate_x4"": ""0.9642857142857143"", ""decision"": ""STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY"", ""lift_pf_x4"": ""20.5211699931097"", ""lift_total_x4"": ""-95.46682000000001"", ""macro_feature"": ""real_yield_z60"", ""macro_gate"": ""real_yield_z60_le_q20"", ""min_year_events"": ""2"", ""overlay_name"": ""london_q40_prior_q30"", ""rank_score"": ""226.1224422423793"", ""scope_type"": ""family"", ""scope_value"": ""london_oneway_continuation"", ""source_stage31c_decision"": ""STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY"", ""source_stage31c_rank_score"": ""130.2195683"", ""stress_0.05_pf_x4"": ""22.67693217033923"", ""stress_0.05_total_x4"": ""156.9644"", ""stress_0.10_pf_x4"": ""22.000234297950716"", ""stress_0.10_total_x4"": ""154.1644"", ""stress_0.20_pf_x4"": ""20.700679478271017"", ""stress_0.20_total_x4"": ""148.5644"", ""year_total_min"": ""15.105780000000003"", ""years_positive_x4"": ""4"", ""years_tested"": ""4""}",,,,,
real_yield_z60_le_q20 | real_yield_z60::data/reports/stage31d_exogenous_candidate_confirmation/stage31d_confirmation_results.csv::2,real_yield_z60_le_q20 | real_yield_z60,exogenous_macro,stage31d,data/reports/stage31d_exogenous_candidate_confirmation/stage31d_confirmation_results.csv,4,109.624973,real_yield_z60,real_yield_z60_le_q20,56,23.372582298475862,13.837827189730126,159.7644,99.40084300000001,148.5644,4,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY,MODERATE_HISTORICAL_DENSITY,REVIEW_READY_NOT_PROMOTED,"{""base_avg_x4"": ""1.2761561000000001"", ""base_events"": ""200"", ""base_median_x4"": ""1.0293600000000005"", ""base_pf_x4"": ""2.851412305366162"", ""base_pf_x6"": ""1.6534217890241731"", ""base_scope_events"": ""200"", ""base_total_x4"": ""255.23122"", ""base_total_x6"": ""115.23122000000006"", ""base_win_rate_x4"": ""0.81"", ""boot_p05_total_x4"": ""99.40084300000001"", ""boot_p05_total_x6"": ""58.865475000000025"", ""confirmed_avg_x4"": ""2.852935714285714"", ""confirmed_events"": ""56"", ""confirmed_median_x4"": ""1.5010000000000001"", ""confirmed_pf_x4"": ""23.372582298475862"", ""confirmed_pf_x6"": ""13.837827189730126"", ""confirmed_total_x4"": ""159.7644"", ""confirmed_total_x6"": ""120.56440000000002"", ""confirmed_win_rate_x4"": ""0.9642857142857143"", ""decision"": ""STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY"", ""lift_pf_x4"": ""20.5211699931097"", ""lift_total_x4"": ""-95.46682000000001"", ""macro_feature"": ""real_yield_z60"", ""macro_gate"": ""real_yield_z60_le_q20"", ""min_year_events"": ""2"", ""overlay_name"": ""london_q40_prior_q30"", ""rank_score"": ""226.1224422423793"", ""scope_type"": ""family"", ""scope_value"": ""london_oneway_continuation"", ""source_stage31c_decision"": ""STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY"", ""source_stage31c_rank_score"": ""130.2195683"", ""stress_0.05_pf_x4"": ""22.67693217033923"", ""stress_0.05_total_x4"": ""156.9644"", ""stress_0.10_pf_x4"": ""22.000234297950716"", ""stress_0.10_total_x4"": ""154.1644"", ""stress_0.20_pf_x4"": ""20.700679478271017"", ""stress_0.20_total_x4"": ""148.5644"", ""year_total_min"": ""15.105780000000003"", ""years_positive_x4"": ""4"", ""years_tested"": ""4""}",,,,,
real_yield_z60_le_q20 | real_yield_z60::data/reports/stage31d_exogenous_candidate_confirmation/stage31d_candidate_review.csv::3,real_yield_z60_le_q20 | real_yield_z60,exogenous_macro,stage31d,data/reports/stage31d_exogenous_candidate_confirmation/stage31d_candidate_review.csv,5,109.571344,real_yield_z60,real_yield_z60_le_q20,56,23.372582298475862,13.837827189730126,159.7644,98.73048650000001,148.5644,4,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY,MODERATE_HISTORICAL_DENSITY,REVIEW_READY_NOT_PROMOTED,"{""base_avg_x4"": ""1.2761561000000001"", ""base_events"": ""200"", ""base_median_x4"": ""1.0293600000000005"", ""base_pf_x4"": ""2.851412305366162"", ""base_pf_x6"": ""1.6534217890241731"", ""base_scope_events"": ""200"", ""base_total_x4"": ""255.23122"", ""base_total_x6"": ""115.23122000000006"", ""base_win_rate_x4"": ""0.81"", ""boot_p05_total_x4"": ""98.73048650000001"", ""boot_p05_total_x6"": ""62.00055100000002"", ""confirmed_avg_x4"": ""2.852935714285714"", ""confirmed_events"": ""56"", ""confirmed_median_x4"": ""1.5010000000000001"", ""confirmed_pf_x4"": ""23.372582298475862"", ""confirmed_pf_x6"": ""13.837827189730126"", ""confirmed_total_x4"": ""159.7644"", ""confirmed_total_x6"": ""120.56440000000002"", ""confirmed_win_rate_x4"": ""0.9642857142857143"", ""decision"": ""STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY"", ""lift_pf_x4"": ""20.5211699931097"", ""lift_total_x4"": ""-95.46682000000001"", ""macro_feature"": ""real_yield_z60"", ""macro_gate"": ""real_yield_z60_le_q20"", ""min_year_events"": ""2"", ""overlay_name"": ""london_q40_prior_q30"", ""rank_score"": ""225.9548531173793"", ""scope_type"": ""candidate_name"", ""scope_value"": ""S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65"", ""source_stage31c_decision"": ""STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY"", ""source_stage31c_rank_score"": ""130.2996321"", ""stress_0.05_pf_x4"": ""22.67693217033923"", ""stress_0.05_total_x4"": ""156.9644"", ""stress_0.10_pf_x4"": ""22.000234297950716"", ""stress_0.10_total_x4"": ""154.1644"", ""stress_0.20_pf_x4"": ""20.700679478271017"", ""stress_0.20_total_x4"": ""148.5644"", ""year_total_min"": ""15.105780000000003"", ""years_positive_x4"": ""4"", ""years_tested"": ""4""}",,,,,
real_yield_z60_le_q20 | real_yield_z60::data/reports/stage31d_exogenous_candidate_confirmation/stage31d_confirmation_results.csv::3,real_yield_z60_le_q20 | real_yield_z60,exogenous_macro,stage31d,data/reports/stage31d_exogenous_candidate_confirmation/stage31d_confirmation_results.csv,5,109.571344,real_yield_z60,real_yield_z60_le_q20,56,23.372582298475862,13.837827189730126,159.7644,98.73048650000001,148.5644,4,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY,MODERATE_HISTORICAL_DENSITY,REVIEW_READY_NOT_PROMOTED,"{""base_avg_x4"": ""1.2761561000000001"", ""base_events"": ""200"", ""base_median_x4"": ""1.0293600000000005"", ""base_pf_x4"": ""2.851412305366162"", ""base_pf_x6"": ""1.6534217890241731"", ""base_scope_events"": ""200"", ""base_total_x4"": ""255.23122"", ""base_total_x6"": ""115.23122000000006"", ""base_win_rate_x4"": ""0.81"", ""boot_p05_total_x4"": ""98.73048650000001"", ""boot_p05_total_x6"": ""62.00055100000002"", ""confirmed_avg_x4"": ""2.852935714285714"", ""confirmed_events"": ""56"", ""confirmed_median_x4"": ""1.5010000000000001"", ""confirmed_pf_x4"": ""23.372582298475862"", ""confirmed_pf_x6"": ""13.837827189730126"", ""confirmed_total_x4"": ""159.7644"", ""confirmed_total_x6"": ""120.56440000000002"", ""confirmed_win_rate_x4"": ""0.9642857142857143"", ""decision"": ""STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY"", ""lift_pf_x4"": ""20.5211699931097"", ""lift_total_x4"": ""-95.46682000000001"", ""macro_feature"": ""real_yield_z60"", ""macro_gate"": ""real_yield_z60_le_q20"", ""min_year_events"": ""2"", ""overlay_name"": ""london_q40_prior_q30"", ""rank_score"": ""225.9548531173793"", ""scope_type"": ""candidate_name"", ""scope_value"": ""S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65"", ""source_stage31c_decision"": ""STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY"", ""source_stage31c_rank_score"": ""130.2996321"", ""stress_0.05_pf_x4"": ""22.67693217033923"", ""stress_0.05_total_x4"": ""156.9644"", ""stress_0.10_pf_x4"": ""22.000234297950716"", ""stress_0.10_total_x4"": ""154.1644"", ""stress_0.20_pf_x4"": ""20.700679478271017"", ""stress_0.20_total_x4"": ""148.5644"", ""year_total_min"": ""15.105780000000003"", ""years_positive_x4"": ""4"", ""years_tested"": ""4""}",,,,,
real_yield_rank250_le_q20 | real_yield_rank250::data/reports/stage31e_exogenous_forward_shadow_tracker/stage31e_tracker_summary.csv::0,real_yield_rank250_le_q20 | real_yield_rank250,exogenous_macro,stage31e,data/reports/stage31e_exogenous_forward_shadow_tracker/stage31e_tracker_summary.csv,2,104.653135,real_yield_rank250,real_yield_rank250_le_q20,50,22.785562557530277,,209.2207,143.88606199999998,,4,,MODERATE_HISTORICAL_DENSITY,REVIEW_READY_NOT_PROMOTED,"{""boot_p05_total_x4"": ""143.88606199999998"", ""confirmed_events"": ""50"", ""confirmed_pf_x4"": ""22.785562557530277"", ""confirmed_recalc_events"": ""50"", ""confirmed_recalc_median_x4"": ""2.25143"", ""confirmed_recalc_pf_x4"": ""22.785562557530273"", ""confirmed_recalc_pf_x6"": ""16.679116674046316"", ""confirmed_recalc_total_x4"": ""209.22069999999997"", ""confirmed_recalc_total_x6"": ""174.22070000000002"", ""confirmed_recalc_win_rate_x4"": ""0.96"", ""confirmed_total_x4"": ""209.2207"", ""macro_feature"": ""real_yield_rank250"", ""macro_gate"": ""real_yield_rank250_le_q20"", ""macro_q"": ""0.2"", ""macro_side"": ""le"", ""macro_thresholds_by_year"": ""{\""2022\"": null, \""2023\"": 0.5774647887323944, \""2024\"": 0.5622222222222222, \""2025\"": 0.5197368421052632, \""2026\"": 0.438}"", ""overlay_name"": ""london_q40_prior_q30"", ""overlay_thresholds_by_year"": ""{\""london_range_ge_q40\"": {\""2022\"": null, \""2023\"": 8.720000000000027, \""2024\"": 9.049999999999956, \""2025\"": 10.629999999999882, \""2026\"": 11.519999999999982}, \""prior_day_range_ge_q30\"": {\""2022\"": null, \""2023\"": 10.349999999999907, \""2024\"": 11.819999999999936, \""2025\"": 15.22999999999979, \""2026\"": 15.519999999999982}}"", ""rank_score"": ""248.66553828765137"", ""recent_events"": ""4"", ""recent_last_entry_ts"": ""2026-03-06T13:01:00+00:00"", ""scope_rows"": ""400"", ""scope_type"": ""candidate_name"", ""scope_value"": ""S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65"", ""source_decision"": ""STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY"", ""status"": ""evaluated"", ""tracker_decision"": ""STAGE31E_FORWARD_SHADOW_ACTIVE_SIGNAL_REVIEW_ONLY"", ""years_positive_x4"": ""4"", ""years_tested"": ""4""}",,,,,
real_yield_rank250_le_q20 | real_yield_rank250::data/reports/stage31f_exogenous_tracker_cadence_audit/stage31e_lookback_2160h_tracker_summary.csv::0,real_yield_rank250_le_q20 | real_yield_rank250,exogenous_macro,stage31f,data/reports/stage31f_exogenous_tracker_cadence_audit/stage31e_lookback_2160h_tracker_summary.csv,2,104.653135,real_yield_rank250,real_yield_rank250_le_q20,50,22.785562557530277,,209.2207,143.88606199999998,,4,,MODERATE_HISTORICAL_DENSITY,REVIEW_READY_NOT_PROMOTED,"{""boot_p05_total_x4"": ""143.88606199999998"", ""confirmed_events"": ""50"", ""confirmed_pf_x4"": ""22.785562557530277"", ""confirmed_recalc_events"": ""50"", ""confirmed_recalc_median_x4"": ""2.25143"", ""confirmed_recalc_pf_x4"": ""22.785562557530273"", ""confirmed_recalc_pf_x6"": ""16.679116674046316"", ""confirmed_recalc_total_x4"": ""209.22069999999997"", ""confirmed_recalc_total_x6"": ""174.22070000000002"", ""confirmed_recalc_win_rate_x4"": ""0.96"", ""confirmed_total_x4"": ""209.2207"", ""macro_feature"": ""real_yield_rank250"", ""macro_gate"": ""real_yield_rank250_le_q20"", ""macro_q"": ""0.2"", ""macro_side"": ""le"", ""macro_thresholds_by_year"": ""{\""2022\"": null, \""2023\"": 0.5774647887323944, \""2024\"": 0.5622222222222222, \""2025\"": 0.5197368421052632, \""2026\"": 0.438}"", ""overlay_name"": ""london_q40_prior_q30"", ""overlay_thresholds_by_year"": ""{\""london_range_ge_q40\"": {\""2022\"": null, \""2023\"": 8.720000000000027, \""2024\"": 9.049999999999956, \""2025\"": 10.629999999999882, \""2026\"": 11.519999999999982}, \""prior_day_range_ge_q30\"": {\""2022\"": null, \""2023\"": 10.349999999999907, \""2024\"": 11.819999999999936, \""2025\"": 15.22999999999979, \""2026\"": 15.519999999999982}}"", ""rank_score"": ""248.66553828765137"", ""recent_events"": ""0"", ""scope_rows"": ""400"", ""scope_type"": ""candidate_name"", ""scope_value"": ""S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65"", ""source_decision"": ""STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY"", ""status"": ""evaluated"", ""tracker_decision"": ""STAGE31E_NO_RECENT_FORWARD_SHADOW_SIGNAL_RESEARCH_ONLY"", ""years_positive_x4"": ""4"", ""years_tested"": ""4""}",,,,,
