candidate_identity,best_priority_score_review_only,source_row_count,source_csv_count,families,stages,density_buckets,commercial_blockers,latest_signal_ts,max_recent_signal_rows,max_event_count,commercial_readiness
real_yield_rank250_le_q20 | real_yield_rank250,112.621963,49,9,exogenous_macro,stage31c;stage31d;stage31e;stage31f,MODERATE_HISTORICAL_DENSITY;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE;REVIEW_READY_NOT_PROMOTED,,,56.0,BLOCKED_LOW_FORWARD_CADENCE
real_yield_z60_le_q20 | real_yield_z60,109.624973,46,9,exogenous_macro,stage31c;stage31d;stage31e;stage31f,MODERATE_HISTORICAL_DENSITY;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE;REVIEW_READY_NOT_PROMOTED,,,66.0,BLOCKED_LOW_FORWARD_CADENCE
us10y_rank250_le_q20 | us10y_rank250,101.496952,29,4,exogenous_macro,stage31c;stage31d,MODERATE_HISTORICAL_DENSITY;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE;REVIEW_READY_NOT_PROMOTED,,,38.0,BLOCKED_LOW_FORWARD_CADENCE
us10y_rank250_le_q30 | us10y_rank250,99.257865,38,9,exogenous_macro,stage31c;stage31d;stage31e;stage31f,MODERATE_HISTORICAL_DENSITY;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE;REVIEW_READY_NOT_PROMOTED,,,50.0,BLOCKED_LOW_FORWARD_CADENCE
dxy_ret_5_le_q30 | dxy_ret_5,68.389363,25,4,stage31c;stage31d,stage31c;stage31d,MODERATE_HISTORICAL_DENSITY;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE;REVIEW_READY_NOT_PROMOTED,,,30.0,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_5_le_q30 | dxy_chg_5,68.360573,25,4,stage31c;stage31d,stage31c;stage31d,MODERATE_HISTORICAL_DENSITY;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE;REVIEW_READY_NOT_PROMOTED,,,30.0,BLOCKED_LOW_FORWARD_CADENCE
real_yield_ret_1_le_q30 | real_yield_ret_1,50.488952,25,3,exogenous_macro,stage31c;stage31d,LOW_HISTORICAL_DENSITY;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE,,,28.0,BLOCKED_LOW_FORWARD_CADENCE
real_yield_chg_5_le_q30 | real_yield_chg_5,47.470362,27,4,exogenous_macro,stage31c;stage31d,LOW_HISTORICAL_DENSITY;MODERATE_HISTORICAL_DENSITY;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE;REVIEW_READY_NOT_PROMOTED,,,30.0,BLOCKED_LOW_FORWARD_CADENCE
us10y_ret_5_le_q30 | us10y_ret_5,44.297348,27,4,exogenous_macro,stage31c;stage31d,LOW_HISTORICAL_DENSITY;MODERATE_HISTORICAL_DENSITY;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE;REVIEW_READY_NOT_PROMOTED,,,30.0,BLOCKED_LOW_FORWARD_CADENCE
us10y_chg_5_le_q30 | us10y_chg_5,42.512201,23,3,exogenous_macro,stage31c;stage31d,LOW_HISTORICAL_DENSITY;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE,,,28.0,BLOCKED_LOW_FORWARD_CADENCE
calendar_drop_friday_h13_tp06_sl065 | calendar_time_risk_proxy_v1,40.0,2,2,calendar_time_risk_proxy_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,,,1288.0,BLOCKED_LOW_FORWARD_CADENCE
calendar_drop_friday_h9_tp06_sl065 | calendar_time_risk_proxy_v1,40.0,1,1,calendar_time_risk_proxy_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,,,1288.0,BLOCKED_LOW_FORWARD_CADENCE
calendar_drop_monday_h13_tp06_sl065 | calendar_time_risk_proxy_v1,40.0,2,2,calendar_time_risk_proxy_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,,,1288.0,BLOCKED_LOW_FORWARD_CADENCE
calendar_drop_monday_h9_tp06_sl065 | calendar_time_risk_proxy_v1,40.0,1,1,calendar_time_risk_proxy_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,,,1288.0,BLOCKED_LOW_FORWARD_CADENCE
calendar_time_risk_proxy_v1,40.0,11,7,calendar_time_risk_proxy_v1,stage28a;stage30a;stage32b;stage32c;stage32d,HAS_LATEST_SIGNAL_TS_NO_RECENT_COUNT;HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REVIEW_READY_NOT_PROMOTED,2026-06-12 13:00:00+00:00,,5570.0,BLOCKED_LOW_FORWARD_CADENCE
data/reports/stage30b_ml_lite_feature_ranker/stage30b_family_holdout.csv,40.0,18,1,stage30b,stage30b,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;LOW_HISTORICAL_DENSITY;MODERATE_HISTORICAL_DENSITY,CANDIDATE_SUPPLY_DENSITY_BLOCKER;REVIEW_READY_NOT_PROMOTED,,,3186.0,BLOCKED_LOW_FORWARD_CADENCE
session_compression_expansion_v1,40.0,3,3,session_compression_expansion_v1,stage28a;stage30a;stage32b,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REVIEW_READY_NOT_PROMOTED,,,1734.0,BLOCKED_LOW_FORWARD_CADENCE
session_handoff_imbalance_v1,40.0,11,7,session_handoff_imbalance_v1,stage28a;stage30a;stage32b;stage32c;stage32d,HAS_LATEST_SIGNAL_TS_NO_RECENT_COUNT;HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REVIEW_READY_NOT_PROMOTED,2026-06-11 15:00:00+00:00,,3186.0,BLOCKED_LOW_FORWARD_CADENCE
volatility_transition_v1,40.0,11,7,volatility_transition_v1,stage28a;stage30a;stage32b;stage32c;stage32d,HAS_LATEST_SIGNAL_TS_NO_RECENT_COUNT;HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REVIEW_READY_NOT_PROMOTED,2026-06-12 13:00:00+00:00,,4129.0,BLOCKED_LOW_FORWARD_CADENCE
spx_chg_5_ge_q70 | spx_chg_5,38.209081,25,4,stage31c;stage31d,stage31c;stage31d,MODERATE_HISTORICAL_DENSITY;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE;REVIEW_READY_NOT_PROMOTED,,,30.0,BLOCKED_LOW_FORWARD_CADENCE
