path,modified_utc,size_bytes,decisions,key_metrics_json
data/reports/stage32e_extended_dense_shadow_monitor/stage32e_extended_dense_shadow_monitor.md,2026-06-14T18:23:02+00:00,4373,COMMERCIAL_GOAL;DECISION;EXECUTION_STATUS;EXTENDED_DENSE_SHADOW_COLLECTION_WITH_WEAK_SIBLING_SUPPRESSION;FASTEST_SAFE_PATH_TO_COMMERCIALLY_USABLE_SYSTEM;KEEP_AS_SECONDARY_ONLY_UNTIL_METRICS_IMPROVE;KEEP_COLLECTING_UNTIL_40_RESOLVED_SAMPLES;KEEP_COLLECTING_UNTIL_MIN_REVIEW_SAMPLES_THEN_STAGE32D;MOVE_TO_REPAIR_QUEUE_TEST_INVERSION_HOUR_SUPPRESSION_OVERLAP;NO_EA_CHANGE;NO_ORDER_AUTHORIZATION;NO_PAPER_LIVE;PRIMARY_EXTENDED_SHADOW;PRIMARY_OBJECTIVE;PROMISING_LOW_N_ACCELERATION;RESEARCH_SHADOW_ONLY;SECONDARY_COLLECTION;STAGE32E_EXTENDED_DENSE_SHADOW_ACTIVE_RESEARCH_ONLY,"{""COMMERCIAL_GOAL"": ""FASTEST_SAFE_PATH_TO_COMMERCIALLY_USABLE_SYSTEM"", ""DECISION"": ""STAGE32E_EXTENDED_DENSE_SHADOW_ACTIVE_RESEARCH_ONLY"", ""EXECUTION_STATUS"": ""RESEARCH_SHADOW_ONLY"", ""Generated_UTC"": ""2026-06-14T18:23:02+00:00"", ""NO_EA_CHANGE"": ""True"", ""NO_ORDER_AUTHORIZATION"": ""True"", ""NO_PAPER_LIVE"": ""True"", ""PRIMARY_OBJECTIVE"": ""EXTENDED_DENSE_SHADOW_COLLECTION_WITH_WEAK_SIBLING_SUPPRESSION"", ""extended_min_signals"": ""40"", ""focus_queue_rows"": ""4"", ""leading_candidate"": ""calendar_drop_friday_h9_tp06_sl065"", ""leading_remaining_to_extended_min"": ""18"", ""pre_commercial_robustness_queue_rows"": ""0"", ""primary_extended_rows"": ""1"", ""promising_low_n_rows"": ""2"", ""secondary_collection_rows"": ""1"", ""suppressed_variant_rows"": ""5""}"
data/reports/stage32d_dense_forward_review/stage32d_dense_forward_review.md,2026-06-14T18:23:01+00:00,6569,ACCELERATE_COLLECTION_FOR_PROMISING_LOW_N_VARIANTS;ACCELERATE_FORWARD_SAMPLE_COLLECTION;COMMERCIAL_GOAL;DECISION;EXECUTION_STATUS;FASTEST_SAFE_PATH_TO_COMMERCIALLY_USABLE_SYSTEM;FOCUS_EXTENDED_SHADOW_ON_REVIEWABLE_VARIANT;KEEP_COLLECTING_FORWARD_SAMPLES;KEEP_COLLECTING_OR_REPAIR_RESEARCH_ONLY;KEEP_PRIMARY_EXTENDED_SHADOW_COLLECT_TO_40;KEEP_SECONDARY_COLLECTION;NEEDS_EXTENDED_DENSE_SHADOW_BEFORE_COMMERCIAL_REVIEW;NO_EA_CHANGE;NO_ORDER_AUTHORIZATION;NO_PAPER_LIVE;PAUSE_OR_REPAIR_BEFORE_PRIMARY_SHADOW;PAUSE_PRIMARY_SHADOW_OR_TEST_INVERSION;PRIMARY_OBJECTIVE;PROMISING_LOW_N_ACCELERATE_COLLECTION;RESEARCH_SHADOW_ONLY;RESEARCH_SHADOW_ONLY_NO_EA_NO_PAPER_LIVE;STAGE32D_HAS_REVIEW_CANDIDATE_NEEDS_EXTENDED_SHADOW_RESEARCH_ONLY;TIGHTEN_DENSE_FORWARD_REVIEW_CANDIDATES_WITHOUT_COMMERCIAL_PROMOTION,"{""COMMERCIAL_GOAL"": ""FASTEST_SAFE_PATH_TO_COMMERCIALLY_USABLE_SYSTEM"", ""DECISION"": ""STAGE32D_HAS_REVIEW_CANDIDATE_NEEDS_EXTENDED_SHADOW_RESEARCH_ONLY"", ""EXECUTION_STATUS"": ""RESEARCH_SHADOW_ONLY"", ""Generated_UTC"": ""2026-06-14T18:23:01+00:00"", ""NO_EA_CHANGE"": ""True"", ""NO_ORDER_AUTHORIZATION"": ""True"", ""NO_PAPER_LIVE"": ""True"", ""PRIMARY_OBJECTIVE"": ""TIGHTEN_DENSE_FORWARD_REVIEW_CANDIDATES_WITHOUT_COMMERCIAL_PROMOTION"", ""candidate_summary_rows"": ""9"", ""diagnostic_rows"": ""9"", ""extended_min_signals"": ""40"", ""extended_review_ready_count"": ""0"", ""ledger_rows"": ""158"", ""min_pf_x4"": ""1.25"", ""min_review_signals"": ""20"", ""min_win_rate"": ""0.55"", ""pause_or_repair_count"": ""5"", ""promising_low_n_count"": ""2"", ""reviewable_needs_extended_count"": ""1""}"
data/reports/stage32c_dense_forward_shadow_tracker/stage32c_dense_forward_shadow_tracker.md,2026-06-14T18:23:00+00:00,11797,026000000000385;028499999999985;044624999999906;09695000000047;161200000000099;172350000000188;180700000000433;19509999999982;243799999999828;286399999999594;333900000000176;335199999999896;361500000000342;378675000000294;472275000000446;537200000000302;612424999999712;672199999999611;7167999999997847;7257999999997993;733499999999912;781800000000294;840550000000258;915300000000025;999825000000238;COLLECT_FORWARD_OBSERVABLE_SAMPLES_FROM_DENSE_FAMILIES;COMMERCIAL_GOAL;DECISION;DENSE_FORWARD_REVIEW_QUEUE_RESEARCH_ONLY;EXECUTION_STATUS;FASTEST_SAFE_PATH_TO_COMMERCIALLY_USABLE_SYSTEM;FORWARD_SAMPLE_COLLECTION_ACTIVE_RESEARCH_ONLY;KEEP_COLLECTING_FORWARD_SAMPLES;NO_EA_CHANGE;NO_ORDER_AUTHORIZATION;NO_PAPER_LIVE;PRIMARY_OBJECTIVE;RESEARCH_SHADOW_ONLY;RESOLVED_M1_REPLAY_SHADOW;REVIEW_DENSE_FORWARD_CANDIDATES,"{""COMMERCIAL_GOAL"": ""FASTEST_SAFE_PATH_TO_COMMERCIALLY_USABLE_SYSTEM"", ""DECISION"": ""STAGE32C_HAS_DENSE_FORWARD_REVIEW_QUEUE_RESEARCH_ONLY"", ""EXECUTION_STATUS"": ""RESEARCH_SHADOW_ONLY"", ""Generated_UTC"": ""2026-06-14T18:22:37+00:00"", ""NO_EA_CHANGE"": ""True"", ""NO_ORDER_AUTHORIZATION"": ""True"", ""NO_PAPER_LIVE"": ""True"", ""PRIMARY_OBJECTIVE"": ""COLLECT_FORWARD_OBSERVABLE_SAMPLES_FROM_DENSE_FAMILIES"", ""candidate_summary_rows"": ""9"", ""family_summary_rows"": ""3"", ""latest_h1_utc"": ""2026-06-12 23:00:00+00:00"", ""latest_m1_utc"": ""2026-06-12 23:54:00+00:00"", ""ledger_signal_rows"": ""158"", ""lookback_days"": ""30"", ""min_signals_before_review"": ""20"", ""queue_rows"": ""17"", ""review_queue_candidate_count"": ""1"", ""selected_specs"": ""9"", ""snapshot_signal_rows"": ""170""}"
data/reports/stage32b_dense_forward_shadow_intake/stage32b_dense_forward_shadow_intake.md,2026-06-14T18:22:36+00:00,13673,ADD_TO_DENSE_FORWARD_SHADOW_INTAKE;CANDIDATE_SUPPLY_DENSITY_BLOCKER;COMMERCIAL_GOAL;COMMERCIAL_TRANSITION_BLOCKED_RESEARCH_SHADOW_ONLY;EXECUTION_STATUS;FASTEST_SAFE_PATH_TO_COMMERCIALLY_USABLE_SYSTEM;INCREASE_FORWARD_OBSERVABLE_CANDIDATE_SUPPLY;KEEP_AS_LOW_CADENCE_WATCHLIST;LOW_CADENCE_CANDIDATE_SUPPLY;LOW_PRIORITY_FOR_COMMERCIAL_PATH_NOW;NO_EA_CHANGE;NO_ORDER_AUTHORIZATION;NO_PAPER_LIVE;NO_REVIEW_READY_FORWARD_ACTIVE_CANDIDATE;PRIMARY_DENSE;PRIMARY_DENSE_FORWARD_SHADOW;PRIMARY_OBJECTIVE;REJECTED_OR_ERROR_SOURCE;REJECT_LOW_DENSITY;REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE;REPAIR_DENSE_VARIANTS_THEN_RETEST;RESEARCH_SHADOW_ONLY;REVIEW_READY_NOT_PROMOTED;ROUTE_TOP_VARIANTS_TO_DENSE_FORWARD_SHADOW_INTAKE;SECONDARY_REPAIR;SECONDARY_REPAIR_THEN_SHADOW;STAGE32B_DENSE_FORWARD_SHADOW_INTAKE_QUEUE_READY_RESEARCH_SHADOW_ONLY;STAGE32B_DENSE_REJECTED_REPAIR_QUEUE;STAGE32B_DENSE_SHADOW_INTAKE;STAGE32B_EXOGENOUS_WATCHLIST_ONLY;STAGE32B_GENERIC_AGGREGATE_ROW_REPAIR_FIRST;STAGE32B_LOW_DENSITY_REJECT_FOR_PRIMARY_INTAKE;STAGE32B_STRONG_DENSE_SHADOW_INTAKE;WATCHLIST_EXOGENOUS,"{""COMMERCIAL_GOAL"": ""FASTEST_SAFE_PATH_TO_COMMERCIALLY_USABLE_SYSTEM"", ""EXECUTION_STATUS"": ""RESEARCH_SHADOW_ONLY"", ""Generated_UTC"": ""2026-06-14T18:22:36+00:00"", ""NO_EA_CHANGE"": ""TRUE"", ""NO_ORDER_AUTHORIZATION"": ""TRUE"", ""NO_PAPER_LIVE"": ""TRUE"", ""PRIMARY_OBJECTIVE"": ""INCREASE_FORWARD_OBSERVABLE_CANDIDATE_SUPPLY"", ""candidate_registry_exists"": ""True"", ""candidate_registry_path"": ""data/reports/research_shadow_orchestrator/candidate_registry.csv"", ""candidate_supply_summary_path"": ""data/reports/research_shadow_orchestrator/candidate_supply_summary.csv"", ""classification_counts"": ""{\""STAGE32B_DENSE_REJECTED_REPAIR_QUEUE\"": 18, \""STAGE32B_DENSE_SHADOW_INTAKE\"": 3, \""STAGE32B_EXOGENOUS_WATCHLIST_ONLY\"": 360, \""STAGE32B_GENERIC_AGGREGATE_ROW_REP..."", ""commercial_goal"": ""FASTEST_SAFE_PATH_TO_COMMERCIALLY_USABLE_SYSTEM"", ""commercial_summary_path"": ""data/reports/research_shadow_orchestrator/commercial_readiness_summary.json"", ""decision"": ""STAGE32B_DENSE_FORWARD_SHADOW_INTAKE_QUEUE_READY_RESEARCH_SHADOW_ONLY"", ""dense_repair_review_rows"": ""19"", ""enriched_candidate_rows"": ""433"", ""exogenous_watchlist_rows"": ""360"", ""family_count"": ""23"", ""input_candidate_identity_rows"": ""433"", ""max_total_queue"": ""24"", ""max_variants_per_family"": ""4"", ""min_event_count"": ""500"", ""min_forward_samples_before_review"": ""20"", ""primary_shadow_queue_rows"": ""7"", ""research_shadow_only"": ""True"", ""secondary_repair_queue_rows"": ""10"", ""shadow_queue_rows"": ""17"", ""strong_event_count"": ""1000"", ""target_forward_days"": ""30"", ""tier_counts"": ""{\""PRIMARY_DENSE\"": 7, \""REJECT_LOW_DENSITY\"": 47, \""SECONDARY_REPAIR\"": 19, \""WATCHLIST_EXOGENOUS\"": 360}""}"
data/reports/stage30b_ml_lite_feature_ranker/stage30b_ml_lite_feature_ranker.md,2026-06-14T18:04:58+00:00,14775,STAGE25C;STAGE28A;STAGE28B;STAGE29A;STAGE30B_ALLOW_DIRECTION;STAGE30B_NO_ML_LITE_PROMOTION_KEEP_RESEARCH_OPEN,"{""blocked_features"": ""`direction_num, year, source_stage, source_file, family, candidate_name`"", ""direction_num_is_blocked_by_default_unless_STAGE30B_ALLOW_DIRECTION"": ""1."", ""ensemble_rows"": ""`12`"", ""family_holdout_rows"": ""`18`"", ""feature_count"": ""`11`"", ""features_used"": ""`prior_day_range, asia_range, asia_eff, london_range, london_eff, h1_range, h1_atr20, h1_atr20_pct_rank_250, entry_hour, dow, month`"", ""oos_gate_rows"": ""`49`"", ""rows_used_after_dedup"": ""`8497`"", ""selected_gate_rows"": ""`48`"", ""years"": ""`[2022, 2023, 2024, 2025, 2026]`""}"
data/reports/stage30a_candidate_pool_builder_ml_dataset/stage30a_candidate_pool_builder_ml_dataset.md,2026-06-14T18:04:31+00:00,9873,STAGE25C;STAGE27B;STAGE27C;STAGE28A;STAGE28B;STAGE29A;STAGE30A_ML_META_DATASET_READY_FOR_STAGE30B_REVIEW_ONLY,"{""Generated_UTC"": ""`2026-06-14T18:04:31.198582+00:00`"", ""artifact_count_discovered"": ""`10`"", ""artifact_count_loaded"": ""`6`"", ""feature_cols_ready"": ""`prior_day_range, asia_range, asia_eff, london_range, london_eff, h1_range, h1_atr20, h1_atr20_pct_rank_250, direction_num, entry_hour, dow, month`"", ""feature_cols_ready_count"": ""`12`"", ""min_pool_events"": ""`250`"", ""ml_dataset_rows"": ""`17951`""}"
data/reports/stage29a_high_range_regime_continuation_discovery/stage29a_high_range_regime_continuation_discovery.md,2026-06-14T18:04:06+00:00,6225,STAGE29A_NO_PROMOTION_KEEP_DISCOVERY_OPEN;STAGE29A_REJECT,"{""Generated_UTC"": ""`2026-06-14T18:04:05+00:00`"", ""London_range_is_completed_before_entries_at_13"": ""00+; quantile thresholds are prior-day rolling only."", ""candidate_review_count"": ""`0`"", ""candidates_passing_min_events"": ""`10`"", ""candidates_tested"": ""`10`"", ""candle_table"": ""`bars`"", ""csv_fallback_enabled"": ""`False`"", ""db_first"": ""`True`"", ""db_path"": ""`data/local/xauusd_local_store.sqlite`"", ""description"": ""Use Stage28C high London/prior range insight to create denser continuation variants, not merely gate the sparse Stage23B event."", ""family_count"": ""`4`"", ""h1_mode"": ""`db_schema_introspection`"", ""h1_rows"": ""`25608`"", ""h1_rows_stage29a"": ""`25608`"", ""h1_span"": ""`2022-05-01 23:00:00+00:00 → 2026-06-12 23:00:00+00:00`"", ""h1_span_stage29a"": ""`2022-05-01 23:00:00+00:00 → 2026-06-12 23:00:00+00:00`"", ""m15_rows_stage29a"": ""`102355`"", ""m15_span_stage29a"": ""`2022-05-01 23:00:00+00:00 → 2026-06-12 23:45:00+00:00`"", ""m1_mode"": ""`db_schema_introspection`"", ""m1_rows"": ""`1534217`"", ""m1_rows_stage29a"": ""`1534217`"", ""m1_span"": ""`2022-05-01 23:01:00+00:00 → 2026-06-12 23:54:00+00:00`"", ""m1_span_stage29a"": ""`2022-05-01 23:01:00+00:00 → 2026-06-12 23:54:00+00:00`"", ""name"": ""`high_range_regime_continuation_density_expansion`"", ""registry_candidate_count"": ""`132`"", ""replay_cache_size"": ""`891`"", ""runtime_seconds"": ""`241.81`"", ""scheduled_candidate_count"": ""`40`"", ""timed_out"": ""`True`"", ""watchlist_only_count"": ""`0`""}"
data/reports/stage28d_forward_safe_meta_gate_tracker/stage28d_forward_safe_meta_gate_tracker.md,2026-06-14T18:00:02+00:00,4447,43434343434343436;LATE_DETECTED_ALREADY_RESOLVED;STAGE28D_NO_ACTIVE_META_GATE_FORWARD_SIGNAL_RESEARCH_ONLY,"{""Candidate"": ""`S28D_META_FILTERED_S23B_B_eff0.60_pb0.1_h180_tp0.6_sl0.65_london_q60_prior_q25`"", ""Family"": ""`london_oneway_continuation`"", ""Gate"": ""`stage28c_london_q60_prior_q25_expanding`"", ""Gate_rule"": ""`london_range >= prior-event q60` AND `prior_day_range >= prior-event q25`"", ""Generated_UTC"": ""2026-06-14T17:59:29+00:00"", ""H1_rows_used"": ""`25608` | span: `2022-05-01 23:00:00+00:00 → 2026-06-12 23:00:00+00:00`"", ""M15_rows_derived"": ""`102355` | span: `2022-05-01 23:00:00+00:00 → 2026-06-12 23:45:00+00:00`"", ""M1_rows_used"": ""`1534217` | span: `2022-05-01 23:01:00+00:00 → 2026-06-12 23:54:00+00:00`"", ""Minimum_prior_calibration_events"": ""`25`"", ""candle_table"": ""`bars`"", ""csv_fallback_enabled"": ""`False`"", ""db_first"": ""`True`"", ""db_path"": ""`data/local/xauusd_local_store.sqlite`"", ""h1_mode"": ""`db_schema_introspection`"", ""h1_rows"": ""`25608`"", ""h1_rows_stage28d"": ""`25608`"", ""h1_span"": ""`2022-05-01 23:00:00+00:00 → 2026-06-12 23:00:00+00:00`"", ""ledger_total_rows"": ""0"", ""m15_rows_stage28d"": ""`102355`"", ""m1_mode"": ""`db_schema_introspection`"", ""m1_rows"": ""`1534217`"", ""m1_rows_stage28d"": ""`1534217`"", ""m1_span"": ""`2022-05-01 23:01:00+00:00 → 2026-06-12 23:54:00+00:00`"", ""new_forward_open_count"": ""0"", ""new_late_backfill_count"": ""0"", ""new_signal_count"": ""0"", ""newly_resolved_forward_count"": ""0"", ""open_signal_count_now"": ""0"", ""recent_events_after_gate"": ""0"", ""recent_events_before_gate"": ""0""}"
data/reports/stage28c_forward_safe_meta_gate_validation/stage28c_forward_safe_meta_gate_validation.md,2026-06-14T17:59:27+00:00,63688,019999999999982;02600000000002;029999999999927;032000000000016;05600000000004;069999999999983;072000000000207;074000000000023;103000000000065;112000000000125;115000000000009;133999999999924;134999999999932;1400000000001;148000000000115;149999999999906;150000000000093;160000000000082;161999999999903;170000000000073;193999999999823;203999999999997;229999999999976;23000000000001;237999999999968;23800000000001;239999999999782;24000000000001;249999999999908;255999999999947;26200000000008;288000000000011;337999999999939;338000000000056;345999999999869;353999999999857;376999999999907;387999999999918;390000000000077;40500000000007,"{""Stage28C_is_stricter_than_Stage28B"": ""global quantile thresholds are no longer enough for validation."", ""csv_fallback_enabled"": ""`False`"", ""db_first"": ""`True`"", ""db_path"": ""`data/local/xauusd_local_store.sqlite`"", ""gate_defs_available"": ""`16`"", ""gate_defs_total"": ""`16`"", ""h1_rows"": ""`25608`"", ""loader_mode"": ""`reused:app.stage25c_deduped_filter_validation.load_bars_from_db`"", ""m1_rows"": ""`1534217`"", ""min_calib_events"": ""`25`"", ""min_events"": ""`25`"", ""rows"": ""`100`"", ""rows_after_event_dedup"": ""`100`"", ""selected_artifact"": ""`data/reports/stage28b_ml_meta_feature_screen/stage28b_normalized_lineage_trades.csv`"", ""time_column_used"": ""`entry_ts_norm`"", ""validated_count"": ""`16`"", ""watchlist_only_count"": ""`0`""}"
data/reports/stage27c_db_first_h1_atr_gate_validation/stage27c_db_first_h1_atr_gate_validation.md,2026-06-14T17:58:59+00:00,9247,0293600000000005;578963613461408;653421789024173;72574332566553;851412305366161;STAGE27C_GATE_VALIDATED_REVIEW_ONLY;STAGE27C_H1_ATR_GATE_VALIDATED_REVIEW_ONLY,"{""Generated_UTC"": ""`2026-06-14T17:58:59.730311+00:00`"", ""H1_ATR_gate_is_anti-leakage_validated"": ""H1 bar_end must be <= entry_time."", ""csv_fallback_enabled"": ""`False`"", ""db_first"": ""`True`"", ""db_path"": ""`data/local/xauusd_local_store.sqlite`"", ""h1_rows"": ""`25608` | span: `2022-05-01 23:00:00+00:00 → 2026-06-12 23:00:00+00:00`"", ""m1_rows"": ""`1534217` | span: `2022-05-01 23:01:00+00:00 → 2026-06-12 23:54:00+00:00`"", ""requested_candidate"": ""`S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65`"", ""rows_after_event_dedup"": ""`100`"", ""selected_artifact"": ""`data/reports/stage25c_deduped_filter_validation/stage25c_enriched_canonical_trades.csv`""}"
