signal_id,signal_dt,entry_dt,exit_target_dt,variant,side,session,hour,signal_open,signal_high,signal_low,signal_close,pdh,pdl,prev_range,break_above_pdh,close_above_pdh
20260407T113000_pdh_breakout_long_h32_cool4,2026-04-07 11:30:00+00:00,2026-04-07 11:45:00+00:00,2026-04-07 19:45:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,london,11,4663.51,4690.73,4657.13,4679.46,4665.48,4614.25,51.22999999999956,25.25,13.98
20260408T070000_pdh_breakout_long_h32_cool4,2026-04-08 07:00:00+00:00,2026-04-08 07:15:00+00:00,2026-04-08 15:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,london,7,4799.13,4804.26,4796.33,4798.26,4706.29,4600.8,105.48999999999978,97.97,91.97
20260408T160000_pdh_breakout_long_h32_cool4,2026-04-08 16:00:00+00:00,2026-04-08 16:15:00+00:00,2026-04-09 00:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,new_york,16,4797.59,4804.31,4794.4,4802.98,4706.29,4600.8,105.48999999999978,98.02,96.69
20260414T070000_pdh_breakout_long_h32_cool4,2026-04-14 07:00:00+00:00,2026-04-14 07:15:00+00:00,2026-04-14 15:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,london,7,4767.72,4771.8,4766.82,4769.73,4694.19,4644.53,49.659999999999854,77.61,75.54
20260414T160000_pdh_breakout_long_h32_cool4,2026-04-14 16:00:00+00:00,2026-04-14 16:15:00+00:00,2026-04-15 00:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,new_york,16,4768.55,4775.85,4762.37,4774.55,4694.19,4644.53,49.659999999999854,81.66,80.36
20260415T070000_pdh_breakout_long_h32_cool4,2026-04-15 07:00:00+00:00,2026-04-15 07:15:00+00:00,2026-04-15 15:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,london,7,4828.79,4829.56,4822.04,4822.04,4762.26,4644.33,117.93000000000029,67.3,59.78
20260415T160000_pdh_breakout_long_h32_cool4,2026-04-15 16:00:00+00:00,2026-04-15 16:15:00+00:00,2026-04-16 00:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,new_york,16,4812.05,4816.15,4808.21,4811.79,4762.26,4644.33,117.93000000000029,53.89,49.53
20260417T161500_pdh_breakout_long_h32_cool4,2026-04-17 16:15:00+00:00,2026-04-17 16:30:00+00:00,2026-04-18 00:30:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,new_york,16,4839.71,4889.39,4834.95,4877.46,4871.36,4786.22,85.13999999999942,18.03,6.1
20260421T070000_pdh_breakout_long_h32_cool4,2026-04-21 07:00:00+00:00,2026-04-21 07:15:00+00:00,2026-04-21 15:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,london,7,4794.37,4797.5,4793.68,4797.06,4794.77,4757.95,36.82000000000062,2.73,2.29
20260501T070000_pdh_breakout_long_h32_cool4,2026-05-01 07:00:00+00:00,2026-05-01 07:15:00+00:00,2026-05-01 15:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,london,7,4627.48,4628.0,4625.66,4626.3,4609.9,4510.05,99.84999999999945,18.1,16.4
20260506T070000_pdh_breakout_long_h32_cool4,2026-05-06 07:00:00+00:00,2026-05-06 07:15:00+00:00,2026-05-06 15:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,london,7,4647.52,4647.52,4642.94,4644.5,4629.11,4500.6,128.5099999999993,18.41,15.39
20260506T160000_pdh_breakout_long_h32_cool4,2026-05-06 16:00:00+00:00,2026-05-06 16:15:00+00:00,2026-05-07 00:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,new_york,16,4683.61,4684.63,4676.67,4684.63,4629.11,4500.6,128.5099999999993,55.52,55.52
