signal_id,candidate_id,variant,family,side,horizon_bars,horizon_minutes,cooldown_bars,params_json,signal_dt,entry_dt,exit_target_dt,session,hour,signal_open,signal_high,signal_low,signal_close,pdh,pdl,asia_high,asia_low,asia_range
C1_PDL_RECLAIM_H6_20260413T093000,C1_PDL_RECLAIM_H6,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_refined,LONG,6,90,4,"{""buffer_usd"": 0.2, ""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 2.5}",2026-04-13 09:30:00+00:00,2026-04-13 09:45:00+00:00,2026-04-13 11:15:00+00:00,london,9,4730.08,4732.0,4725.17,4731.93,4794.85,4730.72,4727.79,4644.33,83.46000000000004
C1_PDL_RECLAIM_H6_20260417T110000,C1_PDL_RECLAIM_H6,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_refined,LONG,6,90,4,"{""buffer_usd"": 0.2, ""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 2.5}",2026-04-17 11:00:00+00:00,2026-04-17 11:15:00+00:00,2026-04-17 12:45:00+00:00,london,11,4783.85,4787.54,4778.63,4787.13,4871.36,4786.22,4800.86,4767.46,33.399999999999636
C1_PDL_RECLAIM_H6_20260430T083000,C1_PDL_RECLAIM_H6,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_refined,LONG,6,90,4,"{""buffer_usd"": 0.2, ""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 2.5}",2026-04-30 08:30:00+00:00,2026-04-30 08:45:00+00:00,2026-04-30 10:15:00+00:00,london,8,4551.72,4558.67,4551.63,4556.02,4701.03,4554.77,4582.26,4539.15,43.11000000000058
C1_PDL_RECLAIM_H6_20260504T134500,C1_PDL_RECLAIM_H6,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_refined,LONG,6,90,4,"{""buffer_usd"": 0.2, ""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 2.5}",2026-05-04 13:45:00+00:00,2026-05-04 14:00:00+00:00,2026-05-04 15:30:00+00:00,new_york,13,4545.26,4563.89,4543.78,4560.61,4659.96,4560.18,4629.11,4590.93,38.17999999999938
C1_PDL_RECLAIM_H6_20260520T104500,C1_PDL_RECLAIM_H6,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_refined,LONG,6,90,4,"{""buffer_usd"": 0.2, ""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 2.5}",2026-05-20 10:45:00+00:00,2026-05-20 11:00:00+00:00,2026-05-20 12:30:00+00:00,london,10,4484.76,4484.76,4475.87,4481.32,4583.98,4480.4,4508.6,4453.46,55.14000000000033
C1_PDL_RECLAIM_H6_20260602T081500,C1_PDL_RECLAIM_H6,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_refined,LONG,6,90,4,"{""buffer_usd"": 0.2, ""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 2.5}",2026-06-02 08:15:00+00:00,2026-06-02 08:30:00+00:00,2026-06-02 10:00:00+00:00,london,8,4516.97,4518.97,4515.0,4518.65,4540.03,4517.86,4499.07,4462.84,36.22999999999956
C1_PDL_RECLAIM_H6_20260603T121500,C1_PDL_RECLAIM_H6,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_refined,LONG,6,90,4,"{""buffer_usd"": 0.2, ""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 2.5}",2026-06-03 12:15:00+00:00,2026-06-03 12:30:00+00:00,2026-06-03 14:00:00+00:00,new_york,12,4444.28,4458.72,4443.91,4449.0,4545.69,4447.54,4496.43,4462.14,34.289999999999964
C1_PDL_RECLAIM_H6_20260604T070000,C1_PDL_RECLAIM_H6,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_refined,LONG,6,90,4,"{""buffer_usd"": 0.2, ""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 2.5}",2026-06-04 07:00:00+00:00,2026-06-04 07:15:00+00:00,2026-06-04 08:45:00+00:00,london,7,4460.11,4465.71,4458.17,4464.83,4541.46,4462.84,4476.89,4423.93,52.960000000000036
C1_PDL_RECLAIM_H6_20260604T114500,C1_PDL_RECLAIM_H6,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_refined,LONG,6,90,4,"{""buffer_usd"": 0.2, ""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 2.5}",2026-06-04 11:45:00+00:00,2026-06-04 12:00:00+00:00,2026-06-04 13:30:00+00:00,london,11,4467.16,4467.16,4459.92,4462.97,4541.46,4462.84,4476.89,4423.93,52.960000000000036
C2_ASIA_HIGH_NY_H48_20260409T133000,C2_ASIA_HIGH_NY_H48,asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,asia_high_breakout_refined,LONG,48,720,0,"{""asia_range_max"": 35.0, ""asia_range_min"": 4.0, ""buffer_usd"": 0.2, ""close_above"": 2.0, ""session_set"": ""new_york_only""}",2026-04-09 13:30:00+00:00,2026-04-09 13:45:00+00:00,2026-04-10 01:45:00+00:00,new_york,13,4724.48,4740.89,4723.61,4740.89,4819.31,4607.48,4732.74,4698.78,33.960000000000036
C2_ASIA_HIGH_NY_H48_20260417T144500,C2_ASIA_HIGH_NY_H48,asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,asia_high_breakout_refined,LONG,48,720,0,"{""asia_range_max"": 35.0, ""asia_range_min"": 4.0, ""buffer_usd"": 0.2, ""close_above"": 2.0, ""session_set"": ""new_york_only""}",2026-04-17 14:45:00+00:00,2026-04-17 15:00:00+00:00,2026-04-18 03:00:00+00:00,new_york,14,4792.77,4805.7,4789.59,4804.29,4871.36,4786.22,4800.86,4767.46,33.399999999999636
C2_ASIA_HIGH_NY_H48_20260505T120000,C2_ASIA_HIGH_NY_H48,asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,asia_high_breakout_refined,LONG,48,720,0,"{""asia_range_max"": 35.0, ""asia_range_min"": 4.0, ""buffer_usd"": 0.2, ""close_above"": 2.0, ""session_set"": ""new_york_only""}",2026-05-05 12:00:00+00:00,2026-05-05 12:15:00+00:00,2026-05-06 00:15:00+00:00,new_york,12,4549.9,4559.43,4547.96,4554.65,4629.11,4612.22,4546.39,4513.4,32.99000000000069
C2_ASIA_HIGH_NY_H48_20260529T121500,C2_ASIA_HIGH_NY_H48,asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,asia_high_breakout_refined,LONG,48,720,0,"{""asia_range_max"": 35.0, ""asia_range_min"": 4.0, ""buffer_usd"": 0.2, ""close_above"": 2.0, ""session_set"": ""new_york_only""}",2026-05-29 12:15:00+00:00,2026-05-29 12:30:00+00:00,2026-05-30 00:30:00+00:00,new_york,12,4517.06,4530.13,4513.24,4527.34,4527.61,4401.29,4520.7,4489.09,31.609999999999673
C2_ASIA_HIGH_NY_H48_20260616T120000,C2_ASIA_HIGH_NY_H48,asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,asia_high_breakout_refined,LONG,48,720,0,"{""asia_range_max"": 35.0, ""asia_range_min"": 4.0, ""buffer_usd"": 0.2, ""close_above"": 2.0, ""session_set"": ""new_york_only""}",2026-06-16 12:00:00+00:00,2026-06-16 12:15:00+00:00,2026-06-17 00:15:00+00:00,new_york,12,4342.7,4347.76,4340.7,4347.19,4246.42,4170.1,4332.62,4305.74,26.88000000000011
