decision,gate_name,gate_kind,description,retained_events,retained_ratio,events,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4,years_positive_x4,year_count,improvement_pf_x4,improvement_pf_x6,improvement_total_x4
STAGE27B_GATE_CANDIDATE_REVIEW_ONLY,h1_atr_drop_low30,volatility,Drop low H1 ATR regimes using rolling q30 known at entry.,59,0.59,59,8.099913572772188,4.77122765155549,3.2880333257503866,2.463380416689747,1.44014,137.75431000000003,0.864406779661017,4,5,1.919815346189329,1.6346115367262137,10.138700000000028
STAGE27B_GATE_CANDIDATE_REVIEW_ONLY,prior_range_drop_low30,regime,Keep trades when prior-day range is above prior rolling q30; drop compressed prior days.,50,0.5,50,8.622415829042676,4.753234554603982,2.9674708329128308,2.0586741492656713,1.259285,107.32712,0.82,3,4,1.9018222492378212,1.3140490438886578,-20.28849000000001
STAGE27B_GATE_CANDIDATE_REVIEW_ONLY,prior_range_drop_low40,regime,Keep trades when prior-day range is above prior rolling q40; drop compressed prior days.,46,0.46,46,8.252151846333751,4.628611444297959,2.965670794396952,2.418025908663496,1.5010000000000001,103.76341000000001,0.8043478260869565,3,4,1.7771991389317976,1.312249005372779,-23.852199999999996
STAGE27B_GATE_CANDIDATE_REVIEW_ONLY,prior_range_drop_low20,regime,Keep trades when prior-day range is above prior rolling q20; drop compressed prior days.,57,0.57,57,8.176713397396016,4.530565853874075,2.8400375723561395,2.2923384322293088,1.33,118.25708000000002,0.8245614035087719,3,4,1.6791535485079137,1.1866157833319666,-9.358529999999988
STAGE27B_GATE_CANDIDATE_REVIEW_ONLY,drop_monday,calendar,Drop Monday entries.,78,0.78,78,7.414452586798944,3.7003377490007243,2.0479282985498477,2.190503045707171,1.0113600000000005,114.70573000000002,0.8333333333333334,4,5,0.8489254436345632,0.3945065095256748,-12.909879999999987
STAGE27B_GATE_CANDIDATE_REVIEW_ONLY,keep_h1_aligned,bias,Keep trades aligned with H1 SMA20/SMA50 bias at entry.,53,0.53,53,6.80312956434447,3.69480353019771,2.2358252436135015,1.988501911391223,1.0522900000000002,90.72048,0.8301886792452831,4,5,0.8433912248315489,0.5824034545893286,-36.89513000000001
STAGE27B_WATCHLIST_ONLY,keep_short_only,direction_diag,Diagnostic direction-only gate; not a standalone market-regime filter.,45,0.45,45,8.78525390250823,4.817120988493909,2.9188024126362397,2.230181470798964,1.0471400000000002,92.94910999999999,0.8444444444444444,5,5,1.965708683127748,1.2653806236120668,-34.66650000000001
STAGE27B_REJECT,keep_london_aligned,bias,Keep trades aligned with pre-entry London direction.,99,0.99,99,5.933729925106212,3.031151345974415,1.7483445146078096,1.705920776691177,1.0312900000000005,131.7029,0.8181818181818182,4,5,0.17973904060825374,0.09492272558363668,4.087289999999996
STAGE27B_REJECT,drop_friday,calendar,Drop Friday entries.,80,0.8,80,5.111813683912922,2.5764348281299143,1.4699622552533755,1.406663112720891,0.9065750000000001,90.52182,0.8,3,5,-0.27497747723624677,-0.18345953377079738,-37.09379
STAGE27B_REJECT,drop_h1_aligned,bias,Keep trades not aligned with H1 bias at entry.,47,0.47,47,4.371815116358626,2.0462601612644353,1.0892032522067878,1.0418113896700774,0.8641399999999999,36.89513,0.7872340425531915,3,5,-0.8051521441017258,-0.5642185368173851,-90.72048000000001
STAGE27B_REJECT,keep_long_only,direction_diag,Diagnostic direction-only gate; not a standalone market-regime filter.,55,0.55,55,3.818208598026874,1.7776557201377088,0.9317281235251692,1.12248884243339,0.9914300000000004,34.6665,0.7818181818181819,3,5,-1.0737565852284523,-0.7216936654990037,-92.94911
STAGE27B_REJECT,h1_atr_drop_high70,volatility,Drop high H1 ATR regimes using rolling q70 known at entry.,72,0.72,72,2.9866429063828765,1.1971324630644267,0.5048638325883782,0.8053505918126076,0.6730000000000003,11.835770000000004,0.7638888888888888,2,5,-1.6542798423017344,-1.1485579564357948,-115.77984000000001
STAGE27B_REJECT,london_range_drop_low20,regime,Keep trades when London range is above prior rolling q20; drop low-vol London days.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,asia_range_drop_low20,regime,Keep trades when Asia range is above prior rolling q20; drop low-vol Asia days.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,london_range_drop_low30,regime,Keep trades when London range is above prior rolling q30; drop low-vol London days.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,asia_range_drop_low30,regime,Keep trades when Asia range is above prior rolling q30; drop low-vol Asia days.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
