feature,reason
signal_time,not_in_forward_safe_whitelist
entry_time,explicit_outcome_or_future_or_price_level
exit_time,explicit_outcome_or_future_or_price_level
direction,non_numeric
entry,explicit_outcome_or_future_or_price_level
exit,explicit_outcome_or_future_or_price_level
tp,explicit_outcome_or_future_or_price_level
sl,explicit_outcome_or_future_or_price_level
gross,outcome_like_substring
net_x1,outcome_like_substring
net_x4,outcome_like_substring
exit_reason,explicit_outcome_or_future_or_price_level
family,explicit_outcome_or_future_or_price_level
candidate,explicit_outcome_or_future_or_price_level
entry_time_dt,not_in_forward_safe_whitelist
net_x2,outcome_like_substring
net_x6,outcome_like_substring
net_x8,outcome_like_substring
date,explicit_outcome_or_future_or_price_level
day_open,not_in_forward_safe_whitelist
day_high,explicit_outcome_or_future_or_price_level
day_low,explicit_outcome_or_future_or_price_level
day_close,explicit_outcome_or_future_or_price_level
day_range,explicit_outcome_or_future_or_price_level
prior_day_direction,not_in_forward_safe_whitelist
asia_open,not_in_forward_safe_whitelist
asia_high,not_in_forward_safe_whitelist
asia_low,not_in_forward_safe_whitelist
asia_close,not_in_forward_safe_whitelist
asia_direction,not_in_forward_safe_whitelist
london_open,not_in_forward_safe_whitelist
london_high,not_in_forward_safe_whitelist
london_low,not_in_forward_safe_whitelist
london_close,not_in_forward_safe_whitelist
london_direction,not_in_forward_safe_whitelist
early_ny_open,explicit_outcome_or_future_or_price_level
early_ny_high,explicit_outcome_or_future_or_price_level
early_ny_low,explicit_outcome_or_future_or_price_level
early_ny_close,explicit_outcome_or_future_or_price_level
early_ny_range,explicit_outcome_or_future_or_price_level
early_ny_eff,explicit_outcome_or_future_or_price_level
early_ny_direction,not_in_forward_safe_whitelist
entry_hour,insufficient_valid_numeric_variation
london_aligned,not_in_forward_safe_whitelist
entry_ts_norm,not_in_forward_safe_whitelist
direction,insufficient_categorical_variation
entry_hour,insufficient_categorical_variation
