decision,gate_name,gate_kind,retained_events,retained_ratio,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4,years_positive_x4,year_count,improvement_pf_x4,improvement_pf_x6,improvement_total_x4,rank_score
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q40__AND__prior_day_range_keep_ge_q25,pairwise_combo,44,0.44,48.873864,30.319735,20.405867,8.601947,2.034355,152.44063,0.977273,5,5,27.468323,18.752445,24.82502,18.858479
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q40__AND__prior_day_range_keep_ge_q30,pairwise_combo,43,0.43,48.372258,30.121381,20.353015,7.163627,2.14814,151.40934,0.976744,5,5,27.269969,18.699593,23.79373,18.752864
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q60__AND__prior_day_range_keep_ge_q25,pairwise_combo,32,0.32,42.948899,28.014756,20.539433,6.821926,2.644215,140.45647,0.96875,5,5,25.163344,18.886011,12.84086,17.855308
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q60__AND__prior_day_range_keep_ge_q30,pairwise_combo,32,0.32,42.948899,28.014756,20.539433,6.821926,2.644215,140.45647,0.96875,5,5,25.163344,18.886011,12.84086,17.855308
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q40__AND__prior_day_range_keep_ge_q35,pairwise_combo,41,0.41,45.460372,28.201462,19.071599,7.563127,2.14814,141.4272,0.97561,5,5,25.35005,17.418177,13.81159,17.503476
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q40__AND__prior_day_range_keep_ge_q40,pairwise_combo,39,0.39,43.751078,27.241267,18.978681,6.129097,2.14814,136.43491,0.974359,5,5,24.389855,17.325259,8.8193,17.042512
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q60__AND__prior_day_range_keep_ge_q35,pairwise_combo,31,0.31,40.451443,26.223619,19.113973,7.572656,2.593,131.1439,0.967742,5,5,23.372207,17.460551,3.52829,16.621158
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,london_range_keep_ge_q70,numeric_quantile,30,0.3,17.866251,12.192099,9.412819,4.466266,2.771285,131.99604,0.933333,5,5,9.340687,7.759397,4.38043,7.316068
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q35__AND__prior_day_range_keep_ge_q25,pairwise_combo,48,0.48,19.704176,11.696652,7.974165,4.566486,1.736715,146.02995,0.9375,5,5,8.84524,6.320743,18.41434,6.685554
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q35__AND__prior_day_range_keep_ge_q30,pairwise_combo,47,0.47,19.505995,11.621111,7.953614,4.713368,1.849,144.99866,0.93617,5,5,8.769699,6.300192,17.38305,6.666927
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q35__AND__prior_day_range_keep_ge_q35,pairwise_combo,44,0.44,18.142368,10.802859,7.403034,4.62463,1.884785,133.82795,0.931818,5,5,7.951447,5.749612,6.21234,6.118729
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q35__AND__prior_day_range_keep_ge_q40,pairwise_combo,42,0.42,17.467036,10.437176,7.244813,4.948827,1.884785,128.83566,0.928571,5,5,7.585764,5.591391,1.22005,5.954335
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q40__AND__drop_year_2022,pairwise_combo,50,0.5,16.171182,10.163321,7.138127,4.263115,2.079145,152.96332,0.94,4,4,7.311909,5.484705,25.34771,5.700238
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,london_range_keep_ge_q60,numeric_quantile,40,0.4,14.695806,9.595357,7.098652,4.236101,2.175145,143.4823,0.925,5,5,6.743945,5.44523,15.86669,5.423759
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q60__AND__asia_range_keep_ge_q25,pairwise_combo,38,0.38,14.419996,9.497395,7.132443,3.901315,2.26129,141.84701,0.921053,5,5,6.645983,5.479021,14.2314,5.338596
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q60__AND__drop_year_2022,pairwise_combo,38,0.38,14.379143,9.46425,7.057007,4.037714,2.26129,141.29373,0.921053,4,4,6.612838,5.403585,13.67812,5.32151
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q60__AND__asia_range_keep_ge_q30,pairwise_combo,37,0.37,14.236127,9.411123,7.09306,3.870577,2.33929,140.40687,0.918919,5,5,6.559711,5.439638,12.79126,5.282848
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q60__AND__asia_range_keep_ge_q35,pairwise_combo,35,0.35,13.89785,9.26248,7.035523,4.0551,2.593,137.92558,0.914286,5,5,6.411068,5.382101,10.30997,5.225376
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q60__AND__asia_range_keep_ge_q40,pairwise_combo,34,0.34,13.763347,9.216259,7.031714,3.786774,2.644215,137.15401,0.911765,5,5,6.364847,5.378292,9.5384,5.162685
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q65__AND__asia_range_keep_ge_q25,pairwise_combo,33,0.33,13.253848,8.865804,6.757668,4.146692,2.593,131.30386,0.909091,5,5,6.014392,5.104246,3.68825,4.976254
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,london_range_keep_ge_q65,numeric_quantile,35,0.35,13.529657,8.963766,6.726701,3.723997,2.167,132.93915,0.914286,5,5,6.112354,5.073279,5.32354,4.948643
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q65__AND__drop_year_2022,pairwise_combo,33,0.33,13.212994,8.832659,6.685056,4.087372,2.593,130.75058,0.909091,4,4,5.981247,5.031634,3.13497,4.930657
STAGE28B_GATE_CANDIDATE_REVIEW_ONLY,combo__london_range_keep_ge_q65__AND__asia_range_keep_ge_q30,pairwise_combo,32,0.32,13.069979,8.779532,6.718284,3.867546,2.644215,129.86372,0.90625,5,5,5.92812,5.064862,2.24811,4.883244
