events,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4,years_positive_x4,year_count,family,name,direction_mode,entry_hour,horizon_min,tp_atr,sl_atr,london_q,prior_q,asia_q,confirm_atr_min,pullback_atr_max,breakout_atr_min,require_asia_london_align,decision,rank_score
254,0.35327034376961236,0.18353823220022253,0.11726586857070848,0.12891446964325012,-3.405800000000022,-756.4067999999988,0.33858267716535434,0,5,high_range_broad_pullback_continuation_v1,hr_broad_pb_h13_lq40_pb025_tp07_sl08,follow_london,13,180,0.7,0.8,0.4,0.25,,0.0,0.25,,False,STAGE29A_REJECT,-0.19444881433813718
254,0.3431270215829971,0.15289155854672223,0.09375236584775537,0.11024562302071507,-2.9967250000001058,-672.4004999999968,0.25984251968503935,0,5,high_range_broad_pullback_continuation_v1,hr_broad_pb_h13_lq40_pb025_tp055_sl065,follow_london,13,180,0.55,0.65,0.4,0.25,,0.0,0.25,,False,STAGE29A_REJECT,-0.25636952636491805
254,0.3431270215829971,0.15289155854672223,0.09375236584775537,0.11024562302071507,-2.9967250000001058,-672.4004999999968,0.25984251968503935,0,5,high_range_broad_pullback_continuation_v1,hr_broad_pb_h13_lq40_pb05_tp055_sl065,follow_london,13,180,0.55,0.65,0.4,0.25,,0.0,0.5,,False,STAGE29A_REJECT,-0.25636952636491805
137,0.40941636937790643,0.20005824297574115,0.1262257698945193,0.12543023001590156,-3.0503499999998893,-335.46667500000336,0.291970802919708,0,5,high_range_asia_london_alignment_v1,hr_asia_london_align_h13_lq35_aq35_tp06_sl065,follow_london,13,180,0.6,0.65,0.35,,0.35,0.0,,,True,STAGE29A_REJECT,-0.22499164777798497
147,0.41436303171577277,0.199852200950613,0.12488357719668387,0.11718164464822779,-3.039949999999999,-352.3542250000033,0.2925170068027211,0,5,high_range_asia_london_alignment_v1,hr_asia_london_align_h13_lq35_aq25_tp06_sl065,follow_london,13,180,0.6,0.65,0.35,,0.25,0.0,,,True,STAGE29A_REJECT,-0.2289863958233759
313,0.32052743829092545,0.14331222580410855,0.0863063290198344,0.1047485439523827,-3.024025000000074,-847.2738250000023,0.25878594249201275,0,5,high_range_london_continuation_v1,hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,follow_london,13,180,0.6,0.65,0.35,0.1,,0.0,,,False,STAGE29A_REJECT,-0.2544144277114364
268,0.3078382317667789,0.14267764613036027,0.08752120646352612,0.09600553641839248,-3.0393000000000483,-759.5612000000003,0.2574626865671642,0,5,high_range_london_continuation_v1,hr_london_follow_h13_lq35_pq25_c00_tp06_sl065,follow_london,13,180,0.6,0.65,0.35,0.25,,0.0,,,False,STAGE29A_REJECT,-0.2767210971266345
269,0.2568665969414519,0.11217157733397488,0.06827267197441166,0.072372014722644,-3.039949999999999,-802.8105500000014,0.22676579925650558,0,5,high_range_london_continuation_v1,hr_london_follow_h13_lq35_pq10_c01_tp06_sl065,follow_london,13,180,0.6,0.65,0.35,0.1,,0.1,,,False,STAGE29A_REJECT,-0.3392395857755776
56,0.1929286237647499,0.08135931331919559,0.04387869017345005,0.033257144555894125,-3.3039999999999963,-228.8705999999985,0.2857142857142857,0,5,high_range_london_breakout_follow_v1,hr_london_breakout_h13_lq40_b00_tp06_sl08,follow_london,13,180,0.6,0.8,0.4,0.25,,0.0,,0.0,False,STAGE29A_REJECT,-0.4893182192614394
49,0.161671075115286,0.07464421646421134,0.0446155374970167,0.023703355350938617,-3.486800000000039,-223.35839999999925,0.22448979591836735,0,5,high_range_london_breakout_follow_v1,hr_london_breakout_h13_lq40_b01_tp06_sl08,follow_london,13,180,0.6,0.8,0.4,0.25,,0.0,,0.1,False,STAGE29A_REJECT,-0.5041681219872922
