source_stage,family,events,pf_x1,pf_x4,pf_x6,total_x4,win_rate_x4,median_x4,years_positive_x4,year_count,candidate_count,source_file_count
STAGE28A,calendar_time_risk_proxy_v1,5570,0.740553,0.271523,0.154302,-7619.0428,0.251167,-1.4,0,5,6,1
STAGE28A,volatility_transition_v1,4129,0.809538,0.310584,0.173345,-5393.88765,0.330589,-0.4877,0,5,6,1
STAGE28A,session_handoff_imbalance_v1,3186,0.779168,0.313175,0.178659,-4349.539625,0.338355,-0.5969,0,5,6,1
STAGE28A,session_compression_expansion_v1,1734,0.794929,0.311213,0.186668,-2275.028825,0.235871,-0.7445,0,5,6,1
STAGE28A,liquidity_sweep_regime_v1,931,0.558612,0.207318,0.118015,-1619.6264,0.259936,-2.3685,0,5,6,1
STAGE29A,high_range_london_continuation_v1,850,0.295767,0.132978,0.080824,-2409.645575,0.248235,-3.035888,0,5,3,1
STAGE29A,high_range_broad_pullback_continuation_v1,762,0.346982,0.164185,0.102232,-2101.2078,0.286089,-3.05035,0,5,3,1
STAGE29A,high_range_asia_london_alignment_v1,284,0.411941,0.199953,0.125537,-687.8209,0.292254,-3.04515,0,5,2,1
STAGE29A,high_range_london_breakout_follow_v1,105,0.177513,0.078055,0.04424,-452.229,0.257143,-3.4124,0,5,2,1
STAGE25C,london_oneway_continuation,100,5.578964,2.851412,1.653422,127.61561,0.81,1.02936,4,5,1,1
STAGE27B,london_oneway_continuation,100,5.578964,2.851412,1.653422,127.61561,0.81,1.02936,4,5,1,1
STAGE27C,london_oneway_continuation,100,5.578964,2.851412,1.653422,127.61561,0.81,1.02936,4,5,1,1
STAGE28B,london_oneway_continuation,100,5.578964,2.851412,1.653422,127.61561,0.81,1.02936,4,5,1,1
