feature,gate,threshold,status,retained_events,retained_ratio,pf_x4,pf_x6,total_x4,win_rate_x4,lift_pf_x4,non_null_ratio,rank_score
direction_num,direction_num==0.0,,categorical_bucket,100.0,0.0056,2.851412,1.653422,127.61561,0.81,2.567165,1.0,3.23575172
prior_day_aligned,,,low_coverage,,,,,,,,0.0223,0.0
london_aligned,,,low_coverage,,,,,,,,0.0223,0.0
entry_hour,entry_hour==15,,categorical_bucket,1062.0,0.0592,0.335066,0.192731,-1363.550125,0.338983,0.050819,1.0,-2.6280985
entry_hour,entry_hour==14,,categorical_bucket,1062.0,0.0592,0.269836,0.14881,-1610.9086,0.3371,-0.014411,1.0,-3.1990257
month,month==1.0,,categorical_bucket,1436.0,0.08,0.315908,0.193609,-1892.37384,0.287604,0.031661,1.0,-3.7046844300000004
month,month==6.0,,categorical_bucket,1403.0,0.0782,0.266428,0.137076,-1861.632345,0.290093,-0.017819,1.0,-3.7068146900000003
month,month==4.0,,categorical_bucket,1418.0,0.079,0.444476,0.294068,-1986.852645,0.408322,0.160229,1.0,-3.73995929
month,month==5.0,,categorical_bucket,1761.0,0.0981,0.425984,0.26003,-2070.604365,0.372516,0.141737,1.0,-3.9344642300000006
month,month==12.0,,categorical_bucket,1474.0,0.0821,0.22884,0.109405,-1979.462305,0.284939,-0.055407,1.0,-3.98698036
month,month==11.0,,categorical_bucket,1535.0,0.0855,0.24962,0.132641,-2236.994285,0.267101,-0.034627,1.0,-4.47545532
month,month==7.0,,categorical_bucket,1442.0,0.0803,0.101799,0.021262,-2170.59016,0.255201,-0.182448,1.0,-4.51831282
month,month==8.0,,categorical_bucket,1511.0,0.0842,0.093138,0.019676,-2200.318155,0.227664,-0.191109,1.0,-4.58682631
month,month==10.0,,categorical_bucket,1593.0,0.0887,0.290487,0.177394,-2346.08187,0.31764,0.00624,1.0,-4.64157524
month,month==9.0,,categorical_bucket,1486.0,0.0828,0.124189,0.040086,-2293.069635,0.241588,-0.160058,1.0,-4.736175769999999
