year,status,train_events,test_events,vote_min,kept_events,events,pf_x1,pf_x4,pf_x6,total_x4,win_rate_x4,median_x4,years_positive_x4,year_count,top_gates
2023,tested,1284,2074,1,1762,1762,0.580482,0.033769,0.006335,-2385.39987,0.103859,-0.7727,0,1,month_eq_6.0;month_eq_7.0;month_eq_5.0;month_eq_10.0;entry_hour_eq_15.0;london_range_ge_q80;month_eq_8.0;month_eq_9.0;month_eq_12.0;h1_range_ge_q80;month_eq_11.0;dow_eq_0.0
2023,tested,1284,2074,2,631,631,0.613594,0.055639,0.013456,-857.47985,0.137876,-0.6578,0,1,month_eq_6.0;month_eq_7.0;month_eq_5.0;month_eq_10.0;entry_hour_eq_15.0;london_range_ge_q80;month_eq_8.0;month_eq_9.0;month_eq_12.0;h1_range_ge_q80;month_eq_11.0;dow_eq_0.0
2023,tested,1284,2074,3,144,144,0.692763,0.132566,0.040374,-195.05921,0.270833,-0.50045,0,1,month_eq_6.0;month_eq_7.0;month_eq_5.0;month_eq_10.0;entry_hour_eq_15.0;london_range_ge_q80;month_eq_8.0;month_eq_9.0;month_eq_12.0;h1_range_ge_q80;month_eq_11.0;dow_eq_0.0
2024,tested,3358,2118,1,2118,2118,0.717993,0.130537,0.026525,-2804.472085,0.352691,-0.6134,0,1,month_eq_1.0;month_eq_2.0;month_eq_4.0;month_eq_3.0;month_eq_6.0;month_eq_7.0;month_eq_5.0;month_eq_12.0;month_eq_10.0;month_eq_9.0;month_eq_11.0;month_eq_8.0
2024,tested,3358,2118,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,month_eq_1.0;month_eq_2.0;month_eq_4.0;month_eq_3.0;month_eq_6.0;month_eq_7.0;month_eq_5.0;month_eq_12.0;month_eq_10.0;month_eq_9.0;month_eq_11.0;month_eq_8.0
2024,tested,3358,2118,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,month_eq_1.0;month_eq_2.0;month_eq_4.0;month_eq_3.0;month_eq_6.0;month_eq_7.0;month_eq_5.0;month_eq_12.0;month_eq_10.0;month_eq_9.0;month_eq_11.0;month_eq_8.0
2025,tested,5476,2093,1,2093,2093,0.862931,0.434529,0.25319,-2708.3457,0.503583,0.0733,0,1,month_eq_4.0;month_eq_1.0;month_eq_2.0;month_eq_3.0;month_eq_6.0;month_eq_7.0;month_eq_5.0;month_eq_12.0;month_eq_11.0;month_eq_8.0;month_eq_9.0;month_eq_10.0
2025,tested,5476,2093,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,month_eq_4.0;month_eq_1.0;month_eq_2.0;month_eq_3.0;month_eq_6.0;month_eq_7.0;month_eq_5.0;month_eq_12.0;month_eq_11.0;month_eq_8.0;month_eq_9.0;month_eq_10.0
2025,tested,5476,2093,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,month_eq_4.0;month_eq_1.0;month_eq_2.0;month_eq_3.0;month_eq_6.0;month_eq_7.0;month_eq_5.0;month_eq_12.0;month_eq_11.0;month_eq_8.0;month_eq_9.0;month_eq_10.0
2026,tested,7569,928,1,928,928,0.956131,0.716284,0.58573,-1128.101285,0.515086,2.0437,0,1,month_eq_4.0;month_eq_2.0;month_eq_3.0;month_eq_1.0;month_eq_6.0;month_eq_10.0;month_eq_11.0;month_eq_5.0;month_eq_12.0;month_eq_7.0;month_eq_9.0;month_eq_8.0
2026,tested,7569,928,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,month_eq_4.0;month_eq_2.0;month_eq_3.0;month_eq_1.0;month_eq_6.0;month_eq_10.0;month_eq_11.0;month_eq_5.0;month_eq_12.0;month_eq_7.0;month_eq_9.0;month_eq_8.0
2026,tested,7569,928,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,month_eq_4.0;month_eq_2.0;month_eq_3.0;month_eq_1.0;month_eq_6.0;month_eq_10.0;month_eq_11.0;month_eq_5.0;month_eq_12.0;month_eq_7.0;month_eq_9.0;month_eq_8.0
