year,rank,gate_name,gate_kind,feature,side,threshold,value,train_score,train_events,train_pf_x4,train_pf_x6,train_total_x4
2023,1,month_eq_6.0,categorical_bucket,month,eq,,6.0,-0.098055,120,0.043729,0.002348,-141.396535
2023,2,month_eq_7.0,categorical_bucket,month,eq,,7.0,-0.148854,142,0.056916,0.008457,-187.309105
2023,3,month_eq_5.0,categorical_bucket,month,eq,,5.0,-0.176723,129,0.076065,0.015315,-204.42473
2023,4,month_eq_10.0,categorical_bucket,month,eq,,10.0,-0.223357,175,0.063187,0.006222,-246.580615
2023,5,entry_hour_eq_15.0,categorical_bucket,entry_hour,eq,,15.0,-0.224462,174,0.047892,0.005345,-238.748125
2023,6,london_range_ge_q80,numeric_quantile,london_range,ge,13.54399999999997,,-0.235687,257,0.104723,0.011986,-322.419125
2023,7,month_eq_8.0,categorical_bucket,month,eq,,8.0,-0.238508,186,0.022668,0.000387,-239.30056
2023,8,month_eq_9.0,categorical_bucket,month,eq,,9.0,-0.247135,186,0.047555,0.002999,-256.514915
2023,9,month_eq_12.0,categorical_bucket,month,eq,,12.0,-0.248374,168,0.012683,0.0,-228.65955
2023,10,h1_range_ge_q80,numeric_quantile,h1_range,ge,5.513999999999988,,-0.264595,257,0.093649,0.008636,-330.749945
2023,11,month_eq_11.0,categorical_bucket,month,eq,,11.0,-0.265,178,0.029245,0.001548,-251.365415
2023,12,dow_eq_0.0,categorical_bucket,dow,eq,,0.0,-0.304875,242,0.063064,0.012886,-327.579875
2024,1,month_eq_1.0,categorical_bucket,month,eq,,1.0,-0.281319,174,0.050573,0.003116,-205.353515
2024,2,month_eq_2.0,categorical_bucket,month,eq,,2.0,-0.28437,159,0.042668,0.002602,-199.486765
2024,3,month_eq_4.0,categorical_bucket,month,eq,,4.0,-0.285517,155,0.057321,0.011247,-208.00581
2024,4,month_eq_3.0,categorical_bucket,month,eq,,3.0,-0.286069,203,0.151549,0.039593,-271.07736
2024,5,month_eq_6.0,categorical_bucket,month,eq,,6.0,-0.616609,294,0.0192,0.000899,-383.72595
2024,6,month_eq_7.0,categorical_bucket,month,eq,,7.0,-0.679511,306,0.0261,0.00383,-421.81985
2024,7,month_eq_5.0,categorical_bucket,month,eq,,5.0,-0.722672,306,0.046529,0.008139,-454.369225
2024,8,month_eq_12.0,categorical_bucket,month,eq,,12.0,-0.728384,331,0.025338,0.00303,-451.319105
2024,9,month_eq_10.0,categorical_bucket,month,eq,,10.0,-0.753244,348,0.041439,0.003728,-475.71894
2024,10,month_eq_9.0,categorical_bucket,month,eq,,9.0,-0.803903,356,0.025353,0.001562,-494.412745
2024,11,month_eq_11.0,categorical_bucket,month,eq,,11.0,-0.81633,354,0.018606,0.00138,-496.7746
2024,12,month_eq_8.0,categorical_bucket,month,eq,,8.0,-0.824713,372,0.011937,0.000188,-501.443095
2025,1,month_eq_4.0,categorical_bucket,month,eq,,4.0,-0.633705,339,0.151668,0.03736,-445.654155
2025,2,month_eq_1.0,categorical_bucket,month,eq,,1.0,-0.741846,353,0.038714,0.00309,-439.16792
2025,3,month_eq_2.0,categorical_bucket,month,eq,,2.0,-0.772212,323,0.019787,0.001215,-440.45038
2025,4,month_eq_3.0,categorical_bucket,month,eq,,3.0,-0.797933,368,0.105626,0.023228,-506.246315
2025,5,month_eq_6.0,categorical_bucket,month,eq,,6.0,-0.937712,468,0.078155,0.01858,-575.28308
2025,6,month_eq_7.0,categorical_bucket,month,eq,,7.0,-1.107218,484,0.060437,0.010241,-651.908805
2025,7,month_eq_5.0,categorical_bucket,month,eq,,5.0,-1.146706,497,0.085922,0.015941,-687.173525
2025,8,month_eq_12.0,categorical_bucket,month,eq,,12.0,-1.17086,502,0.064658,0.007729,-687.866105
2025,9,month_eq_11.0,categorical_bucket,month,eq,,11.0,-1.202967,525,0.106562,0.026431,-731.29461
2025,10,month_eq_8.0,categorical_bucket,month,eq,,8.0,-1.232941,554,0.072675,0.014413,-731.206945
2025,11,month_eq_9.0,categorical_bucket,month,eq,,9.0,-1.238125,526,0.054945,0.003819,-719.24495
2025,12,month_eq_10.0,categorical_bucket,month,eq,,10.0,-1.296071,537,0.060356,0.004118,-752.482255
2026,1,month_eq_4.0,categorical_bucket,month,eq,,4.0,-0.855998,512,0.33771,0.182513,-679.526935
2026,2,month_eq_2.0,categorical_bucket,month,eq,,2.0,-1.084957,485,0.106758,0.018645,-647.178185
2026,3,month_eq_3.0,categorical_bucket,month,eq,,3.0,-1.16407,550,0.166915,0.043057,-727.525955
2026,4,month_eq_1.0,categorical_bucket,month,eq,,1.0,-1.221221,521,0.054771,0.003073,-690.15902
2026,5,month_eq_6.0,categorical_bucket,month,eq,,6.0,-1.281922,629,0.176461,0.063406,-802.61416
2026,6,month_eq_10.0,categorical_bucket,month,eq,,10.0,-1.349916,734,0.354808,0.219217,-963.45601
2026,7,month_eq_11.0,categorical_bucket,month,eq,,11.0,-1.356196,699,0.297492,0.159806,-924.07288
2026,8,month_eq_5.0,categorical_bucket,month,eq,,5.0,-1.363865,680,0.257429,0.124027,-899.731985
2026,9,month_eq_12.0,categorical_bucket,month,eq,,12.0,-1.442362,678,0.222315,0.102579,-917.47189
2026,10,month_eq_7.0,categorical_bucket,month,eq,,7.0,-1.542093,664,0.118076,0.024016,-900.082055
2026,11,month_eq_9.0,categorical_bucket,month,eq,,9.0,-1.596805,696,0.154935,0.051004,-953.761405
2026,12,month_eq_8.0,categorical_bucket,month,eq,,8.0,-1.687037,721,0.103839,0.022078,-970.744265
