year,status,train_events,test_events,rank,train_score,gate_name,gate_kind,feature,side,threshold,value,test_pf_x1,test_pf_x4,test_pf_x6,test_total_x4,test_win_rate_x4,test_median_x4,test_years_positive_x4,test_year_count,retained_ratio
2022,skipped_insufficient_train_or_test,0,1284,,,,,,,,,,,,,,,,,
2023,tested,1284,174,1.0,-0.098055,month_eq_6.0,categorical_bucket,month,eq,,6.0,0.514764,0.004297,0.0,-242.329415,0.028736,-0.71105,0.0,1.0,0.083896
2023,tested,1284,164,2.0,-0.148854,month_eq_7.0,categorical_bucket,month,eq,,7.0,0.455151,0.0,0.0,-234.510745,0.0,-1.10345,0.0,1.0,0.079074
2023,tested,1284,177,3.0,-0.176723,month_eq_5.0,categorical_bucket,month,eq,,5.0,0.546434,0.020932,0.002409,-249.944495,0.090395,-0.6509,0.0,1.0,0.085342
2023,tested,1284,173,4.0,-0.223357,month_eq_10.0,categorical_bucket,month,eq,,10.0,0.608291,0.016878,0.001085,-229.138325,0.069364,-0.6746,0.0,1.0,0.083414
2023,tested,1284,256,5.0,-0.224462,entry_hour_eq_15.0,categorical_bucket,entry_hour,eq,,15.0,0.618235,0.024611,0.002318,-340.706575,0.109375,-0.63965,0.0,1.0,0.123433
2023,tested,1284,277,6.0,-0.235687,london_range_ge_q80,numeric_quantile,london_range,ge,13.544,,0.823381,0.163866,0.038168,-337.05995,0.393502,-0.3263,0.0,1.0,0.133558
2023,tested,1284,186,7.0,-0.238508,month_eq_8.0,categorical_bucket,month,eq,,8.0,0.405793,0.001933,0.0,-262.142535,0.010753,-1.1459,0.0,1.0,0.089682
2023,tested,1284,170,8.0,-0.247135,month_eq_9.0,categorical_bucket,month,eq,,9.0,0.344543,0.000224,0.0,-237.89783,0.011765,-1.1897,0.0,1.0,0.081967
2023,tested,1284,163,9.0,-0.248374,month_eq_12.0,categorical_bucket,month,eq,,12.0,0.581558,0.038002,0.006125,-222.659555,0.134969,-0.7214,0.0,1.0,0.078592
2023,tested,1284,257,10.0,-0.264595,h1_range_ge_q80,numeric_quantile,h1_range,ge,5.514,,0.736211,0.119283,0.028898,-334.892685,0.319066,-0.3509,0.0,1.0,0.123915
2023,tested,1284,176,11.0,-0.265,month_eq_11.0,categorical_bucket,month,eq,,11.0,0.493182,0.007465,0.001208,-245.409185,0.011364,-0.70175,0.0,1.0,0.08486
2023,tested,1284,386,12.0,-0.304875,dow_eq_0.0,categorical_bucket,dow,eq,,0.0,0.556859,0.047161,0.015964,-545.586385,0.095855,-0.73145,0.0,1.0,0.186114
2024,tested,3358,179,1.0,-0.281319,month_eq_1.0,categorical_bucket,month,eq,,1.0,0.64145,0.028052,0.003067,-233.814405,0.117318,-0.5798,0.0,1.0,0.084514
2024,tested,3358,164,2.0,-0.28437,month_eq_2.0,categorical_bucket,month,eq,,2.0,0.352934,0.0,0.0,-240.963615,0.0,-1.915125,0.0,1.0,0.077432
2024,tested,3358,184,3.0,-0.285517,month_eq_4.0,categorical_bucket,month,eq,,4.0,0.7923,0.219997,0.058829,-237.648345,0.48913,-0.0185,0.0,1.0,0.086874
2024,tested,3358,165,4.0,-0.286069,month_eq_3.0,categorical_bucket,month,eq,,3.0,0.570977,0.046113,0.003216,-235.168955,0.206061,-1.4,0.0,1.0,0.077904
2024,tested,3358,174,5.0,-0.616609,month_eq_6.0,categorical_bucket,month,eq,,6.0,0.940038,0.177227,0.050203,-191.55713,0.37931,-0.20705,0.0,1.0,0.082153
2024,tested,3358,178,6.0,-0.679511,month_eq_7.0,categorical_bucket,month,eq,,7.0,0.743334,0.117482,0.021533,-230.088955,0.365169,-0.2723,0.0,1.0,0.084042
2024,tested,3358,191,7.0,-0.722672,month_eq_5.0,categorical_bucket,month,eq,,5.0,0.825472,0.15413,0.02986,-232.8043,0.439791,-0.1025,0.0,1.0,0.090179
2024,tested,3358,171,8.0,-0.728384,month_eq_12.0,categorical_bucket,month,eq,,12.0,0.686429,0.131506,0.016616,-236.547,0.415205,-0.293,0.0,1.0,0.080737
2024,tested,3358,189,9.0,-0.753244,month_eq_10.0,categorical_bucket,month,eq,,10.0,0.612767,0.091184,0.004804,-276.763315,0.402116,-1.4,0.0,1.0,0.089235
2024,tested,3358,170,10.0,-0.803903,month_eq_9.0,categorical_bucket,month,eq,,9.0,0.718979,0.114094,0.008666,-224.832205,0.388235,-0.3179,0.0,1.0,0.080264
2024,tested,3358,171,11.0,-0.81633,month_eq_11.0,categorical_bucket,month,eq,,11.0,0.755739,0.249114,0.075198,-234.52001,0.502924,0.1411,0.0,1.0,0.080737
2024,tested,3358,182,12.0,-0.824713,month_eq_8.0,categorical_bucket,month,eq,,8.0,0.798092,0.182366,0.043444,-229.76385,0.483516,-0.08855,0.0,1.0,0.08593
