feature,gate,status,coverage,threshold,events,pf_x4,pf_x6,total_x4,total_x6,win_rate_x4,median_x4,rank_score
vix_z60,vix_z60_le_q20,numeric_quantile,0.9908,-1.10739779,3405,0.217824,0.103577,-4456.51771,-6840.01771,0.256975,-0.8648,-44.2437761
vix_rank250,vix_rank250_le_q20,numeric_quantile,0.9765,0.092,3384,0.117288,0.047308,-4463.97875,-6832.77875,0.183215,-0.78065,-44.4751915
oil_z60,oil_z60_le_q20,numeric_quantile,0.9908,-1.31107242,3400,0.293989,0.161011,-4530.525565,-6910.525565,0.293824,-1.08545,-44.85025565
us10y_rank250,us10y_rank250_ge_q80,numeric_quantile,0.9751,0.886,3342,0.23662,0.135204,-4568.69436,-6908.09436,0.226212,-1.4,-45.31511960000001
oil_rank250,oil_rank250_le_q20,numeric_quantile,0.9751,0.056,3362,0.336595,0.194871,-4588.128385,-6941.528385,0.332838,-1.4,-45.34981785
oil_ret_5,oil_ret_5_le_q20,numeric_quantile,0.9975,-0.03855815,3417,0.302538,0.169887,-4593.889655,-6985.789655,0.303775,-1.4,-45.46647155
real_yield_ret_1,real_yield_ret_1_le_q20,numeric_quantile,0.9994,-0.02232143,3436,0.238718,0.128984,-4602.232705,-7007.432705,0.243306,-1.4,-45.65462505
oil_chg_5,oil_chg_5_le_q20,numeric_quantile,0.9975,-2.97,3427,0.287652,0.160861,-4641.682885,-7040.582885,0.288591,-1.4,-45.96831585
real_yield_rank250,real_yield_rank250_ge_q80,numeric_quantile,0.9751,0.872,3360,0.204399,0.114764,-4681.617195,-7033.617195,0.197024,-1.4,-46.497008949999994
oil_value,oil_value_ge_q80,numeric_quantile,1.0,85.79,3446,0.403023,0.270077,-4718.15969,-7130.35969,0.286999,-1.4,-46.508496900000004
spx_value,spx_value_le_q20,numeric_quantile,1.0,4130.29,3427,0.050075,0.008056,-4783.89404,-7182.79404,0.194047,-1.4,-47.780809399999995
spx_ret_1,spx_ret_1_ge_q80,numeric_quantile,0.9994,0.00770761,3435,0.297663,0.17345,-4840.924935,-7245.424935,0.293741,-1.4,-47.93813635
vix_value,vix_value_le_q20,numeric_quantile,1.0,14.35,3426,0.094237,0.03143,-4823.78351,-7221.98351,0.190601,-1.4,-48.112168100000005
us10y_value,us10y_value_le_q20,numeric_quantile,1.0,3.74,3486,0.053963,0.008765,-4827.348905,-7267.548905,0.180149,-1.4,-48.210761049999995
real_yield_chg_1,real_yield_chg_1_le_q20,numeric_quantile,0.9994,-0.04,3647,0.265894,0.14571,-4875.31499,-7428.21499,0.27173,-1.4,-48.3415459
spx_chg_1,spx_chg_1_ge_q80,numeric_quantile,0.9994,41.73,3430,0.332381,0.199746,-4900.558615,-7301.558615,0.330029,-1.4,-48.47345915
real_yield_value,real_yield_value_ge_q80,numeric_quantile,1.0,2.07,3492,0.303814,0.168642,-4914.349305,-7358.749305,0.342497,-1.4,-48.671037049999995
oil_ret_5,oil_ret_5_ge_q80,numeric_quantile,0.9975,0.03766599,3417,0.363799,0.237581,-4944.722895,-7336.622895,0.29441,-1.4,-48.84584895
spx_chg_5,spx_chg_5_ge_q80,numeric_quantile,0.9975,98.47,3428,0.324478,0.194062,-4945.421345,-7345.021345,0.325554,-1.4,-48.935673449999996
dxy_rank250,dxy_rank250_ge_q80,numeric_quantile,0.9751,0.868,3384,0.112303,0.025957,-4924.092085,-7292.892085,0.322695,-1.4,-49.10266085
real_yield_value,real_yield_value_le_q20,numeric_quantile,1.0,1.51,3523,0.048711,0.008089,-4916.6465,-7382.7465,0.173716,-1.4,-49.10966499999999
real_yield_z60,real_yield_z60_ge_q80,numeric_quantile,0.9908,1.47417259,3403,0.268854,0.155648,-4972.69144,-7354.79144,0.277402,-1.4,-49.3024124
real_yield_chg_5,real_yield_chg_5_le_q20,numeric_quantile,0.9975,-0.08,3478,0.190133,0.088121,-4975.096595,-7409.696595,0.276883,-1.4,-49.472711950000004
real_yield_ret_5,real_yield_ret_5_le_q20,numeric_quantile,0.9975,-0.04324324,3424,0.166838,0.074776,-4974.75354,-7371.55354,0.248248,-1.4,-49.5059214
dxy_chg_1,dxy_chg_1_ge_q80,numeric_quantile,0.9994,0.2987,3433,0.32764,0.204305,-5004.20641,-7407.30641,0.297408,-1.4,-49.5101191
us10y_ret_1,us10y_ret_1_le_q20,numeric_quantile,0.9994,-0.01176471,3425,0.214727,0.11278,-4990.762305,-7388.262305,0.248759,-1.4,-49.58011605000001
spx_rank250,spx_rank250_le_q20,numeric_quantile,0.9751,0.65217391,3347,0.288214,0.174396,-5006.57491,-7349.47491,0.291007,-1.4,-49.60313910000001
oil_rank250,oil_rank250_ge_q80,numeric_quantile,0.9751,0.684,3408,0.426874,0.296993,-5036.00683,-7421.60683,0.306338,-1.4,-49.6362013
dxy_ret_1,dxy_ret_1_ge_q80,numeric_quantile,0.9994,0.00242322,3444,0.326978,0.203807,-5019.28071,-7430.08071,0.296458,-1.4,-49.6620221
oil_chg_5,oil_chg_5_ge_q80,numeric_quantile,0.9975,2.83,3423,0.338409,0.220108,-5035.77834,-7431.87834,0.273736,-1.4,-49.79926639999999
spx_ret_5,spx_ret_5_ge_q80,numeric_quantile,0.9975,0.01850505,3428,0.25387,0.139883,-5023.68485,-7423.28485,0.286756,-1.4,-49.8430955
vix_chg_5,vix_chg_5_le_q20,numeric_quantile,0.9975,-1.73,3449,0.310619,0.183142,-5033.927895,-7448.227895,0.328791,-1.4,-49.84551795
us10y_value,us10y_value_ge_q80,numeric_quantile,1.0,4.41,3448,0.305255,0.173182,-5044.75488,-7458.35488,0.345708,-1.4,-49.96911180000001
vix_ret_5,vix_ret_5_le_q20,numeric_quantile,0.9975,-0.09026327,3433,0.30262,0.177625,-5052.148345,-7455.248345,0.310224,-1.4,-50.041238449999994
dxy_ret_5,dxy_ret_5_ge_q80,numeric_quantile,0.9975,0.00572971,3425,0.296674,0.179735,-5056.498815,-7453.998815,0.294599,-1.4,-50.08857915
dxy_z60,dxy_z60_ge_q80,numeric_quantile,0.9908,1.30473948,3409,0.191051,0.091944,-5040.4385,-7426.7385,0.295395,-1.4,-50.121390000000005
real_yield_z60,real_yield_z60_le_q20,numeric_quantile,0.9908,-1.14113428,3405,0.266782,0.141982,-5088.29748,-7471.79748,0.343025,-1.4,-50.4742108
us10y_ret_1,us10y_ret_1_ge_q80,numeric_quantile,0.9994,0.01215805,3440,0.202755,0.106209,-5078.971695,-7486.971695,0.23343,-1.4,-50.480752949999996
us10y_ret_5,us10y_ret_5_le_q20,numeric_quantile,0.9975,-0.02352941,3433,0.204353,0.103333,-5086.151855,-7489.251855,0.263035,-1.4,-50.55383255
real_yield_age_hours,real_yield_age_hours_le_q20,numeric_quantile,1.0,9.0,3534,0.295422,0.179971,-5103.2462,-7577.0462,0.239955,-1.9941,-50.557069
us10y_age_hours,us10y_age_hours_le_q20,numeric_quantile,1.0,9.0,3534,0.295422,0.179971,-5103.2462,-7577.0462,0.239955,-1.9941,-50.557069
spx_z60,spx_z60_ge_q80,numeric_quantile,0.9908,1.63309764,3399,0.22423,0.117576,-5093.50778,-7472.80778,0.265666,-1.4,-50.593271800000004
spx_age_hours,spx_age_hours_le_q20,numeric_quantile,1.0,9.0,3545,0.296548,0.180627,-5111.5438,-7593.0438,0.241467,-1.98175,-50.638263
oil_age_hours,oil_age_hours_le_q20,numeric_quantile,1.0,9.0,3517,0.289739,0.17585,-5118.85025,-7580.75025,0.23884,-1.9941,-50.722913500000004
dxy_value,dxy_value_ge_q80,numeric_quantile,1.0,123.8993,3427,0.15663,0.050439,-5107.44802,-7506.34802,0.374088,-1.4,-50.8674112
dxy_age_hours,dxy_age_hours_le_q20,numeric_quantile,1.0,9.0,3515,0.286957,0.173958,-5142.47695,-7602.97695,0.237838,-1.997675,-50.963854500000004
real_yield_chg_5,real_yield_chg_5_ge_q80,numeric_quantile,0.9975,0.1,3425,0.223556,0.127825,-5206.071585,-7603.571585,0.244964,-1.4,-51.70933484999999
dxy_chg_5,dxy_chg_5_le_q20,numeric_quantile,0.9975,-0.7149,3419,0.266446,0.155903,-5223.435175,-7616.735175,0.272887,-1.4,-51.81200275
us10y_chg_5,us10y_chg_5_le_q20,numeric_quantile,0.9975,-0.1,3465,0.204117,0.102913,-5217.60213,-7643.10213,0.267244,-1.4,-51.868991300000005
dxy_chg_5,dxy_chg_5_ge_q80,numeric_quantile,0.9975,0.6911,3432,0.27617,0.166235,-5252.209875,-7654.609875,0.2838,-1.4,-52.07969375
vix_age_hours,vix_age_hours_le_q20,numeric_quantile,1.0,9.0,3624,0.292071,0.177551,-5258.0762,-7794.8762,0.238687,-2.00385,-52.111140000000006
real_yield_ret_5,real_yield_ret_5_ge_q80,numeric_quantile,0.9975,0.05970149,3428,0.185628,0.104905,-5254.740855,-7654.340855,0.21091,-1.4,-52.25687555
spx_ret_5,spx_ret_5_le_q20,numeric_quantile,0.9975,-0.01223918,3441,0.313397,0.190272,-5283.316355,-7692.016355,0.323743,-1.4,-52.32949455
real_yield_ret_1,real_yield_ret_1_ge_q80,numeric_quantile,0.9994,0.02427184,3428,0.166997,0.083111,-5305.259555,-7704.859555,0.213536,-1.4,-52.80248755
spx_z60,spx_z60_le_q20,numeric_quantile,0.9908,-0.33016596,3404,0.339242,0.219116,-5341.35161,-7724.15161,0.333431,-1.4,-52.8551581
spx_rank250,spx_rank250_ge_q80,numeric_quantile,0.9751,0.996,3518,0.248475,0.131,-5345.847305,-7808.447305,0.310404,-1.4,-53.07899805
dxy_ret_5,dxy_ret_5_le_q20,numeric_quantile,0.9975,-0.0058602,3418,0.262501,0.154332,-5353.793275,-7746.393275,0.273552,-1.4,-53.121099750000006
us10y_z60,us10y_z60_le_q20,numeric_quantile,0.9908,-1.14682163,3397,0.265262,0.149804,-5353.779285,-7731.679285,0.323226,-1.4,-53.12272684999999
dxy_chg_1,dxy_chg_1_le_q20,numeric_quantile,0.9994,-0.2769,3432,0.253503,0.144633,-5374.736625,-7777.136625,0.286422,-1.4,-53.34923025
dxy_ret_1,dxy_ret_1_le_q20,numeric_quantile,0.9994,-0.00227452,3426,0.253064,0.144652,-5377.40985,-7775.60985,0.285756,-1.4,-53.3763825
us10y_ret_5,us10y_ret_5_ge_q80,numeric_quantile,0.9975,0.02736318,3433,0.164382,0.084804,-5369.60594,-7772.70594,0.22808,-1.909275,-53.4468734
oil_chg_1,oil_chg_1_le_q20,numeric_quantile,0.9994,-1.31,3443,0.284303,0.171683,-5413.86453,-7823.96453,0.287249,-1.4,-53.6826593
spx_chg_5,spx_chg_5_le_q20,numeric_quantile,0.9975,-68.27,3429,0.341447,0.218007,-5445.945495,-7846.245495,0.335958,-1.4,-53.90000095
vix_rank250,vix_rank250_ge_q80,numeric_quantile,0.9765,0.78,3381,0.396263,0.264302,-5459.539495,-7826.239495,0.424726,-1.4,-53.93482995
oil_ret_1,oil_ret_1_le_q20,numeric_quantile,0.9994,-0.01711529,3424,0.293024,0.178307,-5451.6128,-7848.4128,0.294685,-1.4,-54.044797
us10y_z60,us10y_z60_ge_q80,numeric_quantile,0.9908,1.51088163,3408,0.28701,0.183063,-5454.431655,-7840.031655,0.267312,-1.4,-54.074243550000006
us10y_chg_5,us10y_chg_5_ge_q80,numeric_quantile,0.9975,0.11,3557,0.176906,0.0925,-5480.074405,-7969.974405,0.233343,-1.4,-54.53133805
spx_ret_1,spx_ret_1_le_q20,numeric_quantile,0.9994,-0.00629435,3432,0.26942,0.161738,-5498.24406,-7900.64406,0.299242,-1.4,-54.55128259999999
spx_chg_1,spx_chg_1_le_q20,numeric_quantile,0.9994,-31.35,3426,0.310202,0.193737,-5510.764145,-7908.964145,0.323993,-1.4,-54.60370245
vix_chg_1,vix_chg_1_le_q20,numeric_quantile,0.9994,-0.84,3433,0.309367,0.192589,-5516.241745,-7919.341745,0.303525,-1.4,-54.66046145
us10y_chg_1,us10y_chg_1_le_q20,numeric_quantile,0.9994,-0.05,3778,0.227904,0.121603,-5505.619805,-8150.219805,0.265749,-1.4,-54.70669105
vix_ret_5,vix_ret_5_ge_q80,numeric_quantile,0.9975,0.09668874,3427,0.332081,0.208905,-5537.680265,-7936.580265,0.349285,-1.4,-54.835816650000005
oil_chg_1,oil_chg_1_ge_q80,numeric_quantile,0.9994,1.33,3461,0.293848,0.187838,-5547.80397,-7970.50397,0.258596,-1.4,-54.99635369999999
vix_value,vix_value_ge_q80,numeric_quantile,1.0,22.22,3437,0.32158,0.208728,-5559.072555,-7964.972555,0.303462,-1.4,-55.06041755
vix_chg_5,vix_chg_5_ge_q80,numeric_quantile,0.9975,1.55,3417,0.329874,0.208335,-5584.32611,-7976.22611,0.345625,-1.4,-55.3050521
oil_ret_1,oil_ret_1_ge_q80,numeric_quantile,0.9994,0.01790115,3433,0.298238,0.190666,-5582.555835,-7985.655835,0.270318,-1.4,-55.33665435
us10y_rank250,us10y_rank250_le_q20,numeric_quantile,0.9751,0.30555556,3342,0.364546,0.23397,-5609.22218,-7948.62218,0.389587,-1.4,-55.4937058
vix_ret_1,vix_ret_1_le_q20,numeric_quantile,0.9994,-0.04542125,3442,0.288124,0.175014,-5646.002315,-8055.402315,0.29111,-1.4,-55.99688515
vix_z60,vix_z60_ge_q80,numeric_quantile,0.9908,1.04913329,3402,0.349054,0.22906,-5667.200505,-8048.600505,0.341564,-1.4,-56.093891049999996
dxy_z60,dxy_z60_le_q20,numeric_quantile,0.9908,-1.32348189,3409,0.316856,0.201253,-5790.14088,-8176.44088,0.323555,-1.4,-57.383299799999996
dxy_value,dxy_value_le_q20,numeric_quantile,1.0,119.5997,3425,0.401491,0.287552,-5813.392005,-8210.892005,0.283212,-1.4,-57.44487705
vix_chg_1,vix_chg_1_ge_q80,numeric_quantile,0.9994,0.77,3435,0.28867,0.178552,-5831.897935,-8236.397935,0.329549,-1.4,-57.85175735
vix_ret_1,vix_ret_1_ge_q80,numeric_quantile,0.9994,0.04466859,3433,0.277583,0.169698,-5873.902625,-8277.002625,0.319546,-1.4,-58.29174525
