scope_type,scope_value,macro_feature,macro_gate,overlay_name,year,train_rows,test_rows,kept_rows,status,macro_threshold,overlay_thresholds_json
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,macro_only,2022,0,91,0,insufficient_calibration_or_test,,
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,macro_only,2023,91,136,134,ok,23.87,[]
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,macro_only,2024,227,125,95,ok,16.97,[]
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,macro_only,2025,352,118,1,ok,14.33,[]
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,macro_only,2026,470,52,2,ok,15.067,[]
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,h1_atr_rank_le_q30,2022,0,91,0,insufficient_calibration_or_test,,
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,h1_atr_rank_le_q30,2023,91,136,22,ok,23.87,"[{""feature"": ""h1_atr20_pct_rank_250"", ""side"": ""le"", ""q"": 0.3, ""threshold"": 0.08}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,h1_atr_rank_le_q30,2024,227,125,27,ok,16.97,"[{""feature"": ""h1_atr20_pct_rank_250"", ""side"": ""le"", ""q"": 0.3, ""threshold"": 0.105}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,h1_atr_rank_le_q30,2025,352,118,0,ok,14.33,"[{""feature"": ""h1_atr20_pct_rank_250"", ""side"": ""le"", ""q"": 0.3, ""threshold"": 0.104}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,h1_atr_rank_le_q30,2026,470,52,1,ok,15.067,"[{""feature"": ""h1_atr20_pct_rank_250"", ""side"": ""le"", ""q"": 0.3, ""threshold"": 0.116}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,london_q60_prior_q25,2022,0,91,0,insufficient_calibration_or_test,,
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,london_q60_prior_q25,2023,91,136,26,ok,23.87,"[{""feature"": ""london_range"", ""side"": ""ge"", ""q"": 0.6, ""threshold"": 10.450000000000044}, {""feature"": ""prior_day_range"", ""side"": ""ge"", ""q"": 0.25, ""threshold"": 13.424999999999955}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,london_q60_prior_q25,2024,227,125,57,ok,16.97,"[{""feature"": ""london_range"", ""side"": ""ge"", ""q"": 0.6, ""threshold"": 9.775999999999977}, {""feature"": ""prior_day_range"", ""side"": ""ge"", ""q"": 0.25, ""threshold"": 11.965000000000032}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,london_q60_prior_q25,2025,352,118,1,ok,14.33,"[{""feature"": ""london_range"", ""side"": ""ge"", ""q"": 0.6, ""threshold"": 11.001999999999908}, {""feature"": ""prior_day_range"", ""side"": ""ge"", ""q"": 0.25, ""threshold"": 13.475000000000021}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,london_q60_prior_q25,2026,470,52,2,ok,15.067,"[{""feature"": ""london_range"", ""side"": ""ge"", ""q"": 0.6, ""threshold"": 13.711999999999895}, {""feature"": ""prior_day_range"", ""side"": ""ge"", ""q"": 0.25, ""threshold"": 15.125000000000114}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,london_q40_prior_q30,2022,0,91,0,insufficient_calibration_or_test,,
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,london_q40_prior_q30,2023,91,136,42,ok,23.87,"[{""feature"": ""london_range"", ""side"": ""ge"", ""q"": 0.4, ""threshold"": 8.700000000000045}, {""feature"": ""prior_day_range"", ""side"": ""ge"", ""q"": 0.3, ""threshold"": 14.930000000000064}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,london_q40_prior_q30,2024,227,125,66,ok,16.97,"[{""feature"": ""london_range"", ""side"": ""ge"", ""q"": 0.4, ""threshold"": 8.013999999999987}, {""feature"": ""prior_day_range"", ""side"": ""ge"", ""q"": 0.3, ""threshold"": 13.593999999999959}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,london_q40_prior_q30,2025,352,118,1,ok,14.33,"[{""feature"": ""london_range"", ""side"": ""ge"", ""q"": 0.4, ""threshold"": 8.8900000000001}, {""feature"": ""prior_day_range"", ""side"": ""ge"", ""q"": 0.3, ""threshold"": 14.954000000000041}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,london_q40_prior_q30,2026,470,52,2,ok,15.067,"[{""feature"": ""london_range"", ""side"": ""ge"", ""q"": 0.4, ""threshold"": 10.301999999999952}, {""feature"": ""prior_day_range"", ""side"": ""ge"", ""q"": 0.3, ""threshold"": 16.642999999999937}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,h1_atr_q30_and_london_q60_prior_q25,2022,0,91,0,insufficient_calibration_or_test,,
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,h1_atr_q30_and_london_q60_prior_q25,2023,91,136,4,ok,23.87,"[{""feature"": ""h1_atr20_pct_rank_250"", ""side"": ""le"", ""q"": 0.3, ""threshold"": 0.08}, {""feature"": ""london_range"", ""side"": ""ge"", ""q"": 0.6, ""threshold"": 10.450000000000044}, {""feature"": ""prior_day_range"", ""side"": ""ge"", ""q"": 0.25, ""threshold"": 13.424999999999955}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,h1_atr_q30_and_london_q60_prior_q25,2024,227,125,17,ok,16.97,"[{""feature"": ""h1_atr20_pct_rank_250"", ""side"": ""le"", ""q"": 0.3, ""threshold"": 0.105}, {""feature"": ""london_range"", ""side"": ""ge"", ""q"": 0.6, ""threshold"": 9.775999999999977}, {""feature"": ""prior_day_range"", ""side"": ""ge"", ""q"": 0.25, ""threshold"": 11.965000000000032}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,h1_atr_q30_and_london_q60_prior_q25,2025,352,118,0,ok,14.33,"[{""feature"": ""h1_atr20_pct_rank_250"", ""side"": ""le"", ""q"": 0.3, ""threshold"": 0.104}, {""feature"": ""london_range"", ""side"": ""ge"", ""q"": 0.6, ""threshold"": 11.001999999999908}, {""feature"": ""prior_day_range"", ""side"": ""ge"", ""q"": 0.25, ""threshold"": 13.475000000000021}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_value,vix_value_le_q30,h1_atr_q30_and_london_q60_prior_q25,2026,470,52,1,ok,15.067,"[{""feature"": ""h1_atr20_pct_rank_250"", ""side"": ""le"", ""q"": 0.3, ""threshold"": 0.116}, {""feature"": ""london_range"", ""side"": ""ge"", ""q"": 0.6, ""threshold"": 13.711999999999895}, {""feature"": ""prior_day_range"", ""side"": ""ge"", ""q"": 0.25, ""threshold"": 15.125000000000114}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_rank250,vix_rank250_le_q20,macro_only,2022,0,63,0,insufficient_calibration_or_test,,
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_rank250,vix_rank250_le_q20,macro_only,2023,63,136,53,ok,0.04908424908424904,[]
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_rank250,vix_rank250_le_q20,macro_only,2024,199,125,6,ok,0.024,[]
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_rank250,vix_rank250_le_q20,macro_only,2025,324,118,1,ok,0.032280519480519444,[]
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_rank250,vix_rank250_le_q20,macro_only,2026,442,52,2,ok,0.060500000000000005,[]
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_rank250,vix_rank250_le_q20,h1_atr_rank_le_q30,2022,0,63,0,insufficient_calibration_or_test,,
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_rank250,vix_rank250_le_q20,h1_atr_rank_le_q30,2023,63,136,7,ok,0.04908424908424904,"[{""feature"": ""h1_atr20_pct_rank_250"", ""side"": ""le"", ""q"": 0.3, ""threshold"": 0.0944}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_rank250,vix_rank250_le_q20,h1_atr_rank_le_q30,2024,199,125,2,ok,0.024,"[{""feature"": ""h1_atr20_pct_rank_250"", ""side"": ""le"", ""q"": 0.3, ""threshold"": 0.116}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_rank250,vix_rank250_le_q20,h1_atr_rank_le_q30,2025,324,118,0,ok,0.032280519480519444,"[{""feature"": ""h1_atr20_pct_rank_250"", ""side"": ""le"", ""q"": 0.3, ""threshold"": 0.11159999999999996}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_rank250,vix_rank250_le_q20,h1_atr_rank_le_q30,2026,442,52,1,ok,0.060500000000000005,"[{""feature"": ""h1_atr20_pct_rank_250"", ""side"": ""le"", ""q"": 0.3, ""threshold"": 0.124}]"
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_rank250,vix_rank250_le_q20,london_q60_prior_q25,2022,0,63,0,insufficient_calibration_or_test,,
candidate_name,handoff_divergence_fade_h13_tp06_sl065,vix_rank250,vix_rank250_le_q20,london_q60_prior_q25,2023,63,136,10,ok,0.04908424908424904,"[{""feature"": ""london_range"", ""side"": ""ge"", ""q"": 0.6, ""threshold"": 10.605999999999902}, {""feature"": ""prior_day_range"", ""side"": ""ge"", ""q"": 0.25, ""threshold"": 13.424999999999955}]"
