family,candidate_identity_count,max_event_count,max_queue_score,primary_intake_candidate_count,repair_candidate_count,exogenous_watchlist_count,low_density_count,stages,recommendation
calendar_time_risk_proxy_v1,7,5570.0,311.6,1,6,0,0,stage28a;stage30a;stage32b;stage32c;stage32d,ROUTE_TOP_VARIANTS_TO_DENSE_FORWARD_SHADOW_INTAKE
volatility_transition_v1,7,4129.0,311.6,1,6,0,0,stage28a;stage30a;stage32b;stage32c;stage32d,ROUTE_TOP_VARIANTS_TO_DENSE_FORWARD_SHADOW_INTAKE
session_handoff_imbalance_v1,7,3186.0,311.6,1,6,0,0,stage28a;stage30a;stage32b;stage32c;stage32d,ROUTE_TOP_VARIANTS_TO_DENSE_FORWARD_SHADOW_INTAKE
session_compression_expansion_v1,7,1734.0,203.52,1,0,0,6,stage28a;stage30a;stage32b,ROUTE_TOP_VARIANTS_TO_DENSE_FORWARD_SHADOW_INTAKE
liquidity_sweep_regime_v1,7,931.0,137.9,1,0,0,6,stage28a;stage30a;stage32b,ROUTE_TOP_VARIANTS_TO_DENSE_FORWARD_SHADOW_INTAKE
high_range_london_continuation_v1,4,850.0,129.8,1,0,0,3,stage29a;stage30a;stage32b,ROUTE_TOP_VARIANTS_TO_DENSE_FORWARD_SHADOW_INTAKE
high_range_broad_pullback_continuation_v1,4,762.0,121.0,1,0,0,3,stage29a;stage30a;stage32b,ROUTE_TOP_VARIANTS_TO_DENSE_FORWARD_SHADOW_INTAKE
stage30b,4,3186.0,273.3,0,1,0,3,stage30b;stage32b,REPAIR_DENSE_VARIANTS_THEN_RETEST
high_range_asia_london_alignment_v1,3,284.0,-66.8,0,0,0,3,stage29a;stage30a;stage32b,LOW_PRIORITY_FOR_COMMERCIAL_PATH_NOW
high_range_london_breakout_follow_v1,3,105.0,-84.7,0,0,0,3,stage29a;stage30a;stage32b,LOW_PRIORITY_FOR_COMMERCIAL_PATH_NOW
london_oneway_continuation,1,100.0,-86.5,0,0,0,1,stage30a;stage32b,LOW_PRIORITY_FOR_COMMERCIAL_PATH_NOW
stage27b,3,99.0,-85.7,0,0,0,3,stage27b;stage32b,LOW_PRIORITY_FOR_COMMERCIAL_PATH_NOW
stage27c,3,68.0,-87.8,0,0,0,3,stage27c;stage32b,LOW_PRIORITY_FOR_COMMERCIAL_PATH_NOW
exogenous_macro,119,66.0,19.190982,0,0,119,0,stage31b;stage31c;stage31d;stage31e;stage31f;stage32b,KEEP_AS_LOW_CADENCE_WATCHLIST
stage28c,3,61.0,-82.4,0,0,0,3,stage28c;stage32b,LOW_PRIORITY_FOR_COMMERCIAL_PATH_NOW
stage31c,129,36.0,-14.905318,0,0,129,0,stage31c;stage31d;stage32b,KEEP_AS_LOW_CADENCE_WATCHLIST
stage31b,112,0.0,-48.41946,0,0,112,0,stage31b;stage32b,KEEP_AS_LOW_CADENCE_WATCHLIST
stage28b,2,0.0,-88.5,0,0,0,2,stage28b;stage32b,LOW_PRIORITY_FOR_COMMERCIAL_PATH_NOW
pdl_sweep_reclaim_refined,1,0.0,-94.4,0,0,0,1,stage18e;stage32b,LOW_PRIORITY_FOR_COMMERCIAL_PATH_NOW
asia_high_breakout_refined,1,0.0,-94.9,0,0,0,1,stage18e;stage32b,LOW_PRIORITY_FOR_COMMERCIAL_PATH_NOW
stage25c,2,0.0,-95.5,0,0,0,2,stage25c;stage32b,LOW_PRIORITY_FOR_COMMERCIAL_PATH_NOW
stage17d,2,0.0,-96.1,0,0,0,2,stage17d;stage32b,LOW_PRIORITY_FOR_COMMERCIAL_PATH_NOW
stage16c,2,0.0,-98.1,0,0,0,2,stage16c;stage32b,LOW_PRIORITY_FOR_COMMERCIAL_PATH_NOW
