shadow_queue_rank,shadow_queue_group,queue_tier,stage32b_classification,stage32b_action,primary_family,candidate_identity,numeric_max_event_count,numeric_max_recent_signal_rows,numeric_priority_score,queue_score,source_row_count,source_csv_count,families,stages,density_buckets,commercial_blockers,commercial_readiness,target_forward_days,min_forward_samples_before_review,rationale,research_shadow_only,no_ea_no_paper_live_no_order
,,SECONDARY_REPAIR,STAGE32B_GENERIC_AGGREGATE_ROW_REPAIR_FIRST,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,stage30b,data/reports/stage30b_ml_lite_feature_ranker/stage30b_family_holdout.csv,3186.0,0.0,40.0,273.3,18,1,stage30b,stage30b,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;LOW_HISTORICAL_DENSITY;MODERATE_HISTORICAL_DENSITY,CANDIDATE_SUPPLY_DENSITY_BLOCKER;REVIEW_READY_NOT_PROMOTED,BLOCKED_LOW_FORWARD_CADENCE,30,20,Row is an aggregate/file-level identity; inspect family-level source before primary intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,calendar_time_risk_proxy_v1,calendar_drop_friday_h13_tp06_sl065 | calendar_time_risk_proxy_v1,1288.0,0.0,40.0,136.24,2,2,calendar_time_risk_proxy_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,calendar_time_risk_proxy_v1,calendar_drop_monday_h13_tp06_sl065 | calendar_time_risk_proxy_v1,1288.0,0.0,40.0,136.24,2,2,calendar_time_risk_proxy_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,calendar_time_risk_proxy_v1,calendar_drop_friday_h9_tp06_sl065 | calendar_time_risk_proxy_v1,1288.0,0.0,40.0,134.64,1,1,calendar_time_risk_proxy_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,calendar_time_risk_proxy_v1,calendar_drop_monday_h9_tp06_sl065 | calendar_time_risk_proxy_v1,1288.0,0.0,40.0,134.64,1,1,calendar_time_risk_proxy_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,volatility_transition_v1,vol_trans_fade_h1_low_to_high_h12_tp06_sl065 | volatility_transition_v1,809.0,0.0,32.36,94.1,2,2,volatility_transition_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,volatility_transition_v1,vol_trans_follow_h1_low_to_high_h12_tp06_sl065 | volatility_transition_v1,809.0,0.0,32.36,94.1,2,2,volatility_transition_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,volatility_transition_v1,vol_trans_follow_h1_low_to_high_h13_tp06_sl065 | volatility_transition_v1,808.0,0.0,32.32,94.0,2,2,volatility_transition_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,calendar_time_risk_proxy_v1,calendar_keep_tue_wed_thu_h13_tp06_sl065 | calendar_time_risk_proxy_v1,645.0,0.0,25.8,77.7,2,2,calendar_time_risk_proxy_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,calendar_time_risk_proxy_v1,calendar_keep_tue_wed_thu_h9_tp06_sl065 | calendar_time_risk_proxy_v1,645.0,0.0,25.8,76.1,1,1,calendar_time_risk_proxy_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,volatility_transition_v1,vol_trans_follow_h1_high_cooling_h13_tp06_sl065 | volatility_transition_v1,571.0,0.0,22.84,68.7,1,1,volatility_transition_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,volatility_transition_v1,vol_trans_fade_h1_high_cooling_h12_tp06_sl065 | volatility_transition_v1,566.0,0.0,22.64,68.2,1,1,volatility_transition_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,volatility_transition_v1,vol_trans_follow_h1_high_cooling_h12_tp06_sl065 | volatility_transition_v1,566.0,0.0,22.64,68.2,1,1,volatility_transition_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,session_handoff_imbalance_v1,handoff_align_follow_h13_tp06_sl065 | session_handoff_imbalance_v1,540.0,0.0,21.6,67.2,2,2,session_handoff_imbalance_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,session_handoff_imbalance_v1,handoff_align_follow_h14_tp06_sl065 | session_handoff_imbalance_v1,540.0,0.0,21.6,67.2,2,2,session_handoff_imbalance_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
,,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,session_handoff_imbalance_v1,handoff_align_follow_h15_tp06_sl065 | session_handoff_imbalance_v1,540.0,0.0,21.6,65.6,1,1,session_handoff_imbalance_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
