shadow_queue_rank,shadow_queue_group,queue_tier,stage32b_classification,stage32b_action,primary_family,candidate_identity,numeric_max_event_count,numeric_max_recent_signal_rows,numeric_priority_score,queue_score,source_row_count,source_csv_count,families,stages,density_buckets,commercial_blockers,commercial_readiness,target_forward_days,min_forward_samples_before_review,rationale,research_shadow_only,no_ea_no_paper_live_no_order
1,PRIMARY_DENSE_FORWARD_SHADOW,PRIMARY_DENSE,STAGE32B_STRONG_DENSE_SHADOW_INTAKE,ADD_TO_DENSE_FORWARD_SHADOW_INTAKE,calendar_time_risk_proxy_v1,calendar_time_risk_proxy_v1,5570.0,0.0,40.0,311.6,11,7,calendar_time_risk_proxy_v1,stage28a;stage30a;stage32b;stage32c;stage32d,HAS_LATEST_SIGNAL_TS_NO_RECENT_COUNT;HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REVIEW_READY_NOT_PROMOTED,BLOCKED_LOW_FORWARD_CADENCE,30,20,Strong historical density; route to dense forward shadow intake.,TRUE,TRUE
2,PRIMARY_DENSE_FORWARD_SHADOW,PRIMARY_DENSE,STAGE32B_STRONG_DENSE_SHADOW_INTAKE,ADD_TO_DENSE_FORWARD_SHADOW_INTAKE,volatility_transition_v1,volatility_transition_v1,4129.0,0.0,40.0,311.6,11,7,volatility_transition_v1,stage28a;stage30a;stage32b;stage32c;stage32d,HAS_LATEST_SIGNAL_TS_NO_RECENT_COUNT;HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REVIEW_READY_NOT_PROMOTED,BLOCKED_LOW_FORWARD_CADENCE,30,20,Strong historical density; route to dense forward shadow intake.,TRUE,TRUE
3,PRIMARY_DENSE_FORWARD_SHADOW,PRIMARY_DENSE,STAGE32B_STRONG_DENSE_SHADOW_INTAKE,ADD_TO_DENSE_FORWARD_SHADOW_INTAKE,session_handoff_imbalance_v1,session_handoff_imbalance_v1,3186.0,0.0,40.0,311.6,11,7,session_handoff_imbalance_v1,stage28a;stage30a;stage32b;stage32c;stage32d,HAS_LATEST_SIGNAL_TS_NO_RECENT_COUNT;HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REVIEW_READY_NOT_PROMOTED,BLOCKED_LOW_FORWARD_CADENCE,30,20,Strong historical density; route to dense forward shadow intake.,TRUE,TRUE
4,PRIMARY_DENSE_FORWARD_SHADOW,PRIMARY_DENSE,STAGE32B_STRONG_DENSE_SHADOW_INTAKE,ADD_TO_DENSE_FORWARD_SHADOW_INTAKE,session_compression_expansion_v1,session_compression_expansion_v1,1734.0,0.0,40.0,203.52,3,3,session_compression_expansion_v1,stage28a;stage30a;stage32b,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REVIEW_READY_NOT_PROMOTED,BLOCKED_LOW_FORWARD_CADENCE,30,20,Strong historical density; route to dense forward shadow intake.,TRUE,TRUE
5,PRIMARY_DENSE_FORWARD_SHADOW,PRIMARY_DENSE,STAGE32B_DENSE_SHADOW_INTAKE,ADD_TO_DENSE_FORWARD_SHADOW_INTAKE,liquidity_sweep_regime_v1,liquidity_sweep_regime_v1,931.0,0.0,37.24,137.9,3,3,liquidity_sweep_regime_v1,stage28a;stage30a;stage32b,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REVIEW_READY_NOT_PROMOTED,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense enough for forward shadow intake.,TRUE,TRUE
6,PRIMARY_DENSE_FORWARD_SHADOW,PRIMARY_DENSE,STAGE32B_DENSE_SHADOW_INTAKE,ADD_TO_DENSE_FORWARD_SHADOW_INTAKE,high_range_london_continuation_v1,high_range_london_continuation_v1,850.0,0.0,34.0,129.8,3,3,high_range_london_continuation_v1,stage29a;stage30a;stage32b,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REVIEW_READY_NOT_PROMOTED,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense enough for forward shadow intake.,TRUE,TRUE
7,PRIMARY_DENSE_FORWARD_SHADOW,PRIMARY_DENSE,STAGE32B_DENSE_SHADOW_INTAKE,ADD_TO_DENSE_FORWARD_SHADOW_INTAKE,high_range_broad_pullback_continuation_v1,high_range_broad_pullback_continuation_v1,762.0,0.0,30.48,121.0,3,3,high_range_broad_pullback_continuation_v1,stage29a;stage30a;stage32b,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REVIEW_READY_NOT_PROMOTED,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense enough for forward shadow intake.,TRUE,TRUE
8,SECONDARY_REPAIR_THEN_SHADOW,SECONDARY_REPAIR,STAGE32B_GENERIC_AGGREGATE_ROW_REPAIR_FIRST,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,stage30b,data/reports/stage30b_ml_lite_feature_ranker/stage30b_family_holdout.csv,3186.0,0.0,40.0,273.3,18,1,stage30b,stage30b,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;LOW_HISTORICAL_DENSITY;MODERATE_HISTORICAL_DENSITY,CANDIDATE_SUPPLY_DENSITY_BLOCKER;REVIEW_READY_NOT_PROMOTED,BLOCKED_LOW_FORWARD_CADENCE,30,20,Row is an aggregate/file-level identity; inspect family-level source before primary intake.,TRUE,TRUE
9,SECONDARY_REPAIR_THEN_SHADOW,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,calendar_time_risk_proxy_v1,calendar_drop_friday_h13_tp06_sl065 | calendar_time_risk_proxy_v1,1288.0,0.0,40.0,136.24,2,2,calendar_time_risk_proxy_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
10,SECONDARY_REPAIR_THEN_SHADOW,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,calendar_time_risk_proxy_v1,calendar_drop_monday_h13_tp06_sl065 | calendar_time_risk_proxy_v1,1288.0,0.0,40.0,136.24,2,2,calendar_time_risk_proxy_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
11,SECONDARY_REPAIR_THEN_SHADOW,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,calendar_time_risk_proxy_v1,calendar_drop_friday_h9_tp06_sl065 | calendar_time_risk_proxy_v1,1288.0,0.0,40.0,134.64,1,1,calendar_time_risk_proxy_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
12,SECONDARY_REPAIR_THEN_SHADOW,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,volatility_transition_v1,vol_trans_fade_h1_low_to_high_h12_tp06_sl065 | volatility_transition_v1,809.0,0.0,32.36,94.1,2,2,volatility_transition_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
13,SECONDARY_REPAIR_THEN_SHADOW,SECONDARY_REPAIR,STAGE32B_DENSE_REJECTED_REPAIR_QUEUE,REPAIR_AND_RETEST_BEFORE_PRIMARY_INTAKE,volatility_transition_v1,vol_trans_follow_h1_low_to_high_h12_tp06_sl065 | volatility_transition_v1,809.0,0.0,32.36,94.1,2,2,volatility_transition_v1,stage28a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,BLOCKED_LOW_FORWARD_CADENCE,30,20,Dense but rejected/error-tagged; repair/retest before forward intake.,TRUE,TRUE
