candidate,family,entry_time,direction,net_x4,hour,weekday
handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,2026-05-15 13:00:00+00:00,-1,6.95949999999957,13,friday
handoff_align_follow_h14_tp06_sl065,session_handoff_imbalance_v1,2026-05-15 14:00:00+00:00,-1,6.192099999999845,14,friday
handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,2026-05-19 13:00:00+00:00,-1,4.65580000000009,13,tuesday
handoff_align_follow_h14_tp06_sl065,session_handoff_imbalance_v1,2026-05-19 14:00:00+00:00,-1,-8.038775000000351,14,tuesday
handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,2026-05-22 13:00:00+00:00,-1,3.779500000000189,13,friday
handoff_align_follow_h14_tp06_sl065,session_handoff_imbalance_v1,2026-05-22 14:00:00+00:00,-1,-6.233400000000438,14,friday
handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,2026-05-25 13:00:00+00:00,-1,2.07190000000046,13,monday
handoff_align_follow_h14_tp06_sl065,session_handoff_imbalance_v1,2026-05-25 14:00:00+00:00,-1,1.7098000000001776,14,monday
handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,2026-05-26 13:00:00+00:00,-1,3.478600000000006,13,tuesday
handoff_align_follow_h14_tp06_sl065,session_handoff_imbalance_v1,2026-05-26 14:00:00+00:00,-1,3.634899999999652,14,tuesday
handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,2026-05-29 13:00:00+00:00,1,3.753400000000147,13,friday
handoff_align_follow_h14_tp06_sl065,session_handoff_imbalance_v1,2026-05-29 14:00:00+00:00,1,3.668199999999706,14,friday
handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,2026-06-01 13:00:00+00:00,-1,3.288400000000001,13,monday
handoff_align_follow_h14_tp06_sl065,session_handoff_imbalance_v1,2026-06-01 14:00:00+00:00,-1,3.283600000000297,14,monday
handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,2026-06-02 13:00:00+00:00,1,2.7958000000004177,13,tuesday
handoff_align_follow_h14_tp06_sl065,session_handoff_imbalance_v1,2026-06-02 14:00:00+00:00,1,2.434899999999834,14,tuesday
handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,2026-06-03 13:00:00+00:00,-1,5.243500000000131,13,wednesday
handoff_align_follow_h14_tp06_sl065,session_handoff_imbalance_v1,2026-06-03 14:00:00+00:00,-1,5.1388000000002645,14,wednesday
handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,2026-06-08 13:00:00+00:00,-1,6.180700000000433,13,monday
handoff_align_follow_h14_tp06_sl065,session_handoff_imbalance_v1,2026-06-08 14:00:00+00:00,-1,5.243799999999828,14,monday
handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,2026-06-10 13:00:00+00:00,-1,-9.335199999999896,13,wednesday
handoff_align_follow_h14_tp06_sl065,session_handoff_imbalance_v1,2026-06-10 14:00:00+00:00,-1,5.672199999999611,14,wednesday
handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,2026-06-11 13:00:00+00:00,1,-8.19509999999982,13,thursday
handoff_align_follow_h14_tp06_sl065,session_handoff_imbalance_v1,2026-06-11 14:00:00+00:00,1,3.7257999999997993,14,thursday
handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,2026-06-15 13:00:00+00:00,1,3.596799999999894,13,monday
