priority,set_name,candidate_list,reason,next_action,commercial_status
1,HANDOFF_SINGLE_MEMBER::handoff_align_follow_h14_tp06_sl065,handoff_align_follow_h14_tp06_sl065,Single-member handoff is not enough for fast path; keep only through repaired h13+h14 family.,DO_NOT_WAIT_SINGLE_VARIANT_N40,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
2,HANDOFF_SINGLE_MEMBER::handoff_align_follow_h13_tp06_sl065,handoff_align_follow_h13_tp06_sl065,Single-member handoff is not enough for fast path; keep only through repaired h13+h14 family.,DO_NOT_WAIT_SINGLE_VARIANT_N40,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
3,VOL_TRANS_FOLLOW_SINGLE_INVERTED::vol_trans_follow_h1_low_to_high_h12_tp06_sl065,vol_trans_follow_h1_low_to_high_h12_tp06_sl065,Near-miss but not robust enough for current fast path.,BACKGROUND_DIAGNOSTIC_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
4,VOL_TRANS_FOLLOW_FULL_INVERTED,vol_trans_follow_h1_low_to_high_h12_tp06_sl065;vol_trans_follow_h1_low_to_high_h13_tp06_sl065,Near-miss but not robust enough for current fast path.,BACKGROUND_DIAGNOSTIC_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
5,CALENDAR_SINGLE_RAW::calendar_drop_friday_h9_tp06_sl065,calendar_drop_friday_h9_tp06_sl065,Latest-window failure: last5_pf=0.852; no fast-path promotion.,REPAIR_ONLY_WITH_STRICT_RECENCY_FILTER,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
6,CALENDAR_MONDAY_ONLY_INVERTED,calendar_drop_monday_h13_tp06_sl065,Near-miss but not robust enough for current fast path.,BACKGROUND_DIAGNOSTIC_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
7,CALENDAR_SINGLE_INVERTED::calendar_drop_monday_h13_tp06_sl065,calendar_drop_monday_h13_tp06_sl065,Near-miss but not robust enough for current fast path.,BACKGROUND_DIAGNOSTIC_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
8,VOL_TRANS_FOLLOW_SINGLE_INVERTED::vol_trans_follow_h1_low_to_high_h13_tp06_sl065,vol_trans_follow_h1_low_to_high_h13_tp06_sl065,Near-miss but not robust enough for current fast path.,BACKGROUND_DIAGNOSTIC_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
9,CALENDAR_SINGLE_INVERTED::calendar_drop_friday_h13_tp06_sl065,calendar_drop_friday_h13_tp06_sl065,Near-miss but not robust enough for current fast path.,BACKGROUND_DIAGNOSTIC_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
10,CALENDAR_SINGLE_RAW::calendar_drop_friday_h13_tp06_sl065,calendar_drop_friday_h13_tp06_sl065,"Weak core metrics: pf=0.934, avg=-0.147, wr=0.542.",KILL_OR_REPAIR_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
