variant_id,setup,direction,horizon_hours,signal_count,pf_x4,avg_net_x4,win_rate_x4,tail_pf_x4,recent_pf_x4,cost1_pf_x4,max_drawdown_x4,fatal_failed_gates,stage36e_decision,next_action
stage36e_roll24_high_sweep_continuation_long_h12,roll24_high_sweep_continuation,long,12,1443,1.4460179210470798,3.105904365904367,0.5287595287595288,0.8232784041630474,0.8232784041630474,1.2826946047622771,-796.0099999999961,tail_pf;recent_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_prevday_high_sweep_continuation_long_h12,prevday_high_sweep_continuation,long,12,5594,1.3611995913978387,2.5448248122988915,0.5271719699678227,0.38986188585486986,0.38986188585486986,1.2050282971909692,-3529.080000000009,tail_pf;recent_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_prevday_high_sweep_continuation_long_h8,prevday_high_sweep_continuation,long,8,5594,1.285340816490281,1.6719324276010015,0.5253843403646764,0.22957345177239483,0.22957345177239483,1.105734690398619,-2387.7800000000025,tail_pf;recent_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_prevday_high_sweep_continuation_long_h4,prevday_high_sweep_continuation,long,4,5594,1.2144713994420109,0.8741312120128715,0.5257418662853057,0.24931435665001628,0.24931435665001628,0.9725352159373839,-1608.2999999999975,pf;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll48_low_sweep_reclaim_long_h12,roll48_low_sweep_reclaim,long,12,734,1.1046831603098688,0.7794959128065403,0.5435967302452316,0.13453117922391372,0.13453117922391372,0.9721477468671595,-755.090000000001,pf;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll12_low_sweep_reclaim_long_h12,roll12_low_sweep_reclaim,long,12,1760,1.0925939569193364,0.6855340909090883,0.5431818181818182,0.06795020674835216,0.06795020674835216,0.9600855608185679,-2027.3800000000083,pf;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll12_low_sweep_reclaim_long_h8,roll12_low_sweep_reclaim,long,8,1760,1.0917784264201742,0.557039772727271,0.5426136363636364,0.18377381684080946,0.18377381684080946,0.9323702550916839,-1217.780000000006,pf;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll48_low_sweep_reclaim_long_h8,roll48_low_sweep_reclaim,long,8,734,1.0506974260478608,0.3207765667574883,0.5544959128065395,0.15874824216316083,0.15874824216316083,0.9001005907200044,-659.9900000000016,pf;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll12_low_break_continuation_short_h12,roll12_low_break_continuation,short,12,1532,1.0306801480268675,0.25098563968669,0.48172323759791125,8.151191746709413,8.151191746709413,0.9140891309637458,-1707.619999999989,pf;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_prevday_low_sweep_reclaim_long_h8,prevday_low_sweep_reclaim,long,8,1340,1.023215016036335,0.14487313432835897,0.5343283582089552,1.1795174115711518,1.1795174115711518,0.8729960808306512,-1550.2099999999973,pf;avg_net;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_prevday_high_sweep_reversal_short_h4,prevday_high_sweep_reversal,short,4,1431,0.9943142783423423,-0.025562543675755937,0.48497554157931516,2.288224516988639,2.288224516988639,0.796513393333767,-1062.6799999999976,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
