variant_id,guard_filter,signal_count,pf_x4,avg_net_x4,win_rate_x4,tail_pf_x4,recent_pf_x4,cost1_pf_x4,max_drawdown_x4,fatal_failed_gates,stage36f_decision,next_action
stage36e_prevday_high_sweep_continuation_long_h4,london_ny_only_06_16,2683,0.918873598690012,-0.422493477450612,0.5020499440924339,0.918464858199749,0.918464858199749,0.7518243096494964,-2336.3699999999985,pf;avg_net;win_rate;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,DO_NOT_WAIT_FOR_N40_MOVE_TO_BRANCH_DECISION
stage36e_prevday_high_sweep_continuation_long_h4,ny_overlap_only_12_16,1418,0.8687523328771265,-0.8331875881523253,0.5098730606488011,0.6188929100180908,0.6188929100180908,0.7329526776028144,-2319.8799999999983,pf;avg_net;win_rate;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,DO_NOT_WAIT_FOR_N40_MOVE_TO_BRANCH_DECISION
stage36e_prevday_high_sweep_continuation_long_h8,london_ny_only_06_16,2683,0.9872644889144546,-0.09407379798732494,0.506895266492732,1.515898563240956,1.515898563240956,0.8614434258790302,-3784.6900000000014,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,DO_NOT_WAIT_FOR_N40_MOVE_TO_BRANCH_DECISION
stage36e_prevday_high_sweep_continuation_long_h8,ny_overlap_only_12_16,1418,1.0741298480985764,0.5460719322990183,0.5105782792665726,0.46193952033367996,0.46193952033367996,0.9423387703619837,-1497.6799999999962,pf;win_rate;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,DO_NOT_WAIT_FOR_N40_MOVE_TO_BRANCH_DECISION
stage36e_roll12_high_sweep_continuation_long_h4,london_ny_only_06_16,1246,1.0366419193611862,0.16145264847512703,0.5176565008025682,1.085504845107208,1.085504845107208,0.8294884473906682,-578.5699999999983,pf;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,DO_NOT_WAIT_FOR_N40_MOVE_TO_BRANCH_DECISION
stage36e_roll12_high_sweep_continuation_long_h4,ny_overlap_only_12_16,595,1.0070224456321777,0.037848739495806694,0.5210084033613446,0.6214101738570533,0.6214101738570533,0.8366018854945937,-505.6099999999992,pf;avg_net;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,DO_NOT_WAIT_FOR_N40_MOVE_TO_BRANCH_DECISION
stage36e_roll24_high_sweep_continuation_long_h4,london_ny_only_06_16,707,1.0947816523503435,0.4242008486562988,0.5289957567185289,1.412939618948954,1.412939618948954,0.8843986937384644,-352.1899999999996,pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,DO_NOT_WAIT_FOR_N40_MOVE_TO_BRANCH_DECISION
stage36e_roll24_high_sweep_continuation_long_h4,ny_overlap_only_12_16,384,1.0128697832779476,0.06575520833333859,0.53125,0.8823207443897103,0.8823207443897103,0.8332349400110641,-314.5299999999993,pf;avg_net;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,DO_NOT_WAIT_FOR_N40_MOVE_TO_BRANCH_DECISION
stage36e_roll48_high_sweep_continuation_long_h4,london_ny_only_06_16,539,1.0562347380548875,0.26532467532468246,0.5231910946196661,2.564645997223552,2.564645997223552,0.8594349568532526,-355.0999999999992,pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,DO_NOT_WAIT_FOR_N40_MOVE_TO_BRANCH_DECISION
stage36e_roll48_high_sweep_continuation_long_h4,ny_overlap_only_12_16,289,1.0043832717105876,0.02321799307959041,0.5294117647058824,0.9665739545048243,0.9665739545048243,0.8312026118778262,-309.86999999999944,pf;avg_net;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,DO_NOT_WAIT_FOR_N40_MOVE_TO_BRANCH_DECISION
