definition,direction,guard_variant,geometry,variant,signal_utc,entry_utc,exit_utc,entry_price,exit_price,exit_reason,gross_per_unit,net_x4,mfe_usd,mae_usd,h4_sma,h4_slope_lookback,h1_break_lookback,compression_lookback,compression_max_atr,cooldown_h,exit_h,session_filter
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2022-06-10T02:00:00+00:00,2022-06-10T03:00:00+00:00,2022-06-10T15:00:00+00:00,1845.15,1855.66,time_exit_12h,-10.51,-43.44,20.31,14.16,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2022-07-01T04:00:00+00:00,2022-07-01T05:00:00+00:00,2022-07-01T17:00:00+00:00,1801.26,1799.2,time_exit_12h,2.06,6.84,16.97,7.31,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2022-09-14T01:00:00+00:00,2022-09-14T02:00:00+00:00,2022-09-14T14:00:00+00:00,1700.09,1703.38,time_exit_12h,-3.29,-14.56,2.96,6.8,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2022-10-10T03:00:00+00:00,2022-10-10T04:00:00+00:00,2022-10-10T16:00:00+00:00,1691.45,1666.83,time_exit_12h,24.62,97.08,25.96,0.15,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2022-10-14T01:00:00+00:00,2022-10-14T02:00:00+00:00,2022-10-14T14:00:00+00:00,1661.64,1650.36,time_exit_12h,11.28,43.72,12.29,9.9,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2022-10-20T00:00:00+00:00,2022-10-20T01:00:00+00:00,2022-10-20T13:00:00+00:00,1627.0,1632.56,time_exit_12h,-5.56,-23.64,4.68,12.82,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2023-03-08T01:00:00+00:00,2023-03-08T02:00:00+00:00,2023-03-08T14:00:00+00:00,1812.24,1820.34,time_exit_12h,-8.1,-33.8,2.9,9.29,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2023-03-09T01:00:00+00:00,2023-03-09T02:00:00+00:00,2023-03-09T14:00:00+00:00,1812.24,1831.31,time_exit_12h,-19.07,-77.68,0.33,19.58,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2023-04-20T03:00:00+00:00,2023-04-20T04:00:00+00:00,2023-04-20T16:00:00+00:00,1991.73,2002.55,time_exit_12h,-10.82,-44.68,1.29,20.55,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2023-05-09T01:00:00+00:00,2023-05-09T02:00:00+00:00,2023-05-09T14:00:00+00:00,2020.02,2030.2,time_exit_12h,-10.18,-42.12,0.26,12.72,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2023-05-12T02:00:00+00:00,2023-05-12T03:00:00+00:00,2023-05-12T15:00:00+00:00,2011.92,2011.13,time_exit_12h,0.79,1.76,11.12,10.51,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2023-06-05T03:00:00+00:00,2023-06-05T04:00:00+00:00,2023-06-05T16:00:00+00:00,1944.81,1958.07,time_exit_12h,-13.26,-54.44,6.75,17.02,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2023-06-23T02:00:00+00:00,2023-06-23T03:00:00+00:00,2023-06-23T15:00:00+00:00,1912.04,1926.9,time_exit_12h,-14.86,-60.84,2.11,25.16,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2023-09-06T01:00:00+00:00,2023-09-06T02:00:00+00:00,2023-09-06T14:00:00+00:00,1924.66,1928.04,time_exit_12h,-3.38,-14.92,3.61,4.43,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2023-09-13T02:00:00+00:00,2023-09-13T03:00:00+00:00,2023-09-13T15:00:00+00:00,1911.31,1912.63,time_exit_12h,-1.32,-6.68,5.87,4.32,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2023-09-26T03:00:00+00:00,2023-09-26T04:00:00+00:00,2023-09-26T16:00:00+00:00,1913.46,1902.24,time_exit_12h,11.22,43.48,12.73,2.01,10,2,6,6,1.4,1,12,all
h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break6_comp6_1.4_cool1_all,2023-09-29T04:00:00+00:00,2023-09-29T05:00:00+00:00,2023-09-29T17:00:00+00:00,1863.14,1853.51,time_exit_12h,9.63,37.12,11.07,16.55,10,2,6,6,1.4,1,12,all
