trades,total_x4,median_x4,pf_x4,wr,dd_x4,train_total_x4,test_total_x4,pos_years,years,pos_quarters,quarters,definition,direction,guard_variant,geometry,variant,h4_sma,h4_slope_lookback,h1_lookback,compression_lookback,compression_max_atr,rejection_lookback,impulse_atr_mult,cooldown_h,exit_h,session_filter,robust_candidate
48,1245.68,11.82,2.257856,0.604167,-413.04,283.84,961.84,4,5,11,16,short_bearish_impulse_after_compression,SHORT,nonoverlap,time_exit_6h_stop30.0,short_bearish_impulse_after_compression_h4sma10_slope2_look12_comp6_2.8_rej6_imp0.8_h6_cool1_london,10,2,12,6,2.8,6,0.8,1,6,london,True
48,1245.68,11.82,2.257856,0.604167,-413.04,283.84,961.84,4,5,11,16,short_bearish_impulse_after_compression,SHORT,nonoverlap,time_exit_6h_stop30.0,short_bearish_impulse_after_compression_h4sma10_slope2_look12_comp6_2.8_rej6_imp0.8_h6_cool4_london,10,2,12,6,2.8,6,0.8,4,6,london,True
77,1167.36,6.24,1.682124,0.545455,-503.24,233.32,934.04,4,5,10,17,short_compression_breakdown,SHORT,nonoverlap,time_exit_6h_stop30.0,short_compression_breakdown_h4sma10_slope2_look12_comp6_2.8_rej6_imp1.2_h6_cool1_london,10,2,12,6,2.8,6,1.2,1,6,london,True
77,1167.36,6.24,1.682124,0.545455,-503.24,233.32,934.04,4,5,10,17,short_compression_breakdown,SHORT,nonoverlap,time_exit_6h_stop30.0,short_compression_breakdown_h4sma10_slope2_look12_comp6_2.8_rej6_imp1.2_h6_cool4_london,10,2,12,6,2.8,6,1.2,4,6,london,True
82,1786.84,9.68,2.084774,0.585366,-343.8,867.44,919.4,4,5,12,17,short_bearish_impulse_after_compression,SHORT,nonoverlap,time_exit_6h_stop30.0,short_bearish_impulse_after_compression_h4sma10_slope2_look6_comp6_2.8_rej6_imp0.8_h6_cool1_london,10,2,6,6,2.8,6,0.8,1,6,london,True
82,1786.84,9.68,2.084774,0.585366,-343.8,867.44,919.4,4,5,12,17,short_bearish_impulse_after_compression,SHORT,nonoverlap,time_exit_6h_stop30.0,short_bearish_impulse_after_compression_h4sma10_slope2_look6_comp6_2.8_rej6_imp0.8_h6_cool4_london,10,2,6,6,2.8,6,0.8,4,6,london,True
67,1169.0,10.36,1.818215,0.597015,-384.4,269.84,899.16,3,5,8,16,short_compression_breakdown,SHORT,nonoverlap,time_exit_6h_stop30.0,short_compression_breakdown_h4sma20_slope2_look12_comp6_2.8_rej6_imp1.2_h6_cool1_london,20,2,12,6,2.8,6,1.2,1,6,london,True
67,1169.0,10.36,1.818215,0.597015,-384.4,269.84,899.16,3,5,8,16,short_compression_breakdown,SHORT,nonoverlap,time_exit_6h_stop30.0,short_compression_breakdown_h4sma20_slope2_look12_comp6_2.8_rej6_imp1.2_h6_cool4_london,20,2,12,6,2.8,6,1.2,4,6,london,True
66,1165.56,11.82,1.815807,0.590909,-387.84,266.4,899.16,3,5,8,16,short_compression_breakdown,SHORT,nonoverlap,time_exit_6h_stop30.0,short_compression_breakdown_h4sma20_slope3_look12_comp6_2.8_rej6_imp1.2_h6_cool1_london,20,3,12,6,2.8,6,1.2,1,6,london,True
66,1165.56,11.82,1.815807,0.590909,-387.84,266.4,899.16,3,5,8,16,short_compression_breakdown,SHORT,nonoverlap,time_exit_6h_stop30.0,short_compression_breakdown_h4sma20_slope3_look12_comp6_2.8_rej6_imp1.2_h6_cool4_london,20,3,12,6,2.8,6,1.2,4,6,london,True
