trades,total_x4,pf_x4,median_x4,wr,dd_x4,variant,period_type,period,start_utc,end_utc
67,-110.68,0.882982,-3.12,0.41791,-248.16,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,year,2022,2022-05-10T06:00:00+00:00,2022-12-27T04:00:00+00:00
106,-128.04,0.88039,0.66,0.518868,-290.96,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,year,2023,2023-01-19T07:00:00+00:00,2023-12-19T10:00:00+00:00
93,-894.96,0.52092,-8.8,0.322581,-963.56,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,year,2024,2024-01-03T05:00:00+00:00,2024-12-31T10:00:00+00:00
88,-432.0,0.845086,-8.42,0.420455,-765.08,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,year,2025,2025-01-28T01:00:00+00:00,2025-12-31T16:00:00+00:00
45,2347.76,2.375598,14.64,0.577778,-364.2,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,year,2026,2026-02-02T11:00:00+00:00,2026-06-09T04:00:00+00:00
20,16.84,1.064177,-2.4,0.4,-175.08,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2022Q2,2022-05-10T06:00:00+00:00,2022-06-30T15:00:00+00:00
27,-63.36,0.829218,-5.04,0.444444,-197.68,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2022Q3,2022-07-03T23:00:00+00:00,2022-09-27T03:00:00+00:00
20,-64.16,0.794649,-2.42,0.4,-244.04,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2022Q4,2022-10-11T14:00:00+00:00,2022-12-27T04:00:00+00:00
20,-102.48,0.592168,-4.56,0.4,-151.36,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2023Q1,2023-01-19T07:00:00+00:00,2023-03-29T13:00:00+00:00
33,-93.24,0.768244,-1.56,0.454545,-175.92,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2023Q2,2023-04-10T23:00:00+00:00,2023-06-29T17:00:00+00:00
31,162.52,1.934453,4.64,0.677419,-41.04,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2023Q3,2023-07-07T08:00:00+00:00,2023-09-29T10:00:00+00:00
22,-94.84,0.609648,0.02,0.5,-143.92,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2023Q4,2023-10-03T12:00:00+00:00,2023-12-19T10:00:00+00:00
24,-192.72,0.404155,-7.36,0.25,-261.32,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2024Q1,2024-01-03T05:00:00+00:00,2024-03-20T15:00:00+00:00
20,-234.48,0.431371,-11.94,0.3,-360.96,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2024Q2,2024-04-23T02:00:00+00:00,2024-06-27T05:00:00+00:00
15,-202.0,0.453167,-28.4,0.333333,-259.8,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2024Q3,2024-07-22T02:00:00+00:00,2024-09-04T14:00:00+00:00
34,-265.76,0.651636,-8.12,0.382353,-362.36,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2024Q4,2024-10-01T04:00:00+00:00,2024-12-31T10:00:00+00:00
13,-149.32,0.454638,-3.12,0.461538,-185.88,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2025Q1,2025-01-28T01:00:00+00:00,2025-03-26T03:00:00+00:00
39,-92.28,0.926959,-1.68,0.487179,-312.52,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2025Q2,2025-04-04T01:00:00+00:00,2025-06-30T19:00:00+00:00
17,-5.36,0.979467,-6.16,0.352941,-190.32,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2025Q3,2025-07-09T17:00:00+00:00,2025-09-19T07:00:00+00:00
19,-185.04,0.813166,-24.64,0.315789,-765.08,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2025Q4,2025-10-22T09:00:00+00:00,2025-12-31T16:00:00+00:00
22,1784.44,2.795139,58.24,0.590909,-364.2,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2026Q1,2026-02-02T11:00:00+00:00,2026-03-24T12:00:00+00:00
23,563.32,1.790425,8.56,0.565217,-173.44,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2026Q2,2026-04-07T11:00:00+00:00,2026-06-09T04:00:00+00:00
9,-7.12,0.94851,-8.12,0.333333,-108.44,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2022-05,2022-05-10T06:00:00+00:00,2022-05-27T04:00:00+00:00
11,23.96,1.193039,-1.24,0.454545,-84.12,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2022-06,2022-06-01T05:00:00+00:00,2022-06-30T15:00:00+00:00
10,-95.24,0.337875,-6.86,0.4,-129.24,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2022-07,2022-07-03T23:00:00+00:00,2022-07-21T15:00:00+00:00
8,19.24,1.221659,-0.08,0.5,-68.44,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2022-08,2022-08-04T00:00:00+00:00,2022-08-31T17:00:00+00:00
9,12.64,1.090054,-21.76,0.444444,-94.68,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2022-09,2022-09-01T08:00:00+00:00,2022-09-27T03:00:00+00:00
11,69.64,1.458278,3.64,0.545455,-110.24,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2022-10,2022-10-11T14:00:00+00:00,2022-10-31T00:00:00+00:00
5,-119.76,0.0,-15.92,0.0,-119.76,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2022-11,2022-11-01T04:00:00+00:00,2022-11-23T01:00:00+00:00
4,-14.04,0.655206,-8.4,0.5,-40.72,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2022-12,2022-12-06T14:00:00+00:00,2022-12-27T04:00:00+00:00
3,-52.6,0.0,-17.6,0.0,-52.6,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-01,2023-01-19T07:00:00+00:00,2023-01-27T20:00:00+00:00
11,20.16,1.233441,1.92,0.545455,-51.64,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-02,2023-02-03T03:00:00+00:00,2023-02-27T16:00:00+00:00
6,-70.04,0.376425,-16.38,0.333333,-106.36,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-03,2023-03-08T09:00:00+00:00,2023-03-29T13:00:00+00:00
10,-134.96,0.093255,-14.14,0.3,-134.96,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-04,2023-04-10T23:00:00+00:00,2023-04-24T21:00:00+00:00
12,-40.96,0.740759,-3.3,0.416667,-139.36,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-05,2023-05-01T15:00:00+00:00,2023-05-29T08:00:00+00:00
