mechanism,side,event_utc,ref_level,context
asia_low_sweep_london_rejection,LONG,2022-05-03 08:00:00+00:00,1857.23,asia_high=1866.95;asia_low=1857.23
asia_low_sweep_london_rejection,LONG,2022-05-04 07:15:00+00:00,1861.48,asia_high=1869.30;asia_low=1861.48
asia_low_sweep_london_rejection,LONG,2022-05-09 07:00:00+00:00,1870.88,asia_high=1882.55;asia_low=1870.88
asia_low_sweep_london_rejection,LONG,2022-05-12 08:30:00+00:00,1847.28,asia_high=1858.62;asia_low=1847.28
asia_high_sweep_london_rejection,SHORT,2022-05-13 08:45:00+00:00,1828.24,asia_high=1828.24;asia_low=1814.54
asia_low_sweep_london_rejection,LONG,2022-05-16 08:00:00+00:00,1806.46,asia_high=1817.32;asia_low=1806.46
asia_high_sweep_london_rejection,SHORT,2022-05-17 07:15:00+00:00,1829.17,asia_high=1829.17;asia_low=1821.69
asia_low_sweep_london_rejection,LONG,2022-05-19 07:45:00+00:00,1812.96,asia_high=1817.48;asia_low=1812.96
asia_high_sweep_london_rejection,SHORT,2022-05-20 07:15:00+00:00,1846.47,asia_high=1846.47;asia_low=1836.32
asia_high_sweep_london_rejection,SHORT,2022-05-23 07:00:00+00:00,1855.94,asia_high=1855.94;asia_low=1845.43
asia_high_sweep_london_rejection,SHORT,2022-05-24 08:30:00+00:00,1856.93,asia_high=1856.93;asia_low=1849.07
asia_low_sweep_london_rejection,LONG,2022-05-25 07:45:00+00:00,1858.58,asia_high=1867.86;asia_low=1858.58
asia_low_sweep_london_rejection,LONG,2022-05-26 07:00:00+00:00,1843.99,asia_high=1854.12;asia_low=1843.99
asia_high_sweep_london_rejection,SHORT,2022-05-27 08:30:00+00:00,1856.21,asia_high=1856.21;asia_low=1847.78
asia_high_sweep_london_rejection,SHORT,2022-05-30 07:30:00+00:00,1863.16,asia_high=1863.16;asia_low=1847.99
asia_high_sweep_london_rejection,SHORT,2022-05-31 07:45:00+00:00,1855.24,asia_high=1855.24;asia_low=1845.80
asia_low_sweep_london_rejection,LONG,2022-06-01 10:45:00+00:00,1829.57,asia_high=1838.22;asia_low=1829.57
asia_high_sweep_london_rejection,SHORT,2022-06-07 08:15:00+00:00,1844.35,asia_high=1844.35;asia_low=1836.85
asia_low_sweep_london_rejection,LONG,2022-06-10 10:45:00+00:00,1842.97,asia_high=1848.09;asia_low=1842.97
asia_high_sweep_london_rejection,SHORT,2022-06-14 07:00:00+00:00,1827.83,asia_high=1827.83;asia_low=1817.49
asia_high_sweep_london_rejection,SHORT,2022-06-15 07:30:00+00:00,1819.08,asia_high=1819.08;asia_low=1807.51
asia_low_sweep_london_rejection,LONG,2022-06-16 09:00:00+00:00,1829.59,asia_high=1836.19;asia_low=1829.59
asia_high_sweep_london_rejection,SHORT,2022-06-17 10:15:00+00:00,1851.88,asia_high=1851.88;asia_low=1841.43
asia_low_sweep_london_rejection,LONG,2022-06-21 08:00:00+00:00,1833.52,asia_high=1842.18;asia_low=1833.52
asia_low_sweep_london_rejection,LONG,2022-06-22 08:30:00+00:00,1824.25,asia_high=1831.75;asia_low=1824.25
