mechanism,side,horizon_bars,events,total_ret,avg_ret,median_ret,win_rate,pf,max_dd,avg_mfe,avg_mae,pos_years,years,candidate_flag
prev_day_low_sweep_rejection,LONG,4,377,240.56,0.63809,0.33,0.522546,1.276455,-112.49,11.689072,12.344907,4,5,True
prev_day_low_sweep_rejection,LONG,24,377,168.66,0.447374,0.63,0.527851,1.083724,-348.13,11.689072,12.344907,3,5,False
asia_low_sweep_london_rejection,LONG,4,341,56.03,0.164311,0.41,0.533724,1.0699,-102.85,11.828974,13.934047,3,5,False
london_high_sweep_ny_rejection,SHORT,12,445,142.82,0.320944,-0.5,0.485393,1.054175,-259.53,14.776247,13.916292,3,5,False
asia_high_sweep_london_rejection,SHORT,12,398,11.09,0.027864,0.33,0.530151,1.009771,-282.69,10.558719,10.51103,3,5,False
failed_break_below_prior_h4_low,LONG,24,1973,56.65,0.028713,0.58,0.524582,1.004922,-682.29,11.356498,12.763842,3,5,False
asia_high_sweep_london_rejection,SHORT,4,398,1.38,0.003467,-0.165,0.484925,1.001783,-107.22,10.558719,10.51103,2,5,False
london_high_sweep_ny_rejection,SHORT,24,445,-5.29,-0.011888,0.19,0.503371,0.998292,-429.49,14.776247,13.916292,1,5,False
prev_day_low_sweep_rejection,LONG,12,377,-27.83,-0.07382,0.44,0.525199,0.983769,-427.64,11.689072,12.344907,2,5,False
failed_break_below_prior_h4_low,LONG,4,1973,-261.01,-0.132291,0.01,0.50076,0.950796,-544.51,11.356498,12.763842,3,5,False
news_first_spike_up_failure,SHORT,12,106,-50.37,-0.475189,0.505,0.528302,0.932902,-346.26,18.702642,17.305377,3,5,False
failed_break_below_prior_h4_low,LONG,12,1973,-621.3,-0.314901,0.06,0.504308,0.927666,-630.45,11.356498,12.763842,1,5,False
london_low_sweep_ny_rejection,LONG,24,415,-222.29,-0.535639,-0.4,0.484337,0.9193,-340.52,11.976,14.31894,2,5,False
news_first_spike_up_failure,SHORT,4,106,-48.05,-0.453302,-0.95,0.443396,0.916983,-162.65,18.702642,17.305377,1,5,False
failed_break_above_prior_h4_high,SHORT,4,2090,-501.15,-0.239785,-0.13,0.482297,0.912544,-618.84,11.855522,12.075445,0,5,False
asia_low_sweep_london_rejection,LONG,24,341,-237.62,-0.696833,0.41,0.516129,0.896571,-539.1,11.828974,13.934047,2,5,False
asia_high_sweep_london_rejection,SHORT,24,398,-252.81,-0.635201,-0.435,0.482412,0.882099,-625.95,10.558719,10.51103,3,5,False
london_high_sweep_ny_rejection,SHORT,4,445,-242.87,-0.545775,-0.04,0.496629,0.874667,-396.43,14.776247,13.916292,2,5,False
asia_low_sweep_london_rejection,LONG,12,341,-200.42,-0.587742,0.32,0.516129,0.852808,-314.22,11.828974,13.934047,2,5,False
failed_break_above_prior_h4_high,SHORT,12,2090,-1467.6,-0.702201,-0.385,0.477033,0.849697,-2010.42,11.855522,12.075445,2,5,False
failed_break_above_prior_h4_high,SHORT,24,2090,-2036.37,-0.97434,-0.46,0.477033,0.847163,-2900.65,11.855522,12.075445,1,5,False
prev_day_high_sweep_rejection,SHORT,24,367,-379.78,-1.034823,-0.85,0.463215,0.83453,-584.14,11.428338,11.879537,2,5,False
london_low_sweep_ny_rejection,LONG,4,415,-292.49,-0.704795,-0.16,0.479518,0.813844,-360.03,11.976,14.31894,1,5,False
london_low_sweep_ny_rejection,LONG,12,415,-465.38,-1.121398,-0.23,0.486747,0.802485,-465.38,11.976,14.31894,0,5,False
prev_day_high_sweep_rejection,SHORT,12,367,-359.02,-0.978256,0.12,0.506812,0.784897,-632.51,11.428338,11.879537,3,5,False
news_first_spike_up_failure,SHORT,24,106,-266.97,-2.518585,-1.665,0.471698,0.733781,-507.6,18.702642,17.305377,2,5,False
prev_day_high_sweep_rejection,SHORT,4,367,-329.1,-0.89673,-0.11,0.487738,0.729428,-396.33,11.428338,11.879537,2,5,False
news_first_spike_down_failure,LONG,4,114,-444.5,-3.899123,-4.04,0.394737,0.554471,-532.18,16.673246,31.410351,0,5,False
news_first_spike_down_failure,LONG,24,114,-991.78,-8.699825,-1.28,0.464912,0.46546,-1231.94,16.673246,31.410351,2,5,False
news_first_spike_down_failure,LONG,12,114,-970.03,-8.509035,-2.495,0.403509,0.427518,-1104.12,16.673246,31.410351,2,5,False
