filter,description,selected_events,coverage,raw_total,raw_avg,raw_median,raw_wr,raw_pf,raw_dd,net_total,net_avg,net_median,net_wr,net_pf,net_dd,net_pos_years,net_years,test_net_total,test_net_median,test_net_pf,test_net_wr,candidate_flag,delta_net_total_vs_baseline,delta_net_pf_vs_baseline,delta_net_median_vs_baseline
sweep_depth_ge_q50,sweep depth >= median,189,0.501326,242.51,1.283122,1.33,0.603175,1.450218,-128.5,176.36,0.933122,0.98,0.582011,1.311932,-130.6,3,5,58.71,1.67,1.178678,0.578947,True,67.75,0.195714,1.0
deep_sweep_fast_reclaim,deep sweep >= median plus fast reclaim <=1 bar,47,0.124668,122.25,2.601064,1.82,0.574468,1.811322,-47.32,105.8,2.251064,1.47,0.531915,1.670809,-47.67,2,5,4.1,1.67,1.036778,0.533333,False,-2.81,0.554591,1.49
session_new_york,event_session == new_york,126,0.334218,228.41,1.812778,0.38,0.52381,1.718496,-57.23,184.31,1.462778,0.03,0.5,1.543271,-61.78,4,5,190.23,4.825,2.570591,0.657895,False,75.7,0.427053,0.05
h4_slope_positive,H4 SMA20 slope3 positive,152,0.403183,171.51,1.128355,0.34,0.532895,1.61821,-46.2,118.31,0.778355,-0.01,0.5,1.390539,-56.09,3,5,142.98,2.045,2.191699,0.673913,False,9.7,0.274321,0.01
london_or_ny_fast_reclaim,London/NY plus fast reclaim <=1 bar,78,0.206897,92.82,1.19,-0.07,0.487179,1.423391,-52.9,65.52,0.84,-0.42,0.474359,1.280888,-58.5,4,5,59.63,3.135,1.599296,0.583333,False,-43.09,0.16467,-0.4
sweep_depth_between_q25_q75,sweep depth between q25 and q75,190,0.503979,137.44,0.723368,0.335,0.536842,1.439527,-100.19,70.94,0.373368,-0.015,0.494737,1.205957,-128.88,3,5,184.72,1.67,3.902577,0.684211,False,-37.67,0.089739,0.005
h4_up_london_or_ny,H4 up context plus London/NY event,47,0.124668,31.71,0.674681,-0.15,0.446809,1.398517,-47.77,15.26,0.324681,-0.5,0.425532,1.172041,-60.02,3,5,68.43,1.84,9.264493,0.733333,False,-93.35,0.055823,-0.48
fast_reclaim_le_1bar,reclaim within <=1 bar after first breach,124,0.328912,93.46,0.75371,-0.075,0.483871,1.280973,-53.8,50.06,0.40371,-0.425,0.467742,1.140986,-61.5,4,5,41.3,1.57,1.237848,0.552632,False,-58.55,0.024768,-0.405
atr_pct_not_extreme_high,ATR percentile <= 0.85,276,0.732095,186.31,0.675036,0.31,0.518116,1.30317,-81.28,89.71,0.325036,-0.04,0.48913,1.13552,-107.43,3,5,183.55,1.81,1.63726,0.614458,False,-18.9,0.019302,-0.02
close_below_prior_mid,event close below previous-day midpoint,366,0.970822,248.56,0.679126,0.335,0.52459,1.298732,-112.49,120.46,0.329126,-0.015,0.497268,1.134693,-113.89,3,5,138.82,1.09,1.30745,0.563636,False,11.85,0.018475,0.005
session_london_or_ny,event during London or New York,225,0.596817,149.51,0.664489,0.12,0.502222,1.271274,-97.34,70.76,0.314489,-0.23,0.48,1.119709,-110.41,3,5,131.18,1.59,1.530084,0.588235,False,-37.85,0.003491,-0.21
sweep_depth_ge_q75,sweep depth >= q75,95,0.251989,82.47,0.868105,1.33,0.547368,1.195048,-128.5,49.22,0.518105,0.98,0.547368,1.112408,-130.6,3,5,-80.76,-1.42,0.698454,0.482759,False,-59.39,-0.00381,1.0
atr_pct_40_85,ATR percentile between 0.40 and 0.85,127,0.33687,76.09,0.599134,-0.1,0.496063,1.259844,-86.89,31.64,0.249134,-0.45,0.472441,1.100263,-114.54,2,5,144.62,1.94,2.727218,0.692308,False,-76.97,-0.015955,-0.43
reclaim_ge_q50,close reclaim above prior low >= median,189,0.501326,127.54,0.674815,0.36,0.507937,1.205009,-96.9,61.39,0.324815,0.01,0.502646,1.093758,-97.95,4,5,38.11,0.44,1.118838,0.526316,False,-47.22,-0.02246,0.03
atr_pct_mid_high,ATR percentile >= 0.40,228,0.604775,130.34,0.571667,0.205,0.513158,1.237652,-69.3,50.54,0.221667,-0.145,0.491228,1.085932,-110.75,3,5,127.28,1.67,1.508774,0.608696,False,-58.07,-0.030286,-0.125
h4_up_and_slope_positive,H4 up and slope positive,69,0.183024,25.87,0.374928,-0.1,0.463768,1.20701,-47.89,1.72,0.024928,-0.45,0.434783,1.012464,-63.68,2,5,65.4,2.24,2.658215,0.666667,False,-106.89,-0.103754,-0.43
h4_up_fast_reclaim,H4 up context plus fast reclaim <=1 bar,44,0.116711,15.08,0.342727,-0.595,0.409091,1.170898,-34.91,-0.32,-0.007273,-0.945,0.386364,0.996714,-49.26,2,5,24.71,0.285,1.773396,0.5,False,-108.93,-0.119504,-0.925
h4_up_context,H4 close above H4 SMA20,85,0.225464,21.71,0.255412,-0.15,0.458824,1.145763,-62.43,-8.04,-0.094588,-0.5,0.435294,0.951308,-83.08,2,5,75.04,1.955,2.843282,0.692308,False,-116.65,-0.16491,-0.48
reclaim_ge_q75,close reclaim above prior low >= q75,96,0.254642,10.02,0.104375,-0.315,0.479167,1.023326,-121.11,-23.58,-0.245625,-0.665,0.46875,0.947268,-122.51,2,5,-36.78,-2.64,0.851316,0.482759,False,-132.19,-0.16895,-0.645
lower_wick_ratio_ge_q50,lower wick/range >= median,189,0.501326,33.75,0.178571,-0.27,0.465608,1.063131,-93.93,-32.4,-0.171429,-0.62,0.444444,0.943211,-122.99,1,5,67.64,0.99,1.243082,0.526316,False,-141.01,-0.173007,-0.6
